round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 28/07/1990,10:00,Schweinfurt 05,VfL Osnabrück,?,Elmar Wienecke,6000,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978519
2,qua 08/08/1990,14:30,TSV Havelse,Schweinfurt 05,?,Elmar Wienecke,2400,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978534
3,dom 12/08/1990,10:00,SV Meppen,Schweinfurt 05,?,Elmar Wienecke,5500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978547
4,sáb 18/08/1990,10:00,Schweinfurt 05,MSV Duisburg,?,Elmar Wienecke,5000,0:6,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978554
5,qua 22/08/1990,14:30,W. Mannheim,Schweinfurt 05,?,Niko Semlitsch,6200,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978562
6,sáb 25/08/1990,10:00,Schweinfurt 05,Schalke,?,Niko Semlitsch,14000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978813
7,sex 31/08/1990,14:00,Stuttg. Kickers,Schweinfurt 05,?,Niko Semlitsch,3200,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978820
8,ter 04/09/1990,14:30,Schweinfurt 05,FC 08 Homburg,?,Niko Semlitsch,4400,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978830
9,dom 09/09/1990,10:00,Pr. Münster,Schweinfurt 05,?,Niko Semlitsch,5500,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978887
10,dom 16/09/1990,10:00,Schweinfurt 05,VfB Oldenburg,?,Niko Semlitsch,3200,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978901
11,sex 21/09/1990,14:00,Hannover,Schweinfurt 05,?,Niko Semlitsch,4200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978902
12,sáb 29/09/1990,10:00,Schweinfurt 05,Freiburg,?,Niko Semlitsch,4500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978918
13,sáb 06/10/1990,11:00,Mainz,Schweinfurt 05,?,Niko Semlitsch,3900,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978928
14,sáb 13/10/1990,11:00,Schweinfurt 05,Fortuna Köln,?,Niko Semlitsch,3500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978953
15,sáb 20/10/1990,11:00,RW Essen,Schweinfurt 05,?,Niko Semlitsch,5500,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978963
16,sáb 27/10/1990,12:00,Schweinfurt 05,Darmstadt 98,?,Niko Semlitsch,3000,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978973
17,dom 11/11/1990,12:00,Saarbrücken,Schweinfurt 05,?,Niko Semlitsch,6000,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978988
18,sáb 17/11/1990,12:00,Schweinfurt 05,BW Berlin,?,Niko Semlitsch,1500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978996
19,sex 23/11/1990,16:00,E. Braunschweig,Schweinfurt 05,?,Niko Semlitsch,4000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/979001
20,dom 09/12/1990,12:00,VfL Osnabrück,Schweinfurt 05,?,Niko Semlitsch,2000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/979019
21,dom 16/12/1990,12:00,Schweinfurt 05,TSV Havelse,?,Niko Semlitsch,1000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/979025
22,sáb 27/04/1991,10:00,Schweinfurt 05,SV Meppen,?,Niko Semlitsch,1000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/979040
23,dom 03/03/1991,11:00,MSV Duisburg,Schweinfurt 05,?,Niko Semlitsch,10000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/979050
24,sáb 09/03/1991,11:00,Schweinfurt 05,W. Mannheim,?,Niko Semlitsch,2800,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/979053
25,sáb 16/03/1991,11:00,Schalke,Schweinfurt 05,?,Niko Semlitsch,30300,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/979064
26,sáb 23/03/1991,11:00,Schweinfurt 05,Stuttg. Kickers,?,Niko Semlitsch,3600,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/979073
27,ter 02/04/1991,14:30,FC 08 Homburg,Schweinfurt 05,?,Niko Semlitsch,1200,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/979085
