round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 11/07/1992,10:30,Hertha Berlim,St. Pauli,?,Bernd Stange,11400,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/924515
2,qui 16/07/1992,15:00,Hannover,Hertha Berlim,?,Bernd Stange,17300,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/924530
3,dom 19/07/1992,10:00,Darmstadt 98,Hertha Berlim,?,Bernd Stange,5000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/924541
4,qua 22/07/1992,15:00,Hertha Berlim,E. Braunschweig,?,Bernd Stange,6800,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/982368
5,sáb 25/07/1992,10:30,VfB Leipzig,Hertha Berlim,?,Bernd Stange,3100,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977781
6,dom 02/08/1992,13:00,Hertha Berlim,Wuppertaler SV,?,Bernd Stange,5500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977799
7,dom 09/08/1992,10:00,Fortuna Köln,Hertha Berlim,?,Bernd Stange,2000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977810
8,qui 10/09/1992,15:00,Hertha Berlim,Unterhaching,?,Günter Sebert,3688,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977823
9,sáb 15/08/1992,10:30,Hansa Rostock,Hertha Berlim,?,Bernd Stange,4500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977835
10,dom 23/08/1992,10:00,Hertha Berlim,Düsseldorf,?,Günter Sebert,5911,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977854
11,qua 26/08/1992,15:00,VfL Osnabrück,Hertha Berlim,?,Günter Sebert,4500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977866
12,sáb 29/08/1992,10:30,Hertha Berlim,VfB Oldenburg,?,Günter Sebert,5061,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977873
13,qua 02/09/1992,13:00,Stuttg. Kickers,Hertha Berlim,?,Günter Sebert,3326,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977885
14,dom 06/09/1992,10:00,Hertha Berlim,Freiburg,3-5-2 ofensivo,Günter Sebert,8600,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977900
15,sáb 19/09/1992,10:30,Wolfsburg,Hertha Berlim,3-5-2,Günter Sebert,4500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977911
16,dom 27/09/1992,11:00,Hertha Berlim,Chemnitzer FC,?,Günter Sebert,6603,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977927
17,dom 04/10/1992,11:00,FC Remscheid,Hertha Berlim,?,Günter Sebert,2500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977942
18,sáb 17/10/1992,11:30,Hertha Berlim,Carl Zeiss Jena,?,Günter Sebert,4645,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977954
19,sáb 24/10/1992,11:30,W. Mannheim,Hertha Berlim,?,Günter Sebert,6000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977961
20,sáb 31/10/1992,12:30,Hertha Berlim,Mainz,?,Günter Sebert,4117,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977978
21,sex 13/11/1992,16:30,MSV Duisburg,Hertha Berlim,?,Günter Sebert,8800,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977981
22,sáb 21/11/1992,12:30,Hertha Berlim,SV Meppen,?,Günter Sebert,3300,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978011
23,ter 08/12/1992,15:00,FC 08 Homburg,Hertha Berlim,?,Günter Sebert,800,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978028
24,sáb 05/12/1992,12:30,St. Pauli,Hertha Berlim,?,Günter Sebert,11279,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/978035
