round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,qua 28/07/1993,14:00,Chemnitzer FC,Wuppertaler SV,?,Reinhard Häfner,4500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977028
2,sáb 31/07/1993,10:30,St. Pauli,Chemnitzer FC,?,Reinhard Häfner,15600,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977033
3,sex 06/08/1993,14:00,Chemnitzer FC,Bayer 05,?,Reinhard Häfner,3380,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977043
4,sáb 14/08/1993,10:30,Fortuna Köln,Chemnitzer FC,?,Reinhard Häfner,4500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977067
5,sáb 21/08/1993,10:30,Chemnitzer FC,Hertha Berlim,?,Reinhard Häfner,4500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977079
6,dom 29/08/1993,10:00,W. Mannheim,Chemnitzer FC,3-5-2,Reinhard Häfner,5200,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977094
7,sex 03/09/1993,14:00,Chemnitzer FC,Wolfsburg,?,Reinhard Häfner,1600,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977100
8,dom 19/09/1993,10:00,FC 08 Homburg,Chemnitzer FC,3-5-2,Reinhard Häfner,1500,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977117
9,dom 26/09/1993,11:00,Carl Zeiss Jena,Chemnitzer FC,?,Reinhard Häfner,3500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977127
10,sáb 02/10/1993,11:30,Chemnitzer FC,SV Meppen,?,Reinhard Häfner,2320,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977136
11,sáb 09/10/1993,11:30,Hansa Rostock,Chemnitzer FC,?,Reinhard Häfner,4200,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977180
12,sáb 16/10/1993,11:30,Chemnitzer FC,RW Essen,?,Reinhard Häfner,2900,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977189
13,qua 17/11/1993,11:00,Stuttg. Kickers,Chemnitzer FC,?,Reinhard Häfner,3600,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977204
14,dom 31/10/1993,12:00,Chemnitzer FC,TeBe Berlin,?,Reinhard Häfner,3200,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977214
15,sáb 06/11/1993,11:30,Mainz,Chemnitzer FC,?,Reinhard Häfner,1900,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977216
16,sáb 13/11/1993,12:30,Chemnitzer FC,Hannover,?,Reinhard Häfner,2300,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977230
17,sáb 20/11/1993,12:30,Saarbrücken,Chemnitzer FC,?,Reinhard Häfner,4600,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977237
18,dom 28/11/1993,12:00,Chemnitzer FC,1860 Munique,?,Reinhard Häfner,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977253
19,dom 05/12/1993,12:00,Bochum,Chemnitzer FC,?,Reinhard Häfner,15000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977259
20,ter 22/03/1994,15:30,Wuppertaler SV,Chemnitzer FC,?,Reinhard Häfner,5000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977273
21,ter 01/03/1994,16:00,Chemnitzer FC,St. Pauli,?,Reinhard Häfner,2500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977280
22,sáb 05/03/1994,11:30,Bayer 05,Chemnitzer FC,?,Reinhard Häfner,4000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977314
23,sáb 12/03/1994,11:30,Chemnitzer FC,Fortuna Köln,?,Reinhard Häfner,1800,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977323
24,sáb 19/03/1994,11:30,Hertha Berlim,Chemnitzer FC,3-5-2,Reinhard Häfner,5000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977334
25,sáb 26/03/1994,11:30,Chemnitzer FC,W. Mannheim,?,Reinhard Häfner,3100,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977345
26,sáb 02/04/1994,10:30,Wolfsburg,Chemnitzer FC,?,Reinhard Häfner,4000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/977354
