round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 04/08/1996,10:00,FC Gütersloh,Carl Zeiss Jena,3-5-2,Hannes Linßen,6000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976251
2,qua 07/08/1996,14:30,KFC Uerdingen,FC Gütersloh,3-5-2 plano,Hannes Linßen,3500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976256
3,dom 18/08/1996,10:00,FC Gütersloh,Mainz,?,Hannes Linßen,6500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976268
4,sáb 24/08/1996,10:30,Wolfsburg,FC Gütersloh,3-5-2,Hannes Linßen,3843,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976273
5,dom 08/09/1996,10:00,FC Gütersloh,Hertha Berlim,?,Hannes Linßen,6000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976286
6,sáb 14/09/1996,10:30,VfB Leipzig,FC Gütersloh,3-5-2,Hannes Linßen,3000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976292
7,sex 20/09/1996,14:00,Fortuna Köln,FC Gütersloh,3-5-2,Hannes Linßen,2500,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976300
8,dom 29/09/1996,10:00,FC Gütersloh,RW Essen,3-5-2,Hannes Linßen,4500,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976312
9,dom 06/10/1996,11:00,K'lautern,FC Gütersloh,3-4-3 plano,Hannes Linßen,34517,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976320
10,dom 13/10/1996,11:00,FC Gütersloh,VfB Oldenburg,3-5-2,Hannes Linßen,5000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976330
11,dom 20/10/1996,11:00,VfB Lübeck,FC Gütersloh,?,Hannes Linßen,6000,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976340
12,dom 27/10/1996,12:00,FC Gütersloh,FSV Zwickau,3-5-2,Hannes Linßen,4000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976348
13,dom 03/11/1996,12:00,W. Mannheim,FC Gütersloh,3-5-2,Hannes Linßen,5000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976359
14,dom 17/11/1996,11:15,FC Gütersloh,Frankfurt,?,Hannes Linßen,10000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976366
15,dom 24/11/1996,12:00,SV Meppen,FC Gütersloh,?,Hannes Linßen,8500,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976377
16,dom 01/12/1996,11:00,FC Gütersloh,Unterhaching,3-5-2,Hannes Linßen,4500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976384
17,dom 08/12/1996,11:00,Stuttg. Kickers,FC Gütersloh,3-3-3-1,Hannes Linßen,2514,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976392
18,dom 23/02/1997,11:00,Carl Zeiss Jena,FC Gütersloh,3-3-3-1,Hannes Linßen,6106,2:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976404
19,dom 02/03/1997,11:00,FC Gütersloh,KFC Uerdingen,3-5-2,Hannes Linßen,7000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976409
20,sex 07/03/1997,15:00,Mainz,FC Gütersloh,3-5-2,Hannes Linßen,5456,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976465
21,dom 16/03/1997,11:00,FC Gütersloh,Wolfsburg,?,Hannes Linßen,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976477
22,dom 23/03/1997,11:00,Hertha Berlim,FC Gütersloh,?,Hannes Linßen,14719,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976489
23,dom 30/03/1997,10:00,FC Gütersloh,VfB Leipzig,3-5-2,Hannes Linßen,4000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976497
24,sáb 05/04/1997,10:30,FC Gütersloh,Fortuna Köln,3-5-2,Hannes Linßen,3700,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976502
25,sáb 12/04/1997,10:30,RW Essen,FC Gütersloh,3-5-2,Hannes Linßen,7306,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976512
26,dom 20/04/1997,10:00,FC Gütersloh,K'lautern,3-5-2,Hannes Linßen,13000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976523
27,dom 27/04/1997,10:00,VfB Oldenburg,FC Gütersloh,3-4-2-1,Hannes Linßen,4125,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976533
28,dom 04/05/1997,10:00,FC Gütersloh,VfB Lübeck,3-5-2,Hannes Linßen,5000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976542
29,dom 11/05/1997,10:00,FSV Zwickau,FC Gütersloh,3-5-2,Hannes Linßen,3900,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976551
30,dom 18/05/1997,10:00,FC Gütersloh,W. Mannheim,?,Hannes Linßen,5000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976561
31,qui 22/05/1997,14:00,Frankfurt,FC Gütersloh,?,Hannes Linßen,11000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976569
32,dom 25/05/1997,10:00,FC Gütersloh,SV Meppen,3-5-2,Hannes Linßen,5000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976578
33,dom 01/06/1997,10:00,Unterhaching,FC Gütersloh,3-5-2,Hannes Linßen,1100,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976587
34,qua 11/06/1997,14:00,FC Gütersloh,Stuttg. Kickers,3-5-2,Hannes Linßen,11000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/976594
