round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 26/07/1997,10:30,SV Meppen,FSV Zwickau,?,Heinz Werner,6200,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951020
2,dom 03/08/1997,10:00,FSV Zwickau,Unterhaching,3-5-2,Heinz Werner,6014,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951034
3,dom 10/08/1997,10:00,Greuther Fürth,FSV Zwickau,?,Heinz Werner,7000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951040
4,dom 24/08/1997,10:00,FSV Zwickau,St. Pauli,?,Heinz Werner,4808,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951052
5,sex 29/08/1997,14:00,Mainz,FSV Zwickau,?,Heinz Werner,6451,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951057
6,sáb 13/09/1997,10:30,FSV Zwickau,FC Gütersloh,?,Heinz Werner,4566,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951066
7,sáb 20/09/1997,10:30,FSV Zwickau,Fortuna Köln,?,Heinz Werner,5300,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951076
8,sex 26/09/1997,14:00,Düsseldorf,FSV Zwickau,?,Heinz Werner,5800,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951083
9,dom 05/10/1997,10:00,FSV Zwickau,Wattenscheid 09,?,Heinz Werner,3910,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951096
10,dom 19/10/1997,11:00,Stuttg. Kickers,FSV Zwickau,?,Karl-Heinz Körbel,3256,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951105
11,dom 26/10/1997,12:00,FSV Zwickau,Energ. Cottbus,?,Karl-Heinz Körbel,4461,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951114
12,sex 31/10/1997,16:00,Nuremberg,FSV Zwickau,?,Karl-Heinz Körbel,23000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951118
13,seg 10/11/1997,16:15,FSV Zwickau,Freiburg,4-4-2 líbero losango,Karl-Heinz Körbel,5556,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951135
14,dom 23/11/1997,11:30,VfB Leipzig,FSV Zwickau,?,Karl-Heinz Körbel,5200,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951143
15,sáb 29/11/1997,12:30,FSV Zwickau,Carl Zeiss Jena,?,Karl-Heinz Körbel,5632,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951151
16,dom 07/12/1997,12:00,Frankfurt,FSV Zwickau,3-5-2,Karl-Heinz Körbel,13350,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951161
17,sáb 13/12/1997,12:30,FSV Zwickau,KFC Uerdingen,?,Karl-Heinz Körbel,2443,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951169
18,sex 13/02/1998,16:00,FSV Zwickau,SV Meppen,?,Karl-Heinz Körbel,6930,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951176
19,dom 22/02/1998,12:00,Unterhaching,FSV Zwickau,?,Karl-Heinz Körbel,2000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951188
20,sex 27/02/1998,16:00,FSV Zwickau,Greuther Fürth,?,Karl-Heinz Körbel,4167,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951193
21,sex 06/03/1998,15:00,St. Pauli,FSV Zwickau,?,Karl-Heinz Körbel,15500,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951204
22,dom 15/03/1998,11:00,FSV Zwickau,Mainz,?,Karl-Heinz Körbel,3468,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951215
23,qua 15/04/1998,13:00,FC Gütersloh,FSV Zwickau,?,Hans-Uwe Pilz,6000,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951227
24,sáb 28/03/1998,11:30,Fortuna Köln,FSV Zwickau,?,Karl-Heinz Körbel,1200,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951231
25,sex 03/04/1998,14:00,FSV Zwickau,Düsseldorf,?,Karl-Heinz Körbel,3200,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951239
26,sáb 11/04/1998,10:30,Wattenscheid 09,FSV Zwickau,?,Hans-Uwe Pilz,2200,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951250
27,dom 19/04/1998,10:00,FSV Zwickau,Stuttg. Kickers,?,Hans-Uwe Pilz,1600,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951263
28,dom 26/04/1998,10:00,Energ. Cottbus,FSV Zwickau,?,Hans-Uwe Pilz,6700,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951271
29,seg 04/05/1998,14:30,FSV Zwickau,Nuremberg,?,Hans-Uwe Pilz,2315,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951282
30,sex 08/05/1998,14:00,Freiburg,FSV Zwickau,3-5-2,Hans-Uwe Pilz,18000,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951285
31,sex 15/05/1998,14:00,FSV Zwickau,VfB Leipzig,3-5-2,Hans-Uwe Pilz,2408,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951294
32,qua 20/05/1998,14:00,Carl Zeiss Jena,FSV Zwickau,3-4-3,Hans-Uwe Pilz,2725,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951301
33,qua 03/06/1998,14:00,FSV Zwickau,Frankfurt,3-5-2,Hans-Uwe Pilz,4133,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951314
34,dom 07/06/1998,10:00,KFC Uerdingen,FSV Zwickau,3-5-2,Hans-Uwe Pilz,2279,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/951325
