round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 02/08/1998,10:00,RW Oberhausen,KFC Uerdingen,?,Jürgen Gelsdorf,7300,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942693
2,sex 07/08/1998,14:00,KFC Uerdingen,Fortuna Köln,3-5-2,Jürgen Gelsdorf,3391,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942700
3,qui 13/08/1998,14:00,Düsseldorf,KFC Uerdingen,?,Jürgen Gelsdorf,11000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942714
4,dom 16/08/1998,10:00,KFC Uerdingen,FC Gütersloh,?,Jürgen Gelsdorf,2500,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942721
5,sex 21/08/1998,14:00,KFC Uerdingen,Stuttg. Kickers,?,Jürgen Gelsdorf,2212,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942727
6,dom 13/09/1998,10:00,TeBe Berlin,KFC Uerdingen,?,Jürgen Gelsdorf,2033,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942738
7,qua 21/10/1998,15:00,KFC Uerdingen,Greuther Fürth,?,Henk ten Cate,1254,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942751
8,dom 27/09/1998,10:00,Wattenscheid 09,KFC Uerdingen,?,Jürgen Gelsdorf,2000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942756
9,sex 02/10/1998,14:00,KFC Uerdingen,Karlsruher,?,Henk ten Cate,2110,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942763
10,dom 18/10/1998,11:00,Arm. Bielefeld,KFC Uerdingen,3-4-3,Henk ten Cate,11416,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942777
11,dom 25/10/1998,12:00,KFC Uerdingen,Colônia,?,Henk ten Cate,8374,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942921
