round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 11/08/2000,14:00,Stuttg. Kickers,RW Oberhausen,4-4-2 líbero losango,Gerhard Kleppinger,5400,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941734
2,dom 20/08/2000,10:00,RW Oberhausen,MSV Duisburg,3-4-3,Gerhard Kleppinger,13200,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941749
3,ter 05/09/2000,14:00,Arm. Bielefeld,RW Oberhausen,3-5-2,Gerhard Kleppinger,12030,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941753
4,dom 10/09/2000,10:00,RW Oberhausen,M'gladbach,?,Gerhard Kleppinger,12437,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941765
5,dom 17/09/2000,10:00,Greuther Fürth,RW Oberhausen,?,Gerhard Kleppinger,4863,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941774
6,dom 24/09/2000,10:00,RW Oberhausen,Chemnitzer FC,?,Gerhard Kleppinger,3000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941784
7,sex 29/09/2000,14:00,Saarbrücken,RW Oberhausen,3-1-4-2,Gerhard Kleppinger,10000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941789
8,dom 15/10/2000,11:00,RW Oberhausen,VfL Osnabrück,?,Gerhard Kleppinger,5351,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941801
9,dom 22/10/2000,11:00,SSV Ulm 1846,RW Oberhausen,3-5-2,Gerhard Kleppinger,6000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941811
10,dom 29/10/2000,12:00,RW Oberhausen,Hannover,3-5-2,Gerhard Kleppinger,7154,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941819
11,sáb 04/11/2000,12:00,RW Oberhausen,Mainz,3-5-2,Gerhard Kleppinger,4723,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941826
12,dom 12/11/2000,12:00,Alem. Aachen,RW Oberhausen,3-5-2,Gerhard Kleppinger,11800,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941845
13,dom 19/11/2000,12:00,RW Oberhausen,St. Pauli,?,Gerhard Kleppinger,6650,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941855
14,dom 26/11/2000,12:00,Nuremberg,RW Oberhausen,?,Gerhard Kleppinger,26000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941863
15,dom 03/12/2000,12:00,RW Oberhausen,LR Ahlen,?,Gerhard Kleppinger,4294,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941873
16,dom 10/12/2000,12:00,W. Mannheim,RW Oberhausen,3-4-2-1,Gerhard Kleppinger,5000,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941883
17,qua 13/12/2000,16:00,RW Oberhausen,SSV Reutlingen,3-5-2,Gerhard Kleppinger,3016,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941891
18,sáb 16/12/2000,12:00,RW Oberhausen,Stuttg. Kickers,3-1-4-2,Gerhard Kleppinger,2935,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941897
19,dom 28/01/2001,12:00,MSV Duisburg,RW Oberhausen,?,Gerhard Kleppinger,12163,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941910
20,qua 14/02/2001,16:00,RW Oberhausen,Arm. Bielefeld,4-4-2 losango,Gerhard Kleppinger,4192,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941917
21,sáb 10/02/2001,12:00,M'gladbach,RW Oberhausen,?,Gerhard Kleppinger,20200,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941924
22,sáb 17/02/2001,12:00,RW Oberhausen,Greuther Fürth,3-5-2,Gerhard Kleppinger,3054,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941933
23,qua 21/03/2001,15:00,Chemnitzer FC,RW Oberhausen,?,Gerhard Kleppinger,2360,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941947
24,qua 11/04/2001,14:00,RW Oberhausen,Saarbrücken,3-5-2,Gerhard Kleppinger,2961,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941957
25,sex 09/03/2001,15:00,VfL Osnabrück,RW Oberhausen,?,Gerhard Kleppinger,14800,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941958
26,sáb 17/03/2001,11:00,RW Oberhausen,SSV Ulm 1846,3-3-3-1,Gerhard Kleppinger,3067,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941970
27,sáb 31/03/2001,10:00,Hannover,RW Oberhausen,?,Gerhard Kleppinger,6811,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941978
28,dom 08/04/2001,10:00,Mainz,RW Oberhausen,3-5-2,Gerhard Kleppinger,6010,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941990
29,sáb 14/04/2001,10:00,RW Oberhausen,Alem. Aachen,?,Gerhard Kleppinger,4190,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941996
30,sáb 21/04/2001,10:00,St. Pauli,RW Oberhausen,?,Gerhard Kleppinger,19544,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942005
31,dom 29/04/2001,10:00,RW Oberhausen,Nuremberg,3-4-3 plano,Gerhard Kleppinger,5648,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942016
32,qua 09/05/2001,14:00,LR Ahlen,RW Oberhausen,?,Gerhard Kleppinger,6220,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942028
33,dom 13/05/2001,10:00,RW Oberhausen,W. Mannheim,?,Gerhard Kleppinger,2202,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942036
34,dom 20/05/2001,10:00,SSV Reutlingen,RW Oberhausen,?,Gerhard Kleppinger,6183,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942042
