position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,SC Freiburg,34,20,7,7,58:32,26,67,https://www.transfermarkt.com.br/sc-freiburg/spielplan/verein/60/saison_id/2002
2,1.FC Colônia,34,18,11,5,63:45,18,65,https://www.transfermarkt.com.br/1-fc-koln/spielplan/verein/3/saison_id/2002
3,SG Eintracht Frankfurt,34,17,11,6,59:33,26,62,https://www.transfermarkt.com.br/eintracht-frankfurt/spielplan/verein/24/saison_id/2002
4,1.FSV Mainz 05,34,19,5,10,64:39,25,62,https://www.transfermarkt.com.br/1-fsv-mainz-05/spielplan/verein/39/saison_id/2002
5,SpVgg Greuther Fürth,34,15,12,7,55:35,20,57,https://www.transfermarkt.com.br/spvgg-greuther-furth/spielplan/verein/65/saison_id/2002
6,Alemannia Aachen,34,14,9,11,57:48,9,51,https://www.transfermarkt.com.br/alemannia-aachen/spielplan/verein/8/saison_id/2002
7,SV Eintracht Trier 05,34,14,6,14,53:46,7,48,https://www.transfermarkt.com.br/sv-eintracht-trier-05/spielplan/verein/104/saison_id/2002
8,MSV Duisburg,34,12,10,12,42:47,-5,46,https://www.transfermarkt.com.br/msv-duisburg/spielplan/verein/52/saison_id/2002
9,1.FC Union Berlim,34,10,15,9,36:48,-12,45,https://www.transfermarkt.com.br/1-fc-union-berlin/spielplan/verein/89/saison_id/2002
10,SV Wacker Burghausen,34,10,14,10,48:41,7,44,https://www.transfermarkt.com.br/sv-wacker-burghausen/spielplan/verein/110/saison_id/2002
11,VfB Lübeck,34,13,5,16,51:50,1,44,https://www.transfermarkt.com.br/vfb-lubeck/spielplan/verein/78/saison_id/2002
12,LR Ahlen,34,11,7,16,48:60,-12,40,https://www.transfermarkt.com.br/rot-weiss-ahlen/spielplan/verein/50/saison_id/2002
13,Karlsruher SC,34,9,12,13,35:47,-12,39,https://www.transfermarkt.com.br/karlsruher-sc/spielplan/verein/48/saison_id/2002
14,Rot-Weiß Oberhausen,34,10,7,17,38:48,-10,37,https://www.transfermarkt.com.br/rot-weiss-oberhausen/spielplan/verein/57/saison_id/2002
15,Eintracht Braunschweig TSV,34,8,10,16,33:53,-20,34,https://www.transfermarkt.com.br/eintracht-braunschweig/spielplan/verein/23/saison_id/2002
16,SSV Reutlingen 05,34,11,6,17,43:53,-10,33,https://www.transfermarkt.com.br/ssv-reutlingen-05/spielplan/verein/68/saison_id/2002
17,FC St. Pauli,34,7,10,17,48:67,-19,31,https://www.transfermarkt.com.br/fc-st-pauli/spielplan/verein/35/saison_id/2002
18,SV Waldhof Mannheim,34,6,7,21,32:71,-39,25,https://www.transfermarkt.com.br/sv-waldhof-mannheim/spielplan/verein/85/saison_id/2002
