round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 11/08/2006,13:00,W. Burghausen,Karlsruher,4-4-2 losango,Edmund Becker,5100,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53799
2,seg 21/08/2006,15:15,Karlsruher,K'lautern,4-4-2 duplo 6,Edmund Becker,32306,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53815
3,sex 25/08/2006,13:00,K. Offenbach,Karlsruher,4-4-2 duplo 6,Edmund Becker,12329,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53817
4,dom 17/09/2006,09:00,Karlsruher,MSV Duisburg,4-4-2 duplo 6,Edmund Becker,26000,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53828
5,sex 22/09/2006,13:00,E. Braunschweig,Karlsruher,4-4-2 duplo 6,Edmund Becker,16700,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53836
6,dom 01/10/2006,09:00,Karlsruher,Augsburg,4-4-2 duplo 6,Edmund Becker,21000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53844
7,seg 16/10/2006,15:15,Colônia,Karlsruher,4-4-2 losango,Edmund Becker,40000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53853
8,sex 20/10/2006,13:00,Karlsruher,Carl Zeiss Jena,4-4-2 losango,Edmund Becker,19000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53863
9,dom 29/10/2006,10:00,RW Essen,Karlsruher,4-4-2 losango,Edmund Becker,11689,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/54101
10,sex 03/11/2006,14:00,Karlsruher,Paderborn,4-4-2 losango,Edmund Becker,20300,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53873
11,ter 07/11/2006,14:30,Karlsruher,1860 Munique,4-4-2 losango,Edmund Becker,23700,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53887
12,sex 10/11/2006,15:00,TuS Koblenz,Karlsruher,4-4-2 losango,Edmund Becker,10596,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53896
13,seg 20/11/2006,17:15,Karlsruher,Hansa Rostock,4-4-2 losango,Edmund Becker,27000,4:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53898
14,dom 26/11/2006,11:00,Unterhaching,Karlsruher,4-4-2 losango,Edmund Becker,8000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53914
15,dom 03/12/2006,11:00,Karlsruher,Erzgebirge Aue,4-4-2 losango,Edmund Becker,22000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53916
16,seg 11/12/2006,17:15,Freiburg,Karlsruher,4-4-2 losango,Edmund Becker,22000,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53926
17,dom 17/12/2006,11:00,Karlsruher,Greuther Fürth,4-4-2 losango,Edmund Becker,26000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53934
18,dom 21/01/2007,11:00,Karlsruher,W. Burghausen,4-4-2 losango,Edmund Becker,21000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53947
19,seg 29/01/2007,17:15,K'lautern,Karlsruher,4-4-2 losango,Edmund Becker,45000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53952
20,sex 02/02/2007,15:00,Karlsruher,K. Offenbach,4-4-2 losango,Edmund Becker,20700,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53965
21,seg 12/02/2007,17:15,MSV Duisburg,Karlsruher,4-4-2,Edmund Becker,19124,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53970
22,dom 18/02/2007,11:00,Karlsruher,E. Braunschweig,4-4-2 losango,Edmund Becker,21200,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53984
23,dom 25/02/2007,10:00,Augsburg,Karlsruher,4-4-2 losango,Edmund Becker,16200,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53988
24,seg 05/03/2007,16:15,Karlsruher,Colônia,4-4-2 losango,Edmund Becker,28300,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/53997
