round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 07/08/2009,13:00,St. Pauli,RW Ahlen,4-2-3-1,Holger Stanislawski,22294,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/953885
2,seg 17/08/2009,15:15,Alem. Aachen,St. Pauli,4-2-3-1,Holger Stanislawski,32900,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958714
3,sáb 22/08/2009,08:00,St. Pauli,MSV Duisburg,4-2-3-1,Holger Stanislawski,22554,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958719
4,sex 28/08/2009,13:00,Karlsruher,St. Pauli,4-2-3-1,Holger Stanislawski,26300,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958724
5,dom 13/09/2009,08:30,FSV Frankfurt,St. Pauli,4-2-3-1,Holger Stanislawski,8577,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958739
6,dom 20/09/2009,08:30,St. Pauli,K'lautern,4-2-3-1,Holger Stanislawski,23161,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958746
7,sáb 26/09/2009,08:00,Arm. Bielefeld,St. Pauli,4-2-3-1,Holger Stanislawski,23800,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958752
8,dom 04/10/2009,08:30,St. Pauli,1860 Munique,4-2-3-1,Holger Stanislawski,23188,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958764
9,sex 16/10/2009,13:00,RW Oberhausen,St. Pauli,4-2-3-1,Holger Stanislawski,10125,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958771
10,dom 25/10/2009,11:30,St. Pauli,Energ. Cottbus,4-2-3-1,Holger Stanislawski,23201,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958783
11,seg 02/11/2009,17:15,Hansa Rostock,St. Pauli,4-2-3-1,Holger Stanislawski,21500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958792
12,sex 06/11/2009,15:00,St. Pauli,Düsseldorf,4-2-3-1,Holger Stanislawski,23254,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958802
13,dom 22/11/2009,10:30,Augsburg,St. Pauli,4-2-3-1,Holger Stanislawski,22272,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958809
14,dom 29/11/2009,10:30,St. Pauli,Union Berlim,4-2-3-1,Holger Stanislawski,19901,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958819
15,sáb 05/12/2009,10:00,TuS Koblenz,St. Pauli,4-2-3-1,Holger Stanislawski,8555,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958828
16,dom 13/12/2009,10:30,St. Pauli,Greuther Fürth,4-2-3-1,Holger Stanislawski,19417,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958837
17,dom 20/12/2009,10:30,Paderborn,St. Pauli,4-1-4-1,Holger Stanislawski,13041,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958849
18,sáb 16/01/2010,10:00,RW Ahlen,St. Pauli,4-2-3-1,Holger Stanislawski,6322,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958854
19,sáb 23/01/2010,10:00,St. Pauli,Alem. Aachen,4-2-3-1,Holger Stanislawski,19630,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958859
20,sex 29/01/2010,15:00,MSV Duisburg,St. Pauli,4-2-3-1,Holger Stanislawski,16446,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958871
21,sex 05/02/2010,15:00,St. Pauli,Karlsruher,4-2-3-1,Holger Stanislawski,19980,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958877
