round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 08/08/2009,08:00,Düsseldorf,Paderborn,4-4-2 losango,Norbert Meier,19300,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/953890
2,sáb 15/08/2009,08:00,Union Berlim,Düsseldorf,4-3-1-2,Norbert Meier,12344,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958710
3,sex 21/08/2009,13:00,Düsseldorf,TuS Koblenz,4-4-2 duplo 6,Norbert Meier,20150,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958717
4,seg 31/08/2009,15:15,MSV Duisburg,Düsseldorf,4-4-2 duplo 6,Norbert Meier,27371,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958732
5,sex 11/09/2009,13:00,Düsseldorf,Augsburg,4-4-2 duplo 6,Norbert Meier,20235,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958734
6,sáb 19/09/2009,08:00,RW Ahlen,Düsseldorf,4-4-2 duplo 6,Norbert Meier,6612,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958747
7,seg 28/09/2009,15:15,Düsseldorf,Alem. Aachen,4-4-2 duplo 6,Norbert Meier,29385,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958759
8,sáb 03/10/2009,08:00,Greuther Fürth,Düsseldorf,4-4-2 duplo 6,Norbert Meier,7850,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958762
9,dom 18/10/2009,09:30,Düsseldorf,FSV Frankfurt,4-4-2 losango,Norbert Meier,19100,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958777
10,sex 23/10/2009,14:00,K'lautern,Düsseldorf,4-4-2 losango,Norbert Meier,41491,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958782
11,sex 30/10/2009,15:00,Düsseldorf,Karlsruher,4-4-2 losango,Norbert Meier,23950,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958795
12,sex 06/11/2009,15:00,St. Pauli,Düsseldorf,4-4-2 losango,Norbert Meier,23254,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958802
13,sex 20/11/2009,15:00,Düsseldorf,Energ. Cottbus,4-4-2 losango,Norbert Meier,20100,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958813
14,dom 29/11/2009,10:30,1860 Munique,Düsseldorf,4-4-2 losango,Norbert Meier,22400,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958820
15,sex 04/12/2009,15:00,Düsseldorf,Arm. Bielefeld,4-4-2 losango,Norbert Meier,30300,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958830
16,dom 13/12/2009,10:30,Düsseldorf,RW Oberhausen,4-4-2 losango,Norbert Meier,32495,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958840
17,sáb 19/12/2009,10:00,Hansa Rostock,Düsseldorf,4-4-2 duplo 6,Norbert Meier,13000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958846
18,sex 15/01/2010,15:00,Paderborn,Düsseldorf,4-4-2 losango,Norbert Meier,8980,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958858
19,sex 22/01/2010,15:00,Düsseldorf,Union Berlim,4-4-2 losango,Norbert Meier,25300,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958866
20,sex 29/01/2010,15:00,TuS Koblenz,Düsseldorf,4-4-2 losango,Norbert Meier,8903,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958876
21,dom 07/02/2010,10:30,Düsseldorf,MSV Duisburg,4-4-2 losango,Norbert Meier,48250,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958880
22,dom 14/02/2010,10:30,Augsburg,Düsseldorf,4-4-2 losango,Norbert Meier,15486,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958894
23,sex 19/02/2010,15:00,Düsseldorf,RW Ahlen,4-4-2 losango,Norbert Meier,18500,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958900
24,seg 01/03/2010,16:15,Alem. Aachen,Düsseldorf,4-4-2 losango,Norbert Meier,27031,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958912
25,sex 05/03/2010,16:30,Düsseldorf,Greuther Fürth,4-4-2 losango,Norbert Meier,22850,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958915
26,sáb 13/03/2010,09:00,FSV Frankfurt,Düsseldorf,4-4-2 losango,Norbert Meier,7034,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958930
27,seg 22/03/2010,16:15,Düsseldorf,K'lautern,4-4-2 losango,Norbert Meier,35100,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958935
28,sáb 27/03/2010,09:00,Karlsruher,Düsseldorf,4-4-2 losango,Norbert Meier,16473,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958948
29,seg 05/04/2010,15:15,Düsseldorf,St. Pauli,4-4-2 losango,Norbert Meier,47200,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958955
30,sáb 10/04/2010,08:00,Energ. Cottbus,Düsseldorf,4-4-2 losango,Norbert Meier,10215,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958966
31,dom 18/04/2010,08:30,Düsseldorf,1860 Munique,4-4-2 losango,Norbert Meier,26500,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958973
32,dom 25/04/2010,08:30,Arm. Bielefeld,Düsseldorf,4-4-2 losango,Norbert Meier,13900,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958983
33,dom 02/05/2010,12:30,RW Oberhausen,Düsseldorf,4-3-1-2,Norbert Meier,14948,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958993
34,dom 09/05/2010,10:00,Düsseldorf,Hansa Rostock,4-4-2 losango,Norbert Meier,37407,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/958999
