round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 20/08/2010,13:00,Alem. Aachen,Union Berlim,4-4-2 losango,Peter Hyballa,20021,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1039704
2,dom 29/08/2010,08:30,Karlsruher,Alem. Aachen,4-4-2 losango,Peter Hyballa,13637,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1039719
3,dom 12/09/2010,08:30,Greuther Fürth,Alem. Aachen,4-2-3-1,Peter Hyballa,8250,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042353
4,sex 17/09/2010,13:00,Alem. Aachen,Energ. Cottbus,4-4-2 losango,Peter Hyballa,15386,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042361
5,ter 21/09/2010,12:30,FSV Frankfurt,Alem. Aachen,4-4-2 losango,Peter Hyballa,2749,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042377
6,sex 24/09/2010,13:00,Alem. Aachen,Paderborn,4-4-2 losango,Peter Hyballa,14514,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042394
7,seg 04/10/2010,15:15,Hertha Berlim,Alem. Aachen,4-4-2 losango,Peter Hyballa,34762,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042397
8,dom 17/10/2010,09:30,Alem. Aachen,Ingolstadt,4-4-2 losango,Peter Hyballa,16867,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042411
9,dom 24/10/2010,09:30,Bochum,Alem. Aachen,4-4-2 losango,Peter Hyballa,15390,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042421
10,dom 31/10/2010,10:30,Alem. Aachen,VfL Osnabrück,4-4-2 losango,Peter Hyballa,19553,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042436
11,dom 07/11/2010,10:30,1860 Munique,Alem. Aachen,4-3-1-2,Peter Hyballa,22300,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042443
12,dom 14/11/2010,10:30,Alem. Aachen,MSV Duisburg,4-4-2 losango,Peter Hyballa,19083,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042454
13,dom 21/11/2010,10:30,Erzgebirge Aue,Alem. Aachen,4-4-2 losango,Peter Hyballa,10636,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042465
14,sáb 27/11/2010,10:00,Alem. Aachen,Augsburg,4-3-2-1,Peter Hyballa,14505,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042472
15,sex 03/12/2010,15:00,RW Oberhausen,Alem. Aachen,4-3-2-1,Peter Hyballa,4391,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042481
16,sex 10/12/2010,15:00,Alem. Aachen,Düsseldorf,4-4-2 losango,Peter Hyballa,20071,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042490
17,sex 17/12/2010,15:00,Arm. Bielefeld,Alem. Aachen,4-4-2 losango,Peter Hyballa,8500,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042496
18,sex 14/01/2011,15:00,Union Berlim,Alem. Aachen,4-4-2 losango,Peter Hyballa,12347,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042508
19,sáb 22/01/2011,10:00,Alem. Aachen,Karlsruher,4-4-2 losango,Peter Hyballa,19814,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042516
20,sáb 29/01/2011,10:00,Alem. Aachen,Greuther Fürth,4-4-2 losango,Peter Hyballa,19468,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042526
21,sex 04/02/2011,15:00,Energ. Cottbus,Alem. Aachen,4-4-2 losango,Peter Hyballa,8540,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042534
22,sáb 12/02/2011,10:00,Alem. Aachen,FSV Frankfurt,4-4-2 losango,Peter Hyballa,15813,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042544
23,sáb 19/02/2011,10:00,Paderborn,Alem. Aachen,4-4-2 losango,Peter Hyballa,6044,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042549
24,sáb 26/02/2011,09:00,Alem. Aachen,Hertha Berlim,4-4-2 losango,Peter Hyballa,20000,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042563
