round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 06/08/2012,15:15,K'lautern,Union Berlim,4-4-2 duplo 6,Franco Foda,31618,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2222527
2,sex 10/08/2012,13:00,VfR Aalen,K'lautern,4-4-2 duplo 6,Franco Foda,12038,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231687
3,dom 26/08/2012,08:30,K'lautern,1860 Munique,4-2-3-1,Franco Foda,37571,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231693
4,sex 31/08/2012,13:00,Dynamo Dresden,K'lautern,4-2-3-1,Franco Foda,29057,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231703
5,dom 16/09/2012,08:30,K'lautern,MSV Duisburg,4-2-3-1,Franco Foda,29869,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231721
6,sáb 22/09/2012,08:00,K'lautern,Hertha Berlim,4-2-3-1,Franco Foda,31000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231727
7,qui 27/09/2012,15:15,Bochum,K'lautern,4-4-2 duplo 6,Franco Foda,13212,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231736
8,dom 30/09/2012,08:30,K'lautern,E. Braunschweig,4-4-2 duplo 6,Franco Foda,33025,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231744
9,dom 07/10/2012,08:30,Ingolstadt,K'lautern,4-4-2 duplo 6,Franco Foda,7011,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231710
10,sex 19/10/2012,13:00,K'lautern,Sandhausen,4-4-2 duplo 6,Franco Foda,27526,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231756
11,sex 26/10/2012,14:00,Colônia,K'lautern,4-2-3-1,Franco Foda,46056,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231767
12,seg 05/11/2012,17:15,K'lautern,Erzgebirge Aue,4-2-3-1,Franco Foda,23372,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231771
13,sáb 10/11/2012,10:00,Paderborn,K'lautern,4-2-3-1,Franco Foda,11471,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231777
14,sex 16/11/2012,15:00,K'lautern,Energ. Cottbus,4-2-3-1,Franco Foda,29622,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231787
15,sáb 24/11/2012,10:00,FSV Frankfurt,K'lautern,4-2-3-1,Franco Foda,10470,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231803
16,ter 27/11/2012,14:30,K'lautern,J. Regensburg,4-2-3-1,Franco Foda,24729,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231821
17,sáb 01/12/2012,10:00,St. Pauli,K'lautern,4-2-3-1,Franco Foda,21054,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231812
18,sex 07/12/2012,15:00,Union Berlim,K'lautern,4-4-2 losango,Franco Foda,16750,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231833
19,sex 14/12/2012,15:00,K'lautern,VfR Aalen,4-2-3-1,Franco Foda,23006,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231837
20,seg 04/02/2013,17:15,1860 Munique,K'lautern,4-4-2 losango,Franco Foda,19100,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231861
21,sex 08/02/2013,17:30,K'lautern,Dynamo Dresden,4-4-2 losango,Franco Foda,32925,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231852
22,dom 17/02/2013,09:30,MSV Duisburg,K'lautern,4-4-2 losango,Franco Foda,13725,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231863
23,seg 25/02/2013,16:15,Hertha Berlim,K'lautern,4-1-3-2,Franco Foda,37347,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231871
24,sáb 02/03/2013,09:00,K'lautern,Bochum,4-2-3-1,Franco Foda,26896,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231881
25,seg 11/03/2013,16:15,E. Braunschweig,K'lautern,4-4-2 duplo 6,Franco Foda,22630,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231890
26,dom 17/03/2013,09:30,K'lautern,Ingolstadt,4-4-2 duplo 6,Franco Foda,24353,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231911
27,dom 31/03/2013,08:30,Sandhausen,K'lautern,4-4-2 duplo 6,Franco Foda,12100,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231929
28,sex 05/04/2013,13:00,K'lautern,Colônia,4-1-3-2,Franco Foda,49780,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231920
29,seg 15/04/2013,15:15,Erzgebirge Aue,K'lautern,4-1-3-2,Franco Foda,8300,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231909
30,sáb 20/04/2013,08:00,K'lautern,Paderborn,4-4-2 duplo 6,Franco Foda,28702,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231903
31,seg 29/04/2013,15:15,Energ. Cottbus,K'lautern,4-4-2 duplo 6,Franco Foda,7545,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231951
32,dom 05/05/2013,08:30,K'lautern,FSV Frankfurt,4-4-2 duplo 6,Franco Foda,38792,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231949
33,dom 12/05/2013,08:30,J. Regensburg,K'lautern,4-4-2 duplo 6,Franco Foda,8105,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231971
34,dom 19/05/2013,08:30,K'lautern,St. Pauli,4-2-3-1,Franco Foda,46460,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2231965
