round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 19/07/2013,13:30,Sandhausen,VfR Aalen,4-2-3-1,Alois Schwartz,3825,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321040
2,sáb 27/07/2013,08:00,Erzgebirge Aue,Sandhausen,4-2-3-1,Alois Schwartz,8200,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321096
3,dom 11/08/2013,08:30,Sandhausen,Energ. Cottbus,4-1-4-1,Alois Schwartz,3200,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321103
4,sáb 17/08/2013,08:00,Colônia,Sandhausen,4-1-4-1,Alois Schwartz,39000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321432
5,sex 23/08/2013,13:30,Sandhausen,Karlsruher,4-2-3-1,Alois Schwartz,10600,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321495
6,sex 30/08/2013,13:30,1860 Munique,Sandhausen,4-4-1-1,Alois Schwartz,15100,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321552
7,sáb 14/09/2013,08:00,Sandhausen,K'lautern,4-2-3-1,Alois Schwartz,9500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321563
8,sáb 21/09/2013,08:00,Arm. Bielefeld,Sandhausen,4-2-3-1,Alois Schwartz,11037,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321575
9,dom 29/09/2013,08:30,Sandhausen,Bochum,4-4-2 losango,Alois Schwartz,4700,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321581
10,sex 04/10/2013,13:30,Union Berlim,Sandhausen,4-2-3-1,Alois Schwartz,18756,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321588
11,sáb 19/10/2013,08:00,Sandhausen,Dynamo Dresden,4-4-2 duplo 6,Alois Schwartz,6500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321599
12,sex 25/10/2013,14:30,St. Pauli,Sandhausen,4-5-1,Alois Schwartz,27901,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321607
13,dom 03/11/2013,10:30,Sandhausen,FSV Frankfurt,4-2-3-1,Alois Schwartz,3550,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321617
14,dom 10/11/2013,10:30,Düsseldorf,Sandhausen,4-2-3-1,Alois Schwartz,28489,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321621
15,sex 22/11/2013,15:30,Sandhausen,Paderborn,4-2-3-1,Alois Schwartz,3000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321635
16,sáb 30/11/2013,10:00,Ingolstadt,Sandhausen,4-4-2,Alois Schwartz,4050,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321645
17,dom 08/12/2013,10:30,Sandhausen,Greuther Fürth,4-2-3-1,Alois Schwartz,4000,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321653
18,sex 13/12/2013,15:30,VfR Aalen,Sandhausen,4-4-2 duplo 6,Alois Schwartz,4781,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321670
19,sex 20/12/2013,15:30,Sandhausen,Erzgebirge Aue,4-2-3-1,Alois Schwartz,3310,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321687
20,sex 07/02/2014,15:30,Energ. Cottbus,Sandhausen,4-2-3-1,Alois Schwartz,10986,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321695
21,dom 16/02/2014,09:30,Sandhausen,Colônia,4-2-3-1,Alois Schwartz,9800,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321706
22,sáb 22/02/2014,09:00,Karlsruher,Sandhausen,4-2-3-1,Alois Schwartz,13322,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321717
23,sáb 01/03/2014,09:00,Sandhausen,1860 Munique,4-2-3-1,Alois Schwartz,5300,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321724
24,sex 07/03/2014,14:30,K'lautern,Sandhausen,4-4-2 duplo 6,Alois Schwartz,24584,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321728
25,dom 16/03/2014,09:30,Sandhausen,Arm. Bielefeld,4-4-2 duplo 6,Alois Schwartz,4100,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321742
26,sex 21/03/2014,14:30,Bochum,Sandhausen,4-4-2 duplo 6,Alois Schwartz,11332,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321751
27,ter 25/03/2014,13:30,Sandhausen,Union Berlim,4-4-2 duplo 6,Alois Schwartz,4050,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321760
28,sex 28/03/2014,14:30,Dynamo Dresden,Sandhausen,4-4-2 duplo 6,Alois Schwartz,24000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321770
29,sáb 05/04/2014,08:00,Sandhausen,St. Pauli,4-4-2 duplo 6,Alois Schwartz,8050,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321778
30,dom 13/04/2014,08:30,FSV Frankfurt,Sandhausen,4-4-2 duplo 6,Alois Schwartz,6847,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321784
31,qui 17/04/2014,13:30,Sandhausen,Düsseldorf,4-4-2 duplo 6,Alois Schwartz,5750,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321796
32,dom 27/04/2014,08:30,Paderborn,Sandhausen,4-5-1 plano,Alois Schwartz,14718,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321805
33,dom 04/05/2014,10:30,Sandhausen,Ingolstadt,4-4-2,Alois Schwartz,5450,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321814
34,dom 11/05/2014,10:30,Greuther Fürth,Sandhausen,4-5-1 plano,Alois Schwartz,16165,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321819
