round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 03/08/2018,15:30,Hamburgo,Holstein Kiel,4-2-3-1,Tim Walter,57000,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058415
2,dom 12/08/2018,10:30,Holstein Kiel,Heidenheim,4-2-3-1,Tim Walter,9041,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058622
3,dom 26/08/2018,08:30,J. Regensburg,Holstein Kiel,4-2-3-1,Tim Walter,9700,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058731
4,seg 03/09/2018,15:30,Holstein Kiel,Magdeburgo,4-2-3-1,Tim Walter,9314,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058756
5,sáb 15/09/2018,08:00,Greuther Fürth,Holstein Kiel,4-2-3-1,Tim Walter,8370,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058771
6,sáb 22/09/2018,08:00,Holstein Kiel,Bochum,4-1-4-1,Tim Walter,8880,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058776
7,ter 25/09/2018,13:30,Union Berlim,Holstein Kiel,4-4-2 losango,Tim Walter,20879,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058784
8,sex 28/09/2018,13:30,Holstein Kiel,Darmstadt 98,4-4-2 losango,Tim Walter,8527,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058806
9,sáb 06/10/2018,08:00,Erzgebirge Aue,Holstein Kiel,4-4-2 losango,Tim Walter,7500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058836
10,sáb 20/10/2018,08:00,Holstein Kiel,Colônia,4-4-2 losango,Tim Walter,9700,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058839
11,dom 28/10/2018,09:30,St. Pauli,Holstein Kiel,4-1-4-1,Tim Walter,29546,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058851
12,sáb 03/11/2018,09:00,Holstein Kiel,Ingolstadt,4-3-3 ofensivo,Tim Walter,8410,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3058856
