round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 24/07/2021,08:30,Hansa Rostock,Karlsruher,4-2-3-1,Jens Härtel,14500,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588165
2,sáb 31/07/2021,08:30,Hannover,Hansa Rostock,4-1-4-1,Jens Härtel,13600,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588190
3,dom 15/08/2021,08:30,Heidenheim,Hansa Rostock,4-2-3-1,Jens Härtel,5400,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588206
4,sáb 21/08/2021,15:30,Hansa Rostock,Dynamo Dresden,4-2-3-1,Jens Härtel,14500,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588236
5,dom 29/08/2021,08:30,Werder Bremen,Hansa Rostock,5-4-1 plano,Jens Härtel,21050,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588247
6,dom 12/09/2021,08:30,Hansa Rostock,Darmstadt 98,4-2-3-1,Jens Härtel,14500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588272
7,sex 17/09/2021,13:30,Nuremberg,Hansa Rostock,4-2-3-1,Jens Härtel,25000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588298
8,sáb 25/09/2021,15:30,Hansa Rostock,Schalke,4-1-4-1,Jens Härtel,14500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588317
9,sáb 02/10/2021,08:30,Holstein Kiel,Hansa Rostock,4-2-3-1,Jens Härtel,9240,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588330
10,dom 17/10/2021,08:30,Hansa Rostock,Sandhausen,4-3-3 ofensivo,Jens Härtel,21200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588362
11,dom 24/10/2021,08:30,St. Pauli,Hansa Rostock,3-3-3-1,Jens Härtel,22006,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588368
12,dom 31/10/2021,09:30,Hansa Rostock,Düsseldorf,4-3-3 defensivo,Jens Härtel,21000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588398
13,sáb 06/11/2021,09:30,J. Regensburg,Hansa Rostock,4-2-3-1,Jens Härtel,8616,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588417
14,sáb 20/11/2021,09:30,Hansa Rostock,Erzgebirge Aue,4-2-3-1,Jens Härtel,21750,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588434
15,dom 28/11/2021,09:30,Paderborn,Hansa Rostock,4-3-3 ofensivo,Jens Härtel,7084,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588450
16,sáb 04/12/2021,09:30,Hansa Rostock,Ingolstadt,4-3-3 ofensivo,Jens Härtel,1000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588480
17,dom 12/12/2021,09:30,Hamburgo,Hansa Rostock,4-2-3-1,Jens Härtel,15000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588501
18,dom 19/12/2021,09:30,Karlsruher,Hansa Rostock,4-2-3-1,Jens Härtel,750,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588520
19,sex 14/01/2022,14:30,Hansa Rostock,Hannover,4-2-3-1,Jens Härtel,x,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588543
20,sáb 22/01/2022,09:30,Hansa Rostock,Heidenheim,4-2-3-1,Jens Härtel,x,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588560
21,dom 06/02/2022,09:30,Dynamo Dresden,Hansa Rostock,4-2-3-1,Jens Härtel,10000,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588579
22,sex 11/02/2022,14:30,Hansa Rostock,Werder Bremen,4-2-3-1,Jens Härtel,10000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588605
23,dom 20/02/2022,09:30,Darmstadt 98,Hansa Rostock,4-3-3 ofensivo,Jens Härtel,7500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588620
24,sáb 26/02/2022,09:30,Hansa Rostock,Nuremberg,4-2-3-1,Jens Härtel,10000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588641
25,sáb 05/03/2022,09:30,Schalke,Hansa Rostock,4-3-3 ofensivo,Jens Härtel,28790,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588659
26,sex 11/03/2022,14:30,Hansa Rostock,Holstein Kiel,4-3-3 ofensivo,Jens Härtel,21250,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588692
27,sáb 19/03/2022,09:30,Sandhausen,Hansa Rostock,4-3-3 ofensivo,Jens Härtel,5246,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588684
28,sáb 02/04/2022,15:30,Hansa Rostock,St. Pauli,3-4-1-2,Jens Härtel,25000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588708
29,sex 08/04/2022,13:30,Düsseldorf,Hansa Rostock,3-4-1-2,Jens Härtel,22346,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588712
30,dom 17/04/2022,08:30,Hansa Rostock,J. Regensburg,4-2-3-1,Jens Härtel,26000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588726
31,dom 24/04/2022,08:30,Erzgebirge Aue,Hansa Rostock,4-2-3-1,Jens Härtel,10929,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588735
32,sáb 30/04/2022,08:30,Hansa Rostock,Paderborn,4-1-4-1,Jens Härtel,24500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588744
33,sáb 07/05/2022,08:30,Ingolstadt,Hansa Rostock,4-1-4-1,Jens Härtel,6371,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588754
34,dom 15/05/2022,10:30,Hansa Rostock,Hamburgo,3-5-2,Jens Härtel,26150,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588763
