round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 17/07/2022,08:30,E. Braunschweig,Hamburgo,5-3-2,Michael Schiele,21900,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839024
2,sáb 23/07/2022,08:00,Heidenheim,E. Braunschweig,5-3-2,Michael Schiele,7088,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839037
3,dom 07/08/2022,08:30,E. Braunschweig,Darmstadt 98,4-2-3-1,Michael Schiele,16731,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839050
4,sáb 13/08/2022,08:00,Holstein Kiel,E. Braunschweig,4-2-3-1,Michael Schiele,11575,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839065
5,sáb 20/08/2022,15:30,E. Braunschweig,Düsseldorf,5-3-2,Michael Schiele,17471,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839078
6,sex 26/08/2022,13:30,Arm. Bielefeld,E. Braunschweig,5-3-2,Michael Schiele,18057,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839088
7,sex 02/09/2022,13:30,E. Braunschweig,Nuremberg,5-3-2,Michael Schiele,17173,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839131
8,sáb 10/09/2022,08:00,Hannover,E. Braunschweig,3-4-1-2,Michael Schiele,42000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839146
9,sex 16/09/2022,13:30,E. Braunschweig,Karlsruher,3-4-1-2,Michael Schiele,17307,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839176
10,dom 02/10/2022,08:30,K'lautern,E. Braunschweig,3-4-1-2,Michael Schiele,36332,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839194
11,sáb 08/10/2022,08:00,E. Braunschweig,St. Pauli,3-4-1-2,Michael Schiele,21000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839212
12,sáb 15/10/2022,08:00,Magdeburgo,E. Braunschweig,3-4-1-2,Michael Schiele,25601,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839229
13,sáb 22/10/2022,08:00,E. Braunschweig,Paderborn,3-4-1-2,Michael Schiele,16844,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839248
14,dom 30/10/2022,09:30,Sandhausen,E. Braunschweig,3-5-2 plano,Michael Schiele,4729,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839272
15,dom 06/11/2022,09:30,E. Braunschweig,Greuther Fürth,3-4-1-2,Michael Schiele,17580,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839293
16,qua 09/11/2022,14:30,J. Regensburg,E. Braunschweig,3-4-1-2,Michael Schiele,8232,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839309
17,sáb 12/11/2022,16:30,E. Braunschweig,Hansa Rostock,3-4-1-2,Michael Schiele,21221,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839329
18,dom 29/01/2023,09:30,Hamburgo,E. Braunschweig,3-5-2 ofensivo,Michael Schiele,55500,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839340
19,sáb 04/02/2023,09:00,E. Braunschweig,Heidenheim,3-5-2 ofensivo,Michael Schiele,16776,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839364
20,dom 12/02/2023,09:30,Darmstadt 98,E. Braunschweig,3-5-2,Michael Schiele,16342,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839376
21,sex 17/02/2023,14:30,E. Braunschweig,Holstein Kiel,3-5-2,Michael Schiele,18747,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839410
22,sex 24/02/2023,14:30,Düsseldorf,E. Braunschweig,3-5-2 plano,Michael Schiele,24127,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839425
23,dom 05/03/2023,09:30,E. Braunschweig,Arm. Bielefeld,3-4-1-2,Michael Schiele,19758,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839446
24,sex 10/03/2023,14:30,Nuremberg,E. Braunschweig,3-4-1-2,Michael Schiele,25238,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839458
25,dom 19/03/2023,09:30,E. Braunschweig,Hannover,4-2-3-1,Michael Schiele,20995,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839482
26,sáb 01/04/2023,08:00,Karlsruher,E. Braunschweig,4-2-3-1,Michael Schiele,19203,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839498
27,sáb 08/04/2023,08:00,E. Braunschweig,K'lautern,4-2-3-1,Michael Schiele,21143,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839527
28,dom 16/04/2023,08:30,St. Pauli,E. Braunschweig,3-4-3 plano,Michael Schiele,29546,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839538
29,sáb 22/04/2023,15:30,E. Braunschweig,Magdeburgo,3-4-1-2,Michael Schiele,23325,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839563
30,sex 28/04/2023,13:30,Paderborn,E. Braunschweig,4-2-3-1,Michael Schiele,13266,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839575
31,dom 07/05/2023,08:30,E. Braunschweig,Sandhausen,3-4-1-2,Michael Schiele,20000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839599
32,sáb 13/05/2023,08:00,Greuther Fürth,E. Braunschweig,3-4-1-2,Michael Schiele,11430,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839600
33,sáb 20/05/2023,08:00,E. Braunschweig,J. Regensburg,3-4-1-2,Michael Schiele,20267,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839617
34,dom 28/05/2023,10:30,Hansa Rostock,E. Braunschweig,4-2-3-1,Michael Schiele,26500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839622
