round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 03/08/1991,10:30,Düsseldorf,Frankfurt,3-5-2,Josef Hickersberger,17000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/15632
2,sáb 10/08/1991,10:30,Nuremberg,Düsseldorf,3-5-2,Josef Hickersberger,22000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/15646
3,qua 14/08/1991,15:00,Düsseldorf,Bayern,3-4-2-1,Josef Hickersberger,33000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/15657
4,ter 20/08/1991,15:00,Dortmund,Düsseldorf,3-4-1-2,Josef Hickersberger,36326,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/15658
5,sáb 24/08/1991,10:30,Düsseldorf,Stuttgart,5-3-2,Josef Hickersberger,9000,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/15669
6,ter 27/08/1991,15:00,M'gladbach,Düsseldorf,3-4-3,Josef Hickersberger,20000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/15681
7,sex 30/08/1991,15:00,Düsseldorf,Wattenscheid 09,3-5-2,Rolf Schafstall,7500,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/15690
8,sáb 07/09/1991,10:30,Leverkusen,Düsseldorf,3-4-1-2,Rolf Schafstall,11000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/15702
9,sex 13/09/1991,15:00,Düsseldorf,MSV Duisburg,3-4-1-2,Rolf Schafstall,20000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/15710
10,sex 20/09/1991,15:00,Karlsruher,Düsseldorf,3-5-2,Rolf Schafstall,18000,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/15719
11,sáb 28/09/1991,10:30,Düsseldorf,Werder Bremen,3-5-2 ofensivo,Rolf Schafstall,13000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/15735
