round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 12/08/1995,10:30,Hansa Rostock,Leverkusen,3-5-2,Erich Ribbeck,25320,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16932
2,sáb 19/08/1995,10:30,Leverkusen,Dortmund,3-5-2,Erich Ribbeck,25500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16939
3,ter 29/08/1995,15:00,M'gladbach,Leverkusen,?,Erich Ribbeck,31600,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16945
4,sáb 02/09/1995,10:30,Leverkusen,St. Pauli,3-5-2 ofensivo,Erich Ribbeck,18900,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16956
5,sáb 09/09/1995,10:30,Stuttgart,Leverkusen,3-5-2 ofensivo,Erich Ribbeck,23000,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16970
6,sáb 16/09/1995,10:30,Leverkusen,Frankfurt,3-1-4-2,Erich Ribbeck,18000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16973
7,sáb 23/09/1995,10:30,Bayern,Leverkusen,3-1-4-2,Erich Ribbeck,63000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16983
8,sáb 30/09/1995,11:30,Leverkusen,Werder Bremen,4-3-3 com líbero,Erich Ribbeck,24500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16992
9,dom 15/10/1995,15:00,Colônia,Leverkusen,3-5-2,Erich Ribbeck,36000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17006
10,sex 20/10/1995,17:00,Leverkusen,Schalke,?,Erich Ribbeck,26500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17007
11,sáb 28/10/1995,12:30,Düsseldorf,Leverkusen,3-5-2,Erich Ribbeck,17000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17021
12,sex 03/11/1995,17:00,Leverkusen,Hamburgo,?,Erich Ribbeck,21500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17025
13,sáb 11/11/1995,12:30,Karlsruher,Leverkusen,?,Erich Ribbeck,23000,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17040
14,sáb 18/11/1995,12:30,Leverkusen,KFC Uerdingen,?,Erich Ribbeck,18600,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17046
15,sáb 25/11/1995,12:30,1860 Munique,Leverkusen,?,Erich Ribbeck,27000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17059
16,sex 01/12/1995,17:00,Leverkusen,Freiburg,3-5-2,Erich Ribbeck,21800,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17061
17,sáb 09/12/1995,12:30,K'lautern,Leverkusen,3-5-2,Erich Ribbeck,34632,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17072
18,ter 19/03/1996,15:00,Leverkusen,Hansa Rostock,3-5-2,Erich Ribbeck,16700,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17086
19,ter 07/05/1996,15:00,Dortmund,Leverkusen,3-5-2,Peter Hermann,48800,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17095
20,sex 23/02/1996,16:00,Leverkusen,M'gladbach,3-5-2,Erich Ribbeck,21000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17098
21,ter 02/04/1996,15:00,St. Pauli,Leverkusen,3-5-2,Erich Ribbeck,19465,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17114
22,sex 08/03/1996,16:00,Leverkusen,Stuttgart,3-5-2,Erich Ribbeck,21400,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17115
23,sáb 16/03/1996,11:30,Frankfurt,Leverkusen,3-5-2 ofensivo,Erich Ribbeck,19300,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17126
24,sáb 23/03/1996,11:30,Leverkusen,Bayern,3-5-2,Erich Ribbeck,26500,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17136
25,sáb 30/03/1996,11:30,Werder Bremen,Leverkusen,3-5-2,Erich Ribbeck,26264,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17148
26,sáb 06/04/1996,10:30,Leverkusen,Colônia,3-5-2,Erich Ribbeck,26500,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17154
27,ter 09/04/1996,15:00,Schalke,Leverkusen,3-5-2 plano,Erich Ribbeck,37300,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17163
28,dom 14/04/1996,13:00,Leverkusen,Düsseldorf,3-5-2,Erich Ribbeck,26500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17177
29,qua 24/04/1996,14:30,Hamburgo,Leverkusen,3-5-2,Erich Ribbeck,15000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17186
30,sáb 27/04/1996,10:30,Leverkusen,Karlsruher,3-5-2 plano,Erich Ribbeck,19400,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17189
31,ter 30/04/1996,15:00,KFC Uerdingen,Leverkusen,3-5-2,Peter Hermann,8100,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17198
32,sáb 04/05/1996,10:30,Leverkusen,1860 Munique,3-5-2,Peter Hermann,21900,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17207
33,sáb 11/05/1996,10:30,Freiburg,Leverkusen,3-5-2,Peter Hermann,22500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17221
34,sáb 18/05/1996,10:30,Leverkusen,K'lautern,3-5-2,Peter Hermann,19500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17223
