round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 12/08/1995,10:30,St. Pauli,1860 Munique,3-5-2,Ulrich Maslo,20725,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16933
2,sex 18/08/1995,14:30,Freiburg,St. Pauli,3-5-2,Ulrich Maslo,22500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16937
3,ter 29/08/1995,15:00,St. Pauli,K'lautern,3-5-2,Ulrich Maslo,20345,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16947
4,sáb 02/09/1995,10:30,Leverkusen,St. Pauli,3-5-2,Ulrich Maslo,18900,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16956
5,sáb 09/09/1995,10:30,St. Pauli,Dortmund,3-5-2 ofensivo,Ulrich Maslo,20725,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16968
6,dom 17/09/1995,13:00,M'gladbach,St. Pauli,?,Ulrich Maslo,34200,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16978
7,sáb 23/09/1995,10:30,Hansa Rostock,St. Pauli,?,Ulrich Maslo,25800,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16984
8,sex 29/09/1995,16:00,St. Pauli,Stuttgart,3-4-3 plano,Ulrich Maslo,20402,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/16989
9,sáb 14/10/1995,11:30,Frankfurt,St. Pauli,3-4-2-1,Ulrich Maslo,24500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17000
10,sáb 21/10/1995,12:30,St. Pauli,Bayern,3-4-2-1,Ulrich Maslo,20594,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17011
11,sáb 28/10/1995,12:30,Werder Bremen,St. Pauli,3-5-2 ofensivo,Ulrich Maslo,29699,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17023
12,sex 03/11/1995,17:00,St. Pauli,Colônia,?,Ulrich Maslo,20565,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17026
13,sáb 11/11/1995,12:30,Schalke,St. Pauli,3-5-2,Ulrich Maslo,29600,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17038
