round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 17/08/1996,10:30,1860 Munique,Hamburgo,3-5-2,Werner Lorant,38100,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17237
2,qua 21/08/1996,15:00,Colônia,1860 Munique,3-5-2,Werner Lorant,28000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17245
3,sáb 24/08/1996,10:30,1860 Munique,Dortmund,3-5-2,Werner Lorant,51000,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17255
4,qua 28/08/1996,14:30,Düsseldorf,1860 Munique,3-3-3-1,Werner Lorant,11500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17266
5,sáb 07/09/1996,10:30,Leverkusen,1860 Munique,3-5-2,Werner Lorant,19000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17270
6,sáb 14/09/1996,10:30,1860 Munique,Freiburg,3-4-2-1,Werner Lorant,28200,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17284
7,sex 20/09/1996,15:00,Hansa Rostock,1860 Munique,3-5-2,Werner Lorant,17000,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17286
8,sáb 28/09/1996,10:30,1860 Munique,Stuttgart,3-4-2-1,Werner Lorant,53000,2:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17302
9,sáb 05/10/1996,10:30,M'gladbach,1860 Munique,3-4-2-1,Werner Lorant,26700,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17307
10,sex 11/10/1996,16:00,1860 Munique,St. Pauli,3-5-2,Werner Lorant,27500,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17314
11,sex 18/10/1996,16:00,Bochum,1860 Munique,3-4-2-1,Werner Lorant,25442,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17323
12,sáb 26/10/1996,11:30,1860 Munique,MSV Duisburg,3-5-2,Werner Lorant,25000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17337
13,sex 01/11/1996,15:00,Bayern,1860 Munique,3-5-2 plano,Werner Lorant,69000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17340
14,sáb 16/11/1996,12:30,1860 Munique,Arm. Bielefeld,3-5-2,Werner Lorant,25500,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17355
15,sáb 23/11/1996,12:30,Schalke,1860 Munique,3-4-2-1,Werner Lorant,29360,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17363
16,sáb 30/11/1996,12:30,1860 Munique,Karlsruher,3-5-2,Werner Lorant,26000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17373
17,sex 06/12/1996,17:00,Werder Bremen,1860 Munique,3-5-2,Werner Lorant,29700,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17378
18,sáb 15/02/1997,12:30,Hamburgo,1860 Munique,3-4-2-1,Werner Lorant,23297,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17389
19,sáb 22/02/1997,11:30,1860 Munique,Colônia,3-5-2,Werner Lorant,31000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17400
20,sáb 01/03/1997,11:30,Dortmund,1860 Munique,3-5-2,Werner Lorant,55000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17406
21,sáb 08/03/1997,11:30,1860 Munique,Düsseldorf,3-5-2,Werner Lorant,25800,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17418
22,qua 12/03/1997,15:30,1860 Munique,Leverkusen,3-4-2-1,Werner Lorant,29000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17429
23,sáb 15/03/1997,11:30,Freiburg,1860 Munique,3-4-2-1,Werner Lorant,22500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17436
24,sáb 22/03/1997,11:30,1860 Munique,Hansa Rostock,3-5-2 ofensivo,Werner Lorant,26500,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17446
25,qui 27/03/1997,16:00,Stuttgart,1860 Munique,3-4-2-1,Werner Lorant,53000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17450
26,sex 04/04/1997,15:00,1860 Munique,M'gladbach,3-5-2,Werner Lorant,42900,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17458
27,sáb 12/04/1997,10:30,St. Pauli,1860 Munique,3-4-2-1,Werner Lorant,20725,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17471
28,sáb 19/04/1997,10:30,1860 Munique,Bochum,3-4-2-1,Peter Pacult,53000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17482
29,sex 25/04/1997,14:30,MSV Duisburg,1860 Munique,3-5-2,Werner Lorant,19300,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17486
30,dom 04/05/1997,13:00,1860 Munique,Bayern,3-4-2-1,Werner Lorant,69000,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17501
31,sáb 10/05/1997,10:30,Arm. Bielefeld,1860 Munique,3-4-2-1,Werner Lorant,22512,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17504
32,sáb 17/05/1997,10:30,1860 Munique,Schalke,3-1-4-2,Werner Lorant,54000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17517
33,sáb 24/05/1997,10:30,Karlsruher,1860 Munique,3-4-2-1,Werner Lorant,33515,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17525
34,sáb 31/05/1997,10:30,1860 Munique,Werder Bremen,3-5-2,Werner Lorant,54000,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17536
