round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 17/08/1996,10:30,Stuttgart,Schalke,3-5-2,Joachim Löw,37000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17238
2,ter 17/09/1996,14:30,Karlsruher,Stuttgart,3-5-2,Joachim Löw,33500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17249
3,sáb 24/08/1996,10:30,Stuttgart,Werder Bremen,3-5-2,Joachim Löw,27000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17256
4,ter 27/08/1996,14:30,Hamburgo,Stuttgart,3-5-2,Joachim Löw,31139,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17261
5,dom 08/09/1996,13:00,Stuttgart,Colônia,3-5-2,Joachim Löw,53000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17276
6,sáb 14/09/1996,10:30,Dortmund,Stuttgart,3-5-2,Joachim Löw,48800,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17280
7,sáb 21/09/1996,10:30,Stuttgart,Düsseldorf,3-5-2,Joachim Löw,37000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17292
8,sáb 28/09/1996,10:30,1860 Munique,Stuttgart,3-5-2,Joachim Löw,53000,2:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17302
9,sex 04/10/1996,15:00,Stuttgart,Freiburg,3-5-2,Joachim Löw,53000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17305
10,sáb 12/10/1996,11:30,Hansa Rostock,Stuttgart,3-5-2,Joachim Löw,22000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17317
11,sex 18/10/1996,16:00,Leverkusen,Stuttgart,3-5-2,Joachim Löw,21000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17322
12,sáb 26/10/1996,11:30,Stuttgart,M'gladbach,3-5-2,Joachim Löw,53000,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17338
13,sáb 02/11/1996,12:30,St. Pauli,Stuttgart,3-5-2,Joachim Löw,20725,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17345
14,sáb 16/11/1996,12:30,Stuttgart,Bochum,3-5-2,Joachim Löw,40000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17356
15,dom 24/11/1996,15:00,MSV Duisburg,Stuttgart,3-5-2,Joachim Löw,22000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17366
16,dom 01/12/1996,16:00,Stuttgart,Bayern,3-5-2,Joachim Löw,53000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17374
17,sáb 07/12/1996,11:30,Arm. Bielefeld,Stuttgart,3-5-2,Joachim Löw,22512,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17381
18,sáb 15/02/1997,12:30,Schalke,Stuttgart,3-5-2,Joachim Löw,36200,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17388
19,sáb 22/02/1997,11:30,Stuttgart,Karlsruher,3-5-2,Joachim Löw,42000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17401
20,sáb 01/03/1997,11:30,Werder Bremen,Stuttgart,3-5-2,Joachim Löw,30792,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17410
21,sáb 08/03/1997,11:30,Stuttgart,Hamburgo,3-5-2,Joachim Löw,32500,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17419
22,ter 11/03/1997,16:00,Colônia,Stuttgart,3-5-2,Joachim Löw,27000,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17421
23,sáb 15/03/1997,11:30,Stuttgart,Dortmund,3-5-2,Joachim Löw,53000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17437
24,sex 21/03/1997,16:00,Düsseldorf,Stuttgart,3-5-2,Joachim Löw,15000,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17439
