round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 15/08/1998,10:30,Wolfsburg,Bayern,3-4-3 plano,Ottmar Hitzfeld,21600,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17851
2,sáb 22/08/1998,10:30,Bayern,MSV Duisburg,?,Ottmar Hitzfeld,63000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17859
3,qua 09/09/1998,15:00,Bayern,Hansa Rostock,?,Ottmar Hitzfeld,53000,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17869
4,sáb 12/09/1998,10:30,Freiburg,Bayern,3-4-3,Ottmar Hitzfeld,22500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17877
5,dom 20/09/1998,13:00,Bayern,Hamburgo,?,Ottmar Hitzfeld,50000,5:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17887
6,sáb 26/09/1998,10:30,Werder Bremen,Bayern,3-4-1-2,Ottmar Hitzfeld,36000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17896
7,dom 04/10/1998,15:00,Bayern,Dortmund,?,Ottmar Hitzfeld,61000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17905
8,sáb 17/10/1998,11:30,Schalke,Bayern,?,Ottmar Hitzfeld,62109,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17911
9,sáb 24/10/1998,11:30,Bayern,K'lautern,4-3-3 defensivo,Ottmar Hitzfeld,63000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17919
10,sáb 31/10/1998,12:30,Frankfurt,Bayern,3-5-2,Ottmar Hitzfeld,58300,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17927
11,sáb 07/11/1998,12:30,Bayern,1860 Munique,3-5-2,Ottmar Hitzfeld,69000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17936
12,qua 16/12/1998,17:00,M'gladbach,Bayern,3-5-2,Ottmar Hitzfeld,34500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17951
13,sáb 14/11/1998,12:30,Bayern,Stuttgart,3-5-2,Ottmar Hitzfeld,63000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17956
14,sáb 21/11/1998,12:30,Hertha Berlim,Bayern,3-5-2 plano,Ottmar Hitzfeld,76000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17965
15,sáb 28/11/1998,12:30,Bayern,Nuremberg,4-3-3 defensivo,Ottmar Hitzfeld,63000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17973
16,sex 04/12/1998,17:00,Bochum,Bayern,4-4-2,Ottmar Hitzfeld,33063,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17980
17,dom 13/12/1998,15:00,Bayern,Leverkusen,3-5-2,Ottmar Hitzfeld,36000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/17996
18,sáb 19/12/1998,12:30,Bayern,Wolfsburg,?,Ottmar Hitzfeld,39000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18002
19,sáb 20/02/1999,12:30,MSV Duisburg,Bayern,?,Ottmar Hitzfeld,26374,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18010
20,sáb 27/02/1999,11:30,Hansa Rostock,Bayern,4-4-2 losango,Ottmar Hitzfeld,24500,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18020
21,sáb 06/03/1999,11:30,Bayern,Freiburg,4-3-3 defensivo,Ottmar Hitzfeld,52000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18027
22,sáb 13/03/1999,11:30,Hamburgo,Bayern,3-5-2,Ottmar Hitzfeld,28600,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18038
23,sáb 20/03/1999,11:30,Bayern,Werder Bremen,3-4-3,Ottmar Hitzfeld,46000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18045
24,sáb 03/04/1999,10:30,Dortmund,Bayern,?,Ottmar Hitzfeld,68600,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18052
25,sáb 10/04/1999,10:30,Bayern,Schalke,?,Ottmar Hitzfeld,63000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18064
26,ter 13/04/1999,15:00,K'lautern,Bayern,3-4-3 plano,Ottmar Hitzfeld,41500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18069
27,sex 16/04/1999,15:00,Bayern,Frankfurt,3-4-2-1,Ottmar Hitzfeld,46000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18078
28,dom 25/04/1999,13:00,1860 Munique,Bayern,?,Ottmar Hitzfeld,69000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18095
29,sáb 01/05/1999,10:30,Bayern,M'gladbach,?,Ottmar Hitzfeld,63000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18099
30,ter 04/05/1999,15:00,Stuttgart,Bayern,3-4-3,Ottmar Hitzfeld,53000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18108
31,dom 09/05/1999,13:00,Bayern,Hertha Berlim,?,Ottmar Hitzfeld,63000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18117
32,sáb 15/05/1999,10:30,Nuremberg,Bayern,?,Ottmar Hitzfeld,44400,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18125
33,sáb 22/05/1999,10:30,Bayern,Bochum,3-4-3,Ottmar Hitzfeld,63000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18135
34,sáb 29/05/1999,10:30,Leverkusen,Bayern,3-4-3 plano,Ottmar Hitzfeld,22500,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18142
