round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 28/07/2001,10:30,Leverkusen,Wolfsburg,4-5-1,Wolfgang Wolf,22000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18767
2,sáb 04/08/2001,10:30,Wolfsburg,St. Pauli,3-4-3,Wolfgang Wolf,16187,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18772
3,sáb 11/08/2001,10:30,Dortmund,Wolfsburg,4-4-2 losango,Wolfgang Wolf,66000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18784
4,sáb 18/08/2001,10:30,Wolfsburg,Freiburg,3-5-2,Wolfgang Wolf,11766,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18792
5,sáb 08/09/2001,10:30,Energ. Cottbus,Wolfsburg,4-3-3 ofensivo,Wolfgang Wolf,14442,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18800
6,sáb 15/09/2001,10:30,Wolfsburg,Stuttgart,4-3-3 defensivo,Wolfgang Wolf,12500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18808
7,dom 23/09/2001,12:30,1860 Munique,Wolfsburg,3-5-2,Wolfgang Wolf,18000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18823
8,sáb 29/09/2001,10:30,Wolfsburg,K'lautern,3-5-2,Wolfgang Wolf,14758,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18826
9,dom 14/10/2001,13:30,Colônia,Wolfsburg,4-4-2 losango,Wolfgang Wolf,29000,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18841
10,dom 21/10/2001,13:30,Wolfsburg,Hamburgo,4-4-2 duplo 6,Wolfgang Wolf,19080,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18850
11,sáb 27/10/2001,11:30,Werder Bremen,Wolfsburg,3-5-2,Wolfgang Wolf,25800,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18857
12,sáb 03/11/2001,12:30,Wolfsburg,Nuremberg,4-3-3 defensivo,Wolfgang Wolf,11298,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18866
13,sáb 17/11/2001,12:30,Hertha Berlim,Wolfsburg,4-4-2 líbero losango,Wolfgang Wolf,27400,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18875
14,sáb 24/11/2001,12:30,Wolfsburg,M'gladbach,3-4-3,Wolfgang Wolf,14493,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18883
15,sáb 01/12/2001,12:30,Hansa Rostock,Wolfsburg,4-4-2 líbero losango,Wolfgang Wolf,11000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18894
16,sáb 08/12/2001,12:30,Bayern,Wolfsburg,4-5-1,Wolfgang Wolf,37000,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18903
17,dom 16/12/2001,14:30,Wolfsburg,Schalke,4-3-3 defensivo,Wolfgang Wolf,15147,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18914
18,qua 19/12/2001,17:00,Wolfsburg,Leverkusen,4-3-3 ofensivo,Wolfgang Wolf,12116,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18922
19,sáb 26/01/2002,12:30,St. Pauli,Wolfsburg,4-2-3-1,Wolfgang Wolf,19876,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18928
20,sáb 02/02/2002,12:30,Wolfsburg,Dortmund,4-3-3 ofensivo,Wolfgang Wolf,17226,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18938
21,ter 05/02/2002,17:00,Freiburg,Wolfsburg,4-3-3 ofensivo,Wolfgang Wolf,23000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18946
22,sáb 09/02/2002,12:30,Wolfsburg,Energ. Cottbus,4-2-3-1,Wolfgang Wolf,11217,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18953
23,sáb 16/02/2002,12:30,Stuttgart,Wolfsburg,4-3-3 ofensivo,Wolfgang Wolf,16000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18962
24,sáb 23/02/2002,11:30,Wolfsburg,1860 Munique,4-3-3 ofensivo,Wolfgang Wolf,10612,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18969
25,dom 03/03/2002,13:30,K'lautern,Wolfsburg,4-4-2 losango,Wolfgang Wolf,36816,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18985
26,sáb 09/03/2002,11:30,Wolfsburg,Colônia,4-3-3 defensivo,Wolfgang Wolf,12583,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/18989
27,sáb 16/03/2002,11:30,Hamburgo,Wolfsburg,4-3-3 defensivo,Wolfgang Wolf,37517,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/19000
28,dom 24/03/2002,13:30,Wolfsburg,Werder Bremen,4-3-3 defensivo,Wolfgang Wolf,14275,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/19013
29,sáb 30/03/2002,11:30,Nuremberg,Wolfsburg,4-3-3 ofensivo,Wolfgang Wolf,23600,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/19019
30,sáb 06/04/2002,10:30,Wolfsburg,Hertha Berlim,3-5-2 ofensivo,Wolfgang Wolf,15127,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/19029
31,sáb 13/04/2002,10:30,M'gladbach,Wolfsburg,4-4-2 duplo 6,Wolfgang Wolf,26900,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/19038
32,sáb 20/04/2002,10:30,Wolfsburg,Hansa Rostock,4-4-2 duplo 6,Wolfgang Wolf,12615,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/19047
33,sáb 27/04/2002,10:30,Wolfsburg,Bayern,4-4-2 duplo 6,Wolfgang Wolf,20400,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/19057
34,sáb 04/05/2002,10:30,Schalke,Wolfsburg,4-3-3 ofensivo,Wolfgang Wolf,60683,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/19066
