round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 08/08/2004,12:30,Arm. Bielefeld,M'gladbach,4-4-2 losango,Holger Fach,26601,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21345
2,sáb 14/08/2004,10:30,M'gladbach,Dortmund,3-5-2 ofensivo,Holger Fach,53148,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21355
3,sáb 28/08/2004,10:30,Freiburg,M'gladbach,4-4-2 duplo 6,Holger Fach,24000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21361
4,sáb 11/09/2004,10:30,M'gladbach,Werder Bremen,4-4-2 losango,Holger Fach,52100,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21373
5,sáb 18/09/2004,10:30,Schalke,M'gladbach,4-4-2 losango,Holger Fach,61524,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21385
6,sáb 25/09/2004,10:30,M'gladbach,Hansa Rostock,4-4-2 losango,Holger Fach,42600,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21391
7,sáb 02/10/2004,10:30,Wolfsburg,M'gladbach,4-4-2 losango,Holger Fach,26726,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21401
8,dom 17/10/2004,12:30,M'gladbach,K'lautern,4-4-2 losango,Holger Fach,53466,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21409
9,sáb 23/10/2004,10:30,M'gladbach,Hannover,4-4-2 losango,Holger Fach,43506,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21418
10,ter 26/10/2004,15:00,Bochum,M'gladbach,4-4-2 losango,Holger Fach,30975,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21425
11,sáb 30/10/2004,10:30,M'gladbach,Bayern,4-4-2 losango,Horst Köppel,53466,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21436
12,sáb 06/11/2004,12:30,Mainz,M'gladbach,4-4-2 losango,Dick Advocaat,20300,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21441
13,sáb 13/11/2004,12:30,M'gladbach,Nuremberg,4-4-2 losango,Dick Advocaat,45595,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21454
14,sáb 20/11/2004,12:30,Stuttgart,M'gladbach,4-4-2 losango,Dick Advocaat,46000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21466
15,sáb 27/11/2004,12:30,M'gladbach,Hamburgo,4-4-2 losango,Dick Advocaat,52155,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21472
16,sáb 04/12/2004,12:30,Hertha Berlim,M'gladbach,3-5-2,Dick Advocaat,40094,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21482
17,dom 12/12/2004,14:30,M'gladbach,Leverkusen,3-5-2,Dick Advocaat,52221,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/21490
