round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 06/08/2011,10:30,Werder Bremen,K'lautern,4-3-3 ofensivo,Marco Kurz,41100,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121015
2,dom 14/08/2011,10:30,K'lautern,Augsburg,4-2-3-1,Marco Kurz,40200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121037
3,sáb 20/08/2011,13:30,Colônia,K'lautern,4-4-2 duplo 6,Marco Kurz,47200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121047
4,sáb 27/08/2011,10:30,K'lautern,Bayern,4-2-3-1,Marco Kurz,49780,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121056
5,sáb 10/09/2011,10:30,M'gladbach,K'lautern,4-4-2 duplo 6,Marco Kurz,52083,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121066
6,sáb 17/09/2011,13:30,K'lautern,Mainz,4-4-2 duplo 6,Marco Kurz,43952,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121074
7,sáb 24/09/2011,10:30,Wolfsburg,K'lautern,4-4-2 duplo 6,Marco Kurz,26779,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121083
8,sex 30/09/2011,15:30,K'lautern,Stuttgart,4-4-2 duplo 6,Marco Kurz,46186,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121092
9,sáb 15/10/2011,13:30,Schalke,K'lautern,4-4-2 duplo 6,Marco Kurz,61673,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121096
10,sáb 22/10/2011,11:30,K'lautern,Freiburg,4-4-2 duplo 6,Marco Kurz,40700,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121109
11,dom 30/10/2011,14:30,Hamburgo,K'lautern,4-2-3-1,Marco Kurz,55348,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121115
12,sáb 05/11/2011,12:30,Hoffenheim,K'lautern,4-2-3-1,Marco Kurz,30150,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121128
13,sex 18/11/2011,17:30,K'lautern,Leverkusen,4-2-3-1,Marco Kurz,42245,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121135
14,sáb 26/11/2011,12:30,Nuremberg,K'lautern,4-4-2 duplo 6,Marco Kurz,37266,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121144
15,sáb 03/12/2011,12:30,K'lautern,Hertha Berlim,4-2-3-1,Marco Kurz,36856,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121154
16,dom 11/12/2011,12:30,Dortmund,K'lautern,4-2-3-1,Marco Kurz,80720,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1121158
