round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 10/08/2013,10:30,Augsburg,Dortmund,4-1-4-1,Markus Weinzierl,30660,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321032
2,sáb 17/08/2013,10:30,Werder Bremen,Augsburg,4-1-4-1,Markus Weinzierl,40112,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321048
3,dom 25/08/2013,12:30,Augsburg,Stuttgart,4-1-4-1,Markus Weinzierl,30030,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321059
4,sáb 31/08/2013,10:30,Nuremberg,Augsburg,4-1-4-1,Markus Weinzierl,37239,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321068
5,sáb 14/09/2013,10:30,Augsburg,Freiburg,4-1-4-1,Markus Weinzierl,28453,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321078
6,sáb 21/09/2013,10:30,Hannover,Augsburg,4-1-4-1,Markus Weinzierl,39200,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321084
7,sex 27/09/2013,15:30,Augsburg,M'gladbach,4-1-4-1,Markus Weinzierl,30352,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321113
8,sáb 05/10/2013,10:30,Schalke,Augsburg,4-4-2 duplo 6,Markus Weinzierl,61973,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321117
9,dom 20/10/2013,13:30,Augsburg,Wolfsburg,4-4-2 duplo 6,Markus Weinzierl,27554,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321130
10,sáb 26/10/2013,11:30,Leverkusen,Augsburg,4-2-3-1,Markus Weinzierl,27811,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321138
11,dom 03/11/2013,12:30,Augsburg,Mainz,4-1-4-1,Markus Weinzierl,28007,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321148
12,sáb 09/11/2013,12:30,Bayern,Augsburg,4-2-3-1,Markus Weinzierl,71000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2321153
