round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 14/08/2015,15:30,Bayern,Hamburgo,4-1-4-1,Bruno Labbadia,75024,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581147
2,sáb 22/08/2015,13:30,Hamburgo,Stuttgart,4-2-3-1,Bruno Labbadia,54618,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581176
3,sáb 29/08/2015,10:30,Colônia,Hamburgo,4-2-3-1,Bruno Labbadia,50000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581188
4,sex 11/09/2015,15:30,M'gladbach,Hamburgo,4-2-3-1,Bruno Labbadia,54010,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581195
5,sáb 19/09/2015,10:30,Hamburgo,Frankfurt,4-2-3-1,Bruno Labbadia,55322,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581635
6,ter 22/09/2015,15:00,Ingolstadt,Hamburgo,4-2-3-1,Bruno Labbadia,15000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581649
7,sáb 26/09/2015,13:30,Hamburgo,Schalke,4-2-3-1,Bruno Labbadia,53192,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581653
8,sáb 03/10/2015,10:30,Hertha Berlim,Hamburgo,4-2-3-1,Bruno Labbadia,65427,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581671
9,sáb 17/10/2015,10:30,Hamburgo,Leverkusen,4-2-3-1,Bruno Labbadia,54957,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581677
10,sex 23/10/2015,16:30,Hoffenheim,Hamburgo,4-4-2 duplo 6,Bruno Labbadia,30000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581695
11,dom 01/11/2015,14:30,Hamburgo,Hannover,4-4-2 duplo 6,Bruno Labbadia,54607,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581701
12,sáb 07/11/2015,15:30,Darmstadt 98,Hamburgo,4-4-2 duplo 6,Bruno Labbadia,17000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581722
13,sex 20/11/2015,17:45,Hamburgo,Dortmund,4-2-3-1,Bruno Labbadia,57000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581726
14,sáb 28/11/2015,12:30,Werder Bremen,Hamburgo,4-2-3-1,Bruno Labbadia,42100,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581742
15,sáb 05/12/2015,12:30,Hamburgo,Mainz,4-2-3-1,Bruno Labbadia,51698,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581756
16,sáb 12/12/2015,12:30,Wolfsburg,Hamburgo,4-2-3-1,Bruno Labbadia,30000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581765
17,sáb 19/12/2015,12:30,Hamburgo,Augsburg,4-2-3-1,Bruno Labbadia,49726,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581779
18,sex 22/01/2016,17:30,Hamburgo,Bayern,4-2-3-1,Bruno Labbadia,57000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581788
19,sáb 30/01/2016,15:30,Stuttgart,Hamburgo,4-2-3-1,Bruno Labbadia,46600,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581811
20,dom 07/02/2016,12:30,Hamburgo,Colônia,4-2-3-1,Bruno Labbadia,51999,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581825
21,dom 14/02/2016,12:30,Hamburgo,M'gladbach,4-2-3-1,Bruno Labbadia,56706,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581845
22,sex 19/02/2016,17:30,Frankfurt,Hamburgo,4-2-3-1,Bruno Labbadia,47200,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581856
23,sáb 27/02/2016,11:30,Hamburgo,Ingolstadt,4-2-3-1,Bruno Labbadia,50675,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581869
24,qua 02/03/2016,16:00,Schalke,Hamburgo,4-2-3-1,Bruno Labbadia,60856,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581889
25,dom 06/03/2016,13:30,Hamburgo,Hertha Berlim,4-2-3-1,Bruno Labbadia,46136,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581905
26,dom 13/03/2016,11:30,Leverkusen,Hamburgo,4-2-3-1,Bruno Labbadia,30210,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581920
27,sáb 19/03/2016,11:30,Hamburgo,Hoffenheim,4-2-3-1,Bruno Labbadia,48263,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581935
28,sáb 02/04/2016,10:30,Hannover,Hamburgo,4-2-3-1,Bruno Labbadia,49000,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581946
29,sáb 09/04/2016,10:30,Hamburgo,Darmstadt 98,4-2-3-1,Bruno Labbadia,57000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581953
30,dom 17/04/2016,10:30,Dortmund,Hamburgo,4-2-3-1,Bruno Labbadia,81359,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581961
31,sex 22/04/2016,15:30,Hamburgo,Werder Bremen,4-2-3-1,Bruno Labbadia,57000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581972
32,sáb 30/04/2016,10:30,Mainz,Hamburgo,4-2-3-1,Bruno Labbadia,34000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581985
33,sáb 07/05/2016,10:30,Hamburgo,Wolfsburg,4-1-4-1,Bruno Labbadia,57000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2581989
34,sáb 14/05/2016,10:30,Augsburg,Hamburgo,4-2-3-1,Bruno Labbadia,30660,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2582000
