round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 19/08/2017,13:30,Schalke,Leipzig,4-4-2 duplo 6,Ralph Hasenhüttl,61435,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871500
2,dom 27/08/2017,10:30,Leipzig,Freiburg,4-4-2 duplo 6,Ralph Hasenhüttl,39265,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871544
3,sex 08/09/2017,15:30,Hamburgo,Leipzig,4-4-2 duplo 6,Ralph Hasenhüttl,50231,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871597
4,sáb 16/09/2017,13:30,Leipzig,M'gladbach,4-4-2,Ralph Hasenhüttl,42558,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871657
5,ter 19/09/2017,15:30,Augsburg,Leipzig,4-4-2 duplo 6,Ralph Hasenhüttl,26113,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871696
6,sáb 23/09/2017,10:30,Leipzig,Frankfurt,4-4-2 duplo 6,Ralph Hasenhüttl,40606,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871729
7,dom 01/10/2017,13:00,Colônia,Leipzig,4-2-3-1,Ralph Hasenhüttl,48700,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871773
8,sáb 14/10/2017,13:30,Dortmund,Leipzig,4-4-2 duplo 6,Ralph Hasenhüttl,80100,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871810
9,sáb 21/10/2017,11:30,Leipzig,Stuttgart,4-4-2 duplo 6,Ralph Hasenhüttl,42558,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871854
10,sáb 28/10/2017,14:30,Bayern,Leipzig,4-4-2 duplo 6,Ralph Hasenhüttl,75000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871899
11,sáb 04/11/2017,12:30,Leipzig,Hannover,4-4-2 duplo 6,Ralph Hasenhüttl,40461,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871954
12,sáb 18/11/2017,12:30,Leverkusen,Leipzig,4-4-2 duplo 6,Ralph Hasenhüttl,29218,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871994
13,sáb 25/11/2017,12:30,Leipzig,Werder Bremen,4-4-2 duplo 6,Ralph Hasenhüttl,40172,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872026
14,sáb 02/12/2017,12:30,Hoffenheim,Leipzig,4-4-2 duplo 6,Ralph Hasenhüttl,28299,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871981
15,sáb 09/12/2017,12:30,Leipzig,Mainz,4-4-2 duplo 6,Ralph Hasenhüttl,32817,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871936
16,ter 12/12/2017,15:30,Wolfsburg,Leipzig,4-4-2 duplo 6,Ralph Hasenhüttl,22827,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871916
17,dom 17/12/2017,15:00,Leipzig,Hertha Berlim,4-4-2 duplo 6,Ralph Hasenhüttl,36109,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871873
18,sáb 13/01/2018,15:30,Leipzig,Schalke,4-3-3 ofensivo,Ralph Hasenhüttl,42558,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2871491
