round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 19/09/2020,10:30,Frankfurt,Arm. Bielefeld,3-4-1-2,Adi Hütter,6500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3412887
2,sex 25/09/2020,15:30,Hertha Berlim,Frankfurt,3-4-1-2,Adi Hütter,4000,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3412905
3,sáb 03/10/2020,10:30,Frankfurt,Hoffenheim,3-4-1-2,Adi Hütter,8000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3412923
4,dom 18/10/2020,10:30,Colônia,Frankfurt,3-4-1-2,Adi Hütter,300,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3412943
5,sáb 24/10/2020,10:30,Bayern,Frankfurt,3-4-1-2,Adi Hütter,x,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3412955
6,sáb 31/10/2020,11:30,Frankfurt,Werder Bremen,3-4-1-2,Adi Hütter,x,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3412976
7,sáb 07/11/2020,11:30,Stuttgart,Frankfurt,3-4-1-2,Adi Hütter,x,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3412999
8,sáb 21/11/2020,14:30,Frankfurt,Leipzig,3-4-2-1,Adi Hütter,x,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413013
9,sáb 28/11/2020,11:30,Union Berlim,Frankfurt,3-4-1-2,Adi Hütter,x,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413023
10,sáb 05/12/2020,11:30,Frankfurt,Dortmund,3-4-2-1,Adi Hütter,x,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413039
11,sex 11/12/2020,16:30,Wolfsburg,Frankfurt,3-4-2-1,Adi Hütter,x,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413058
12,ter 15/12/2020,14:30,Frankfurt,M'gladbach,3-4-2-1,Adi Hütter,x,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413074
13,sáb 19/12/2020,11:30,Augsburg,Frankfurt,3-4-2-1,Adi Hütter,x,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413089
14,sáb 02/01/2021,11:30,Frankfurt,Leverkusen,3-4-2-1,Adi Hütter,x,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413102
15,sáb 09/01/2021,11:30,Mainz,Frankfurt,3-4-2-1,Adi Hütter,x,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413123
16,dom 17/01/2021,14:00,Frankfurt,Schalke,3-4-2-1,Adi Hütter,x,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413139
17,qua 20/01/2021,16:30,Freiburg,Frankfurt,3-4-2-1,Adi Hütter,x,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413156
18,sáb 23/01/2021,11:30,Arm. Bielefeld,Frankfurt,3-4-2-1,Adi Hütter,x,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413179
19,sáb 30/01/2021,11:30,Frankfurt,Hertha Berlim,3-4-2-1,Adi Hütter,x,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413166
20,dom 07/02/2021,11:30,Hoffenheim,Frankfurt,3-4-2-1,Adi Hütter,x,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413146
21,dom 14/02/2021,11:30,Frankfurt,Colônia,3-4-2-1,Adi Hütter,x,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413131
22,sáb 20/02/2021,11:30,Frankfurt,Bayern,3-4-2-1,Adi Hütter,x,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413111
23,sex 26/02/2021,16:30,Werder Bremen,Frankfurt,3-4-2-1,Adi Hütter,x,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413097
