position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,FC Bayern Munique,34,24,5,5,97:37,60,77,https://www.transfermarkt.com.br/fc-bayern-munchen/spielplan/verein/27/saison_id/2021
2,Borussia Dortmund,34,22,3,9,85:52,33,69,https://www.transfermarkt.com.br/borussia-dortmund/spielplan/verein/16/saison_id/2021
3,Bayer 04 Leverkusen,34,19,7,8,80:47,33,64,https://www.transfermarkt.com.br/bayer-04-leverkusen/spielplan/verein/15/saison_id/2021
4,RB Leipzig,34,17,7,10,72:37,35,58,https://www.transfermarkt.com.br/rasenballsport-leipzig/spielplan/verein/23826/saison_id/2021
5,1.FC Union Berlim,34,16,9,9,50:44,6,57,https://www.transfermarkt.com.br/1-fc-union-berlin/spielplan/verein/89/saison_id/2021
6,SC Freiburg,34,15,10,9,58:46,12,55,https://www.transfermarkt.com.br/sc-freiburg/spielplan/verein/60/saison_id/2021
7,1.FC Colônia,34,14,10,10,52:49,3,52,https://www.transfermarkt.com.br/1-fc-koln/spielplan/verein/3/saison_id/2021
8,1.FSV Mainz 05,34,13,7,14,50:45,5,46,https://www.transfermarkt.com.br/1-fsv-mainz-05/spielplan/verein/39/saison_id/2021
9,TSG 1899 Hoffenheim,34,13,7,14,58:60,-2,46,https://www.transfermarkt.com.br/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/2021
10,Borussia Mönchengladbach,34,12,9,13,54:61,-7,45,https://www.transfermarkt.com.br/borussia-monchengladbach/spielplan/verein/18/saison_id/2021
11,SG Eintracht Frankfurt,34,10,12,12,45:49,-4,42,https://www.transfermarkt.com.br/eintracht-frankfurt/spielplan/verein/24/saison_id/2021
12,VfL Wolfsburg,34,12,6,16,43:54,-11,42,https://www.transfermarkt.com.br/vfl-wolfsburg/spielplan/verein/82/saison_id/2021
13,VfL Bochum,34,12,6,16,38:52,-14,42,https://www.transfermarkt.com.br/vfl-bochum/spielplan/verein/80/saison_id/2021
14,FC Augsburg,34,10,8,16,39:56,-17,38,https://www.transfermarkt.com.br/fc-augsburg/spielplan/verein/167/saison_id/2021
15,VfB Stuttgart,34,7,12,15,41:59,-18,33,https://www.transfermarkt.com.br/vfb-stuttgart/spielplan/verein/79/saison_id/2021
16,Hertha Berlim,34,9,6,19,37:71,-34,33,https://www.transfermarkt.com.br/hertha-bsc/spielplan/verein/44/saison_id/2021
17,Arminia Bielefeld,34,5,13,16,27:53,-26,28,https://www.transfermarkt.com.br/arminia-bielefeld/spielplan/verein/10/saison_id/2021
18,SpVgg Greuther Fürth,34,3,9,22,28:82,-54,18,https://www.transfermarkt.com.br/spvgg-greuther-furth/spielplan/verein/65/saison_id/2021
