round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 14/08/2021,10:30,Augsburg,Hoffenheim,4-2-3-1,Sebastian Hoeneß,9124,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588145
2,dom 22/08/2021,10:30,Hoffenheim,Union Berlim,4-2-3-1,Sebastian Hoeneß,8014,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588153
3,sex 27/08/2021,15:30,Dortmund,Hoffenheim,4-2-3-1,Sebastian Hoeneß,25000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588167
4,sáb 11/09/2021,10:30,Hoffenheim,Mainz,4-2-3-1,Sebastian Hoeneß,8427,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588181
5,sáb 18/09/2021,10:30,Arm. Bielefeld,Hoffenheim,4-2-3-1,Sebastian Hoeneß,13750,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588200
6,sáb 25/09/2021,10:30,Hoffenheim,Wolfsburg,4-2-3-1,Sebastian Hoeneß,8523,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588217
7,sáb 02/10/2021,10:30,Stuttgart,Hoffenheim,4-3-3 ofensivo,Sebastian Hoeneß,24211,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588224
8,sex 15/10/2021,15:30,Hoffenheim,Colônia,3-4-1-2,Sebastian Hoeneß,14309,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588244
9,sáb 23/10/2021,10:30,Bayern,Hoffenheim,5-4-1 plano,Sebastian Hoeneß,60000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588256
10,sex 29/10/2021,15:30,Hoffenheim,Hertha Berlim,3-4-1-2,Sebastian Hoeneß,8127,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588280
11,sáb 06/11/2021,11:30,Bochum,Hoffenheim,3-4-1-2,Sebastian Hoeneß,19600,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588290
12,sáb 20/11/2021,11:30,Hoffenheim,Leipzig,4-3-3 ofensivo,Sebastian Hoeneß,13233,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588306
13,sáb 27/11/2021,11:30,Greuther Fürth,Hoffenheim,4-3-3 ofensivo,Sebastian Hoeneß,3385,3:6,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3588327
