round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 19/08/2023,10:30,Wolfsburg,Heidenheim,4-1-3-2,Frank Schmidt,22620,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095972
2,sáb 26/08/2023,10:30,Heidenheim,Hoffenheim,4-1-3-2,Frank Schmidt,15000,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095983
3,sex 01/09/2023,15:30,Dortmund,Heidenheim,4-2-3-1,Frank Schmidt,81365,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095985
4,dom 17/09/2023,10:30,Heidenheim,Werder Bremen,4-2-3-1,Frank Schmidt,15000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096001
5,dom 24/09/2023,10:30,Leverkusen,Heidenheim,4-2-3-1,Frank Schmidt,29557,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096006
6,sáb 30/09/2023,10:30,Heidenheim,Union Berlim,4-2-3-1,Frank Schmidt,15000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096019
7,dom 08/10/2023,14:30,Frankfurt,Heidenheim,4-2-3-1,Frank Schmidt,55800,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096025
8,dom 22/10/2023,12:30,Heidenheim,Augsburg,4-1-4-1,Frank Schmidt,15000,2:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096037
9,sáb 28/10/2023,10:30,M'gladbach,Heidenheim,4-2-3-1,Frank Schmidt,51541,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096043
10,dom 05/11/2023,13:30,Heidenheim,Stuttgart,4-2-3-1,Frank Schmidt,15000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096055
11,sáb 11/11/2023,11:30,Bayern,Heidenheim,4-1-4-1,Frank Schmidt,75000,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096057
12,dom 26/11/2023,11:30,Heidenheim,Bochum,4-1-4-1,Frank Schmidt,15000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096074
13,sáb 02/12/2023,11:30,Leipzig,Heidenheim,5-4-1 plano,Frank Schmidt,44887,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096076
14,sáb 09/12/2023,11:30,Heidenheim,Darmstadt 98,4-4-2 duplo 6,Frank Schmidt,15000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096092
15,sáb 16/12/2023,11:30,Mainz,Heidenheim,4-3-3 ofensivo,Frank Schmidt,27200,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096097
16,qua 20/12/2023,16:30,Heidenheim,Freiburg,4-4-2 duplo 6,Frank Schmidt,15000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096110
