round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 11/05/2008,11:00,Coritiba,Palmeiras,5-3-2,Dorival Júnior,31660,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/90317
2,dom 18/05/2008,13:10,Figueirense,Coritiba,3-5-2,Dorival Júnior,7139,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/90329
3,dom 25/05/2008,11:00,São Paulo,Coritiba,4-4-2,Dorival Júnior,5027,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909273
4,dom 01/06/2008,11:00,Coritiba,Cruzeiro,4-4-2,Dorival Júnior,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909285
5,dom 08/06/2008,13:10,Botafogo,Coritiba,4-4-2,Dorival Júnior,6008,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909297
6,sáb 14/06/2008,13:20,Coritiba,Vitória,4-4-2,Dorival Júnior,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909308
7,sáb 21/06/2008,13:10,Coritiba,Fluminense,4-4-2,Dorival Júnior,15323,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909318
8,dom 29/06/2008,11:00,Atlético-PR,Coritiba,3-5-2,Dorival Júnior,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909323
9,dom 06/07/2008,11:00,Internacional,Coritiba,3-5-2,Dorival Júnior,27528,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909333
10,qua 09/07/2008,14:30,Coritiba,Portuguesa,4-4-2,Dorival Júnior,,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909341
11,sáb 12/07/2008,13:10,Goiás,Coritiba,4-4-2,Dorival Júnior,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909351
12,qui 17/07/2008,15:30,Coritiba,Flamengo,4-4-2,Dorival Júnior,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909368
13,dom 20/07/2008,13:10,Atlético-MG,Coritiba,4-4-2,Dorival Júnior,,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909378
14,qua 23/07/2008,14:30,Coritiba,Ipatinga,4-4-2,Dorival Júnior,12734,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909380
15,sáb 26/07/2008,13:10,Náutico,Coritiba,3-5-2,Dorival Júnior,,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909391
16,qui 31/07/2008,15:30,Coritiba,Grêmio,3-5-2,Dorival Júnior,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909407
17,dom 03/08/2008,13:10,Santos,Coritiba,4-4-2,Dorival Júnior,10261,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909417
18,qua 06/08/2008,14:30,Vasco da Gama,Coritiba,4-5-1,Dorival Júnior,,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909421
19,dom 10/08/2008,11:00,Coritiba,Sport,4-4-2,Dorival Júnior,20077,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909436
20,dom 17/08/2008,13:10,Palmeiras,Coritiba,4-4-2,Dorival Júnior,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/921857
21,qua 20/08/2008,14:30,Coritiba,Figueirense,3-5-2,Dorival Júnior,12360,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/923046
22,dom 24/08/2008,11:00,Coritiba,São Paulo,4-4-2,Dorival Júnior,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/923193
23,dom 31/08/2008,13:10,Cruzeiro,Coritiba,3-5-2,Dorival Júnior,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/923348
24,sáb 06/09/2008,13:20,Coritiba,Botafogo,4-4-2,Dorival Júnior,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/924009
25,dom 14/09/2008,13:10,Vitória,Coritiba,4-4-2,Dorival Júnior,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/924300
26,sáb 20/09/2008,13:20,Fluminense,Coritiba,3-5-2,Dorival Júnior,,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/924720
27,dom 28/09/2008,11:00,Coritiba,Atlético-PR,3-5-2,Dorival Júnior,32718,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/925503
28,sáb 04/10/2008,13:20,Coritiba,Internacional,3-5-2,Dorival Júnior,,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/926223
29,sáb 11/10/2008,13:20,Portuguesa,Coritiba,4-4-2,Dorival Júnior,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/926508
30,dom 19/10/2008,12:00,Coritiba,Goiás,3-5-2,Dorival Júnior,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/926892
31,qui 23/10/2008,16:30,Flamengo,Coritiba,4-4-2,Dorival Júnior,28648,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/927615
32,qua 29/10/2008,16:30,Coritiba,Atlético-MG,4-4-2,Dorival Júnior,7622,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/927975
33,sáb 01/11/2008,15:30,Ipatinga,Coritiba,4-4-2,Dorival Júnior,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/928486
34,dom 09/11/2008,14:00,Coritiba,Náutico,4-4-2,Dorival Júnior,9747,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/928683
35,dom 16/11/2008,16:10,Grêmio,Coritiba,3-5-2,Dorival Júnior,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/929538
36,sáb 22/11/2008,15:30,Coritiba,Santos,3-5-2,Dorival Júnior,,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/929590
37,dom 30/11/2008,14:00,Coritiba,Vasco da Gama,3-5-2,Dorival Júnior,,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/930204
38,dom 07/12/2008,14:00,Sport,Coritiba,3-5-2,Dorival Júnior,12970,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/930210
