round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 10/05/2009,11:00,Cruzeiro,Flamengo,4-4-2,Cuca,24564,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939074
2,sáb 16/05/2009,13:30,Flamengo,Avaí,4-4-2,Cuca,18351,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939085
3,dom 24/05/2009,13:30,Santo André,Flamengo,4-4-2,Cuca,8819,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939096
4,dom 31/05/2009,11:00,Flamengo,Atlético-PR,4-4-2,Cuca,68217,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939099
5,dom 07/06/2009,11:10,Sport,Flamengo,4-4-2,Cuca,25602,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939113
6,dom 14/06/2009,11:00,Coritiba,Flamengo,3-5-2,Cuca,20592,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939122
7,dom 21/06/2009,13:30,Flamengo,Internacional,4-4-2,Cuca,15864,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939136
8,dom 28/06/2009,13:30,Fluminense,Flamengo,3-5-2,Cuca,41038,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939147
9,sáb 04/07/2009,13:30,Flamengo,Vitória,4-4-2,Cuca,20296,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939157
10,dom 12/07/2009,11:00,São Paulo,Flamengo,4-4-2,Cuca,21648,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939162
11,qua 15/07/2009,16:50,Flamengo,Palmeiras,4-4-2,Cuca,22861,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939174
12,dom 19/07/2009,13:30,Flamengo,Botafogo,4-4-2,Cuca,29508,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939187
13,qua 22/07/2009,14:30,Flamengo,Barueri,4-4-2,Cuca,27592,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939196
14,dom 26/07/2009,11:00,Santos,Flamengo,3-5-2,Andrade,10633,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939203
15,qui 30/07/2009,16:00,Flamengo,Atlético-MG,4-4-2,Andrade,26934,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939218
16,dom 02/08/2009,11:00,Flamengo,Náutico,3-5-2,Andrade,41772,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939225
17,qua 05/08/2009,16:50,Goiás,Flamengo,4-4-2,Andrade,37320,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939232
18,dom 09/08/2009,11:00,Flamengo,Corinthians,4-4-2,Andrade,47068,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939242
19,dom 16/08/2009,11:00,Grêmio,Flamengo,4-4-2,Andrade,19535,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939254
20,qui 20/08/2009,16:00,Flamengo,Cruzeiro,3-5-2,Andrade,12273,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965898
21,dom 23/08/2009,13:30,Avaí,Flamengo,4-4-2,Andrade,14777,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965910
22,sáb 29/08/2009,13:30,Flamengo,Santo André,4-4-2,Andrade,13531,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965912
23,dom 06/09/2009,11:00,Atlético-PR,Flamengo,4-4-2,Andrade,18116,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971301
24,sáb 12/09/2009,13:30,Flamengo,Sport,4-4-2,Andrade,26995,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971366
25,dom 20/09/2009,13:30,Flamengo,Coritiba,4-4-2,Andrade,47921,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971379
26,dom 27/09/2009,11:00,Internacional,Flamengo,3-5-2,Andrade,10447,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971659
27,dom 04/10/2009,13:30,Flamengo,Fluminense,4-4-2,Andrade,78409,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971673
28,qua 07/10/2009,16:50,Vitória,Flamengo,4-4-2,Andrade,21324,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971703
29,sáb 10/10/2009,11:10,Flamengo,São Paulo,4-4-2,Andrade,57210,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971709
30,dom 18/10/2009,12:00,Palmeiras,Flamengo,4-4-2,Andrade,26462,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971724
31,dom 25/10/2009,15:30,Botafogo,Flamengo,4-4-2,Andrade,25192,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/979369
32,qua 28/10/2009,18:50,Barueri,Flamengo,4-4-2,Andrade,10354,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971741
33,sáb 31/10/2009,15:30,Flamengo,Santos,4-4-2,Andrade,77063,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971752
34,dom 08/11/2009,13:00,Atlético-MG,Flamengo,4-4-2,Andrade,63285,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971766
35,dom 15/11/2009,14:00,Náutico,Flamengo,4-4-2,Andrade,19798,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971775
36,dom 22/11/2009,16:30,Flamengo,Goiás,4-4-2,Andrade,78639,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971783
37,dom 29/11/2009,14:00,Corinthians,Flamengo,4-4-2,Andrade,25591,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971788
38,dom 06/12/2009,14:00,Flamengo,Grêmio,4-4-1-1,Andrade,78639,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/971803
