round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 10/05/2009,13:30,Goiás,Náutico,4-4-2,Hélio dos Anjos,2517,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939078
2,dom 17/05/2009,11:00,Santos,Goiás,?,Hélio dos Anjos,9511,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939079
3,sáb 23/05/2009,13:30,Goiás,Internacional,4-4-2,Hélio dos Anjos,6918,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939091
4,sáb 30/05/2009,13:30,Coritiba,Goiás,3-5-2,Hélio dos Anjos,8642,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939100
5,dom 07/06/2009,13:30,Goiás,Barueri,4-4-2,Hélio dos Anjos,4252,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939118
6,dom 14/06/2009,11:00,Goiás,Corinthians,3-5-2,Hélio dos Anjos,16337,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939124
7,sáb 20/06/2009,13:30,Grêmio,Goiás,3-5-2,Hélio dos Anjos,16581,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939129
8,sáb 27/06/2009,13:30,Botafogo,Goiás,4-4-2,Hélio dos Anjos,8869,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939140
9,dom 05/07/2009,11:00,Goiás,Cruzeiro,4-4-2,Hélio dos Anjos,5809,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939154
10,dom 12/07/2009,13:30,Sport,Goiás,4-4-2,Hélio dos Anjos,5065,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939168
11,qua 15/07/2009,14:30,Goiás,Avaí,3-5-2,Hélio dos Anjos,3609,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939170
12,sáb 18/07/2009,13:30,Fluminense,Goiás,3-5-2,Hélio dos Anjos,7451,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939179
13,qua 22/07/2009,16:50,Goiás,Palmeiras,4-4-2,Hélio dos Anjos,19707,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939194
