position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Fluminense FC,38,20,11,7,62:36,26,71,https://www.transfermarkt.com.br/fluminense-rio-de-janeiro/spielplan/verein/2462/saison_id/2009
2,Cruzeiro EC,38,20,9,9,53:38,15,69,https://www.transfermarkt.com.br/ec-cruzeiro-belo-horizonte/spielplan/verein/609/saison_id/2009
3,SC Corinthians,38,19,11,8,65:41,24,68,https://www.transfermarkt.com.br/corinthians-sao-paulo/spielplan/verein/199/saison_id/2009
4,Grêmio FBPA,38,17,12,9,68:43,25,63,https://www.transfermarkt.com.br/gremio-porto-alegre/spielplan/verein/210/saison_id/2009
5,Clube Atlético Paranaense,38,17,9,12,43:45,-2,60,https://www.transfermarkt.com.br/club-athletico-paranaense/spielplan/verein/679/saison_id/2009
6,Botafogo FR,38,14,17,7,54:42,12,59,https://www.transfermarkt.com.br/botafogo-rio-de-janeiro/spielplan/verein/537/saison_id/2009
7,SC Internacional,38,16,10,12,48:41,7,58,https://www.transfermarkt.com.br/sc-internacional-porto-alegre/spielplan/verein/6600/saison_id/2009
8,Santos FC,38,15,11,12,63:50,13,56,https://www.transfermarkt.com.br/fc-santos/spielplan/verein/221/saison_id/2009
9,São Paulo FC,38,15,10,13,54:54,0,55,https://www.transfermarkt.com.br/fc-sao-paulo/spielplan/verein/585/saison_id/2009
10,SE Palmeiras,38,12,14,12,42:43,-1,50,https://www.transfermarkt.com.br/se-palmeiras-sao-paulo/spielplan/verein/1023/saison_id/2009
11,CR Vasco da Gama,38,11,16,11,43:45,-2,49,https://www.transfermarkt.com.br/vasco-da-gama-rio-de-janeiro/spielplan/verein/978/saison_id/2009
12,Ceará SC,38,10,17,11,35:44,-9,47,https://www.transfermarkt.com.br/ceara-sporting-club/spielplan/verein/2029/saison_id/2009
13,Atlético Mineiro,38,13,6,19,52:64,-12,45,https://www.transfermarkt.com.br/clube-atletico-mineiro/spielplan/verein/330/saison_id/2009
14,CR Flamengo,38,9,17,12,41:44,-3,44,https://www.transfermarkt.com.br/flamengo-rio-de-janeiro/spielplan/verein/614/saison_id/2009
15,Avaí FC,38,11,10,17,49:58,-9,43,https://www.transfermarkt.com.br/avai-fc-sc-/spielplan/verein/2035/saison_id/2009
16,Atlético Goianiense,38,11,9,18,51:57,-6,42,https://www.transfermarkt.com.br/atletico-clube-goianiense/spielplan/verein/15172/saison_id/2009
17,EC Vitória,38,9,15,14,42:48,-6,42,https://www.transfermarkt.com.br/esporte-clube-vitoria/spielplan/verein/2125/saison_id/2009
18,Guarani FC,38,8,13,17,33:53,-20,37,https://www.transfermarkt.com.br/guarani-fc-sp-/spielplan/verein/1755/saison_id/2009
19,Goiás EC,38,8,9,21,41:68,-27,33,https://www.transfermarkt.com.br/goias-ec/spielplan/verein/3197/saison_id/2009
20,Grêmio Barueri Futebol Ltda.,38,7,10,21,39:64,-25,28,https://www.transfermarkt.com.br/gremio-barueri-futebol-ltda-/spielplan/verein/8698/saison_id/2009
