round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 09/05/2010,11:00,Internacional,Cruzeiro,3-5-2,Jorge Fossati,11631,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003476
2,dom 16/05/2010,11:00,Goiás,Internacional,4-4-2,Jorge Fossati,3731,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003485
3,dom 23/05/2010,11:00,Internacional,São Paulo,3-5-2,Jorge Fossati,25185,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004152
4,qui 27/05/2010,16:00,Vasco da Gama,Internacional,3-5-2,Jorge Fossati,4081,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004788
5,dom 30/05/2010,11:00,Internacional,Atlético-PR,4-4-2,Enderson Moreira,8279,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004797
6,qui 03/06/2010,16:00,Corinthians,Internacional,4-4-2,Enderson Moreira,33361,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005867
7,dom 06/06/2010,13:30,Internacional,Palmeiras,4-4-2,Enderson Moreira,11743,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005875
8,qua 14/07/2010,16:50,Guarani,Internacional,4-4-2,Celso Roth,2193,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005882
9,dom 18/07/2010,11:00,Internacional,Ceará,4-4-2,Celso Roth,6483,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005894
10,qua 21/07/2010,14:30,Atlético-MG,Internacional,4-4-2,Celso Roth,4713,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005908
11,dom 25/07/2010,11:00,Internacional,Flamengo,4-4-2,Celso Roth,21079,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1006306
12,dom 01/08/2010,11:00,Internacional,Grêmio,4-4-2,Celso Roth,33087,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1006317
13,qua 13/10/2010,17:00,Santos,Internacional,4-4-2,Celso Roth,10036,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1006335
14,dom 15/08/2010,11:00,Fluminense,Internacional,3-5-2,Celso Roth,49471,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1006347
15,dom 22/08/2010,11:00,Internacional,Atlético-GO,4-4-2,Celso Roth,13017,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1006357
16,qua 25/08/2010,14:30,Avaí,Internacional,4-4-2,Celso Roth,9713,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1006362
17,sáb 28/08/2010,13:30,Internacional,Botafogo,4-4-2,Celso Roth,14693,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007608
18,qua 01/09/2010,14:30,Vitória,Internacional,4-4-2,Celso Roth,3040,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007618
19,dom 05/09/2010,13:30,Internacional,Barueri,4-4-2,Celso Roth,17811,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007637
20,qua 08/09/2010,14:30,Cruzeiro,Internacional,4-4-2,Celso Roth,13677,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007643
21,dom 12/09/2010,13:30,Internacional,Goiás,4-4-2,Celso Roth,7134,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007654
22,qui 16/09/2010,16:00,São Paulo,Internacional,4-5-1,Celso Roth,11327,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009299
23,dom 19/09/2010,11:00,Internacional,Vasco da Gama,4-5-1,Celso Roth,27061,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009315
24,qua 22/09/2010,17:00,Atlético-PR,Internacional,4-5-1,Celso Roth,18597,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009328
