round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 26/05/2013,16:00,Criciúma,Bahia,4-2-3-1,Cristóvão Borges,10355,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2317513
2,qua 29/05/2013,21:00,Bahia,Coritiba,4-3-2-1,Cristóvão Borges,4874,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318593
3,dom 02/06/2013,18:30,Internacional,Bahia,4-3-2-1,Cristóvão Borges,4600,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318607
4,qua 05/06/2013,22:00,Bahia,Botafogo,4-3-2-1,Cristóvão Borges,13759,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318731
5,sáb 08/06/2013,18:30,Vasco da Gama,Bahia,4-3-1-2,Cristóvão Borges,3986,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2319212
6,dom 07/07/2013,16:00,Bahia,Corinthians,4-3-1-2,Cristóvão Borges,23684,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2319688
7,sáb 13/07/2013,21:00,Ponte Preta,Bahia,4-3-1-2,Cristóvão Borges,3325,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2327538
8,dom 21/07/2013,16:00,Vitória,Bahia,4-3-1-2,Cristóvão Borges,36996,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343405
9,dom 28/07/2013,18:30,Bahia,Goiás,4-4-2 duplo 6,Cristóvão Borges,13491,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343420
10,qua 31/07/2013,21:50,Bahia,Flamengo,4-3-1-2,Cristóvão Borges,26033,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343427
11,qua 10/07/2013,21:00,São Paulo,Bahia,4-3-1-2,Cristóvão Borges,4579,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343432
12,qua 07/08/2013,21:00,Atlético-PR,Bahia,4-3-1-2,Cristóvão Borges,8656,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344061
13,dom 11/08/2013,18:30,Bahia,Grêmio,4-3-1-2,Cristóvão Borges,18498,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344131
14,qua 14/08/2013,19:30,Atlético-MG,Bahia,4-3-2-1,Cristóvão Borges,12027,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344112
15,dom 18/08/2013,18:30,Bahia,Santos,4-3-1-2,Cristóvão Borges,10247,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344097
16,dom 25/08/2013,16:00,Bahia,Náutico,4-3-1-2,Cristóvão Borges,10614,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344075
17,sáb 31/08/2013,18:30,Portuguesa,Bahia,4-3-1-2,Cristóvão Borges,2466,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344094
18,qua 04/09/2013,21:50,Bahia,Cruzeiro,5-3-2,Cristóvão Borges,9120,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344077
19,sáb 07/09/2013,18:30,Fluminense,Bahia,4-3-1-2,Cristóvão Borges,28658,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344054
