round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 26/05/2013,16:00,Grêmio,Náutico,4-4-2 duplo 6,Vanderlei Luxemburgo,9560,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2317511
2,dom 09/06/2013,18:30,Atlético-MG,Grêmio,4-4-2 duplo 6,Vanderlei Luxemburgo,5753,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318597
3,sáb 01/06/2013,16:20,Santos,Grêmio,4-4-2 duplo 6,Vanderlei Luxemburgo,6329,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318602
4,qua 05/06/2013,21:00,Grêmio,Vitória,4-4-2 duplo 6,Vanderlei Luxemburgo,15655,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318728
5,qua 12/06/2013,22:00,Grêmio,São Paulo,4-3-3 defensivo,Vanderlei Luxemburgo,15926,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2319219
6,sáb 06/07/2013,18:30,Atlético-PR,Grêmio,4-4-2 duplo 6,Renato Gaúcho,7531,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2319693
7,dom 14/07/2013,16:00,Grêmio,Botafogo,4-4-2 duplo 6,Renato Gaúcho,28014,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2327541
8,sáb 20/07/2013,18:30,Criciúma,Grêmio,4-4-2 duplo 6,Renato Gaúcho,12560,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343403
9,dom 28/07/2013,16:00,Grêmio,Fluminense,4-4-2 duplo 6,Renato Gaúcho,28793,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343416
10,qua 31/07/2013,21:50,Corinthians,Grêmio,4-4-2 duplo 6,Renato Gaúcho,23849,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343426
11,dom 04/08/2013,16:00,Grêmio,Internacional,5-3-2,Renato Gaúcho,40054,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343437
12,qui 08/08/2013,21:00,Grêmio,Coritiba,4-3-1-2,Renato Gaúcho,14876,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344117
13,dom 11/08/2013,18:30,Bahia,Grêmio,5-4-1,Renato Gaúcho,18498,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344131
14,qua 14/08/2013,21:50,Grêmio,Cruzeiro,5-3-2,Renato Gaúcho,16529,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344102
15,sáb 17/08/2013,21:00,Vasco da Gama,Grêmio,5-3-2,Renato Gaúcho,15781,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344110
16,sáb 24/08/2013,18:30,Flamengo,Grêmio,5-3-2,Renato Gaúcho,20580,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344099
17,sáb 31/08/2013,18:30,Grêmio,Ponte Preta,5-3-2,Renato Gaúcho,23745,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344066
18,ter 03/09/2013,19:30,Goiás,Grêmio,5-3-2,Renato Gaúcho,7898,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344079
19,sáb 07/09/2013,21:00,Grêmio,Portuguesa,5-3-2,Renato Gaúcho,19565,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344185
20,qua 11/09/2013,21:50,Náutico,Grêmio,5-3-2,Renato Gaúcho,6826,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344192
21,dom 15/09/2013,18:30,Grêmio,Atlético-MG,5-3-2,Renato Gaúcho,33304,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344230
22,qua 18/09/2013,19:30,Grêmio,Santos,5-3-2,,12447,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344180
23,sáb 21/09/2013,21:00,Vitória,Grêmio,5-3-2,Renato Gaúcho,13378,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344150
24,dom 29/09/2013,16:00,São Paulo,Grêmio,4-3-3 ofensivo,Renato Gaúcho,41140,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344116
25,qua 02/10/2013,19:30,Grêmio,Atlético-PR,4-3-3 ofensivo,Renato Gaúcho,19800,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344213
26,sáb 05/10/2013,18:30,Botafogo,Grêmio,5-3-2,Renato Gaúcho,14418,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344232
27,qua 09/10/2013,19:30,Grêmio,Criciúma,4-2-3-1,Renato Gaúcho,16423,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344217
28,sáb 12/10/2013,18:30,Fluminense,Grêmio,5-3-2,Renato Gaúcho,19556,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344188
29,qua 16/10/2013,21:50,Grêmio,Corinthians,5-3-2,Renato Gaúcho,15352,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344195
30,dom 20/10/2013,16:00,Internacional,Grêmio,4-3-3 ofensivo,Renato Gaúcho,15273,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344173
31,dom 27/10/2013,18:30,Coritiba,Grêmio,4-5-1 plano,Renato Gaúcho,19203,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344175
32,dom 03/11/2013,17:00,Grêmio,Bahia,4-5-1 plano,Renato Gaúcho,16227,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344298
33,dom 10/11/2013,17:00,Cruzeiro,Grêmio,5-3-2,Renato Gaúcho,56854,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344291
34,qua 13/11/2013,19:30,Grêmio,Vasco da Gama,4-5-1 plano,Renato Gaúcho,16863,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344248
35,dom 17/11/2013,19:30,Grêmio,Flamengo,4-5-1 plano,Renato Gaúcho,17097,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344287
36,dom 24/11/2013,17:00,Ponte Preta,Grêmio,4-2-3-1,Renato Gaúcho,4111,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344321
37,dom 01/12/2013,19:30,Grêmio,Goiás,4-2-3-1,Renato Gaúcho,23910,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344286
38,dom 08/12/2013,17:00,Portuguesa,Grêmio,4-3-3 defensivo,Renato Gaúcho,4384,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344191
