round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 19/04/2014,21:00,Chapecoense,Coritiba,4-3-3 ofensivo,Gilmar Pozzo,7178,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454180
2,dom 27/04/2014,18:30,Sport,Chapecoense,4-3-3 ofensivo,Gilmar Pozzo,12686,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454194
3,dom 04/05/2014,18:30,Chapecoense,Corinthians,4-3-1-2,Gilmar Pozzo,15009,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454341
4,dom 11/05/2014,16:00,Chapecoense,Grêmio,4-5-1 plano,Gilmar Pozzo,19165,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454351
5,dom 18/05/2014,16:00,Atlético-PR,Chapecoense,4-3-3 ofensivo,Gilmar Pozzo,766,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454356
6,qua 21/05/2014,21:00,Criciúma,Chapecoense,4-4-2 duplo 6,Gilmar Pozzo,7336,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454370
7,dom 25/05/2014,18:30,Chapecoense,Palmeiras,4-3-1-2,Celso Rodrigues,6275,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454381
8,ter 27/05/2014,21:00,Internacional,Chapecoense,4-3-1-2,Gilmar Pozzo,2824,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454389
9,dom 01/06/2014,16:00,Chapecoense,Bahia,4-4-2 duplo 6,Celso Rodrigues,7817,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454401
10,qua 06/08/2014,21:00,Chapecoense,Atlético-MG,4-3-1-2,Celso Rodrigues,9426,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454411
11,sáb 19/07/2014,18:30,São Paulo,Chapecoense,4-3-2-1,Celso Rodrigues,42979,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454414
12,sáb 26/07/2014,18:30,Santos,Chapecoense,?,Celso Rodrigues,6962,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454425
13,dom 03/08/2014,16:00,Chapecoense,Flamengo,4-3-1-2,Celso Rodrigues,12473,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454441
14,dom 10/08/2014,18:30,Chapecoense,Figueirense,4-3-1-2,Celso Rodrigues,7431,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454451
15,dom 17/08/2014,16:00,Vitória,Chapecoense,?,Celso Rodrigues,10897,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454458
16,qua 20/08/2014,22:00,Chapecoense,Fluminense,4-1-4-1,Celso Rodrigues,8817,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454471
17,sáb 23/08/2014,18:30,Botafogo,Chapecoense,4-3-2-1,Celso Rodrigues,18450,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454472
