round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 10/05/2015,16:00,Atlético-PR,Internacional,4-3-3 defensivo,Milton Mendes,10499,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2547061
2,sáb 16/05/2015,18:30,Goiás,Atlético-PR,4-3-1-2,Milton Mendes,x,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2547067
3,dom 24/05/2015,16:00,Atlético-PR,Atlético-MG,4-4-2 duplo 6,Milton Mendes,13510,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2547081
4,sáb 30/05/2015,21:00,Joinville,Atlético-PR,4-4-2 duplo 6,Milton Mendes,9144,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569246
5,qua 03/06/2015,19:30,Atlético-PR,Figueirense,4-3-3 defensivo,Milton Mendes,13637,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569255
6,sáb 06/06/2015,22:00,Atlético-PR,Vasco da Gama,4-4-2 duplo 6,Milton Mendes,16750,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569268
7,dom 14/06/2015,16:00,Grêmio,Atlético-PR,4-3-3 defensivo,Milton Mendes,19625,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569408
8,dom 21/06/2015,16:00,Atlético-PR,Coritiba,4-3-3 defensivo,Milton Mendes,30120,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569417
9,dom 28/06/2015,16:00,Ponte Preta,Atlético-PR,4-3-3 defensivo,Milton Mendes,4858,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569425
10,qua 01/07/2015,22:00,Atlético-PR,São Paulo,4-2-3-1,Milton Mendes,19971,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569435
11,sáb 04/07/2015,21:00,Cruzeiro,Atlético-PR,4-3-3 ofensivo,Milton Mendes,8188,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569445
12,qui 09/07/2015,19:30,Corinthians,Atlético-PR,4-3-3 defensivo,Milton Mendes,32442,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569450
13,dom 12/07/2015,16:00,Atlético-PR,Fluminense,4-2-3-1,Milton Mendes,15648,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569467
14,dom 19/07/2015,11:00,Atlético-PR,Chapecoense,4-2-3-1,Milton Mendes,15862,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569477
15,sáb 25/07/2015,18:30,Avaí,Atlético-PR,4-2-3-1,Milton Mendes,4919,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569486
16,dom 02/08/2015,11:00,Palmeiras,Atlético-PR,4-3-3 defensivo,Milton Mendes,38794,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2602938
17,dom 09/08/2015,10:00,Atlético-PR,Sport,4-3-3 defensivo,Milton Mendes,27327,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611072
18,qua 12/08/2015,19:30,Flamengo,Atlético-PR,4-3-3 defensivo,Milton Mendes,20881,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611081
19,sáb 15/08/2015,18:30,Atlético-PR,Santos,4-3-3 defensivo,Milton Mendes,19849,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611090
20,dom 23/08/2015,16:00,Internacional,Atlético-PR,4-3-3 defensivo,Milton Mendes,22393,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611107
21,dom 30/08/2015,18:30,Atlético-PR,Goiás,4-3-3 defensivo,Milton Mendes,14348,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2615457
22,qua 02/09/2015,21:00,Atlético-MG,Atlético-PR,4-2-3-1,Milton Mendes,12064,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2616551
23,sáb 05/09/2015,21:00,Atlético-PR,Joinville,4-3-3 defensivo,Milton Mendes,14715,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2619239
24,qua 09/09/2015,21:00,Figueirense,Atlético-PR,4-2-3-1,Milton Mendes,5890,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2619251
25,dom 13/09/2015,16:00,Vasco da Gama,Atlético-PR,4-2-3-1,Milton Mendes,10805,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2621583
26,qua 16/09/2015,21:00,Atlético-PR,Grêmio,4-3-1-2,Milton Mendes,13619,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2621593
27,dom 20/09/2015,18:30,Coritiba,Atlético-PR,4-2-3-1,Milton Mendes,30867,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626595
28,dom 27/09/2015,11:00,Atlético-PR,Ponte Preta,4-3-3 defensivo,Milton Mendes,12629,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626600
29,sáb 03/10/2015,21:00,São Paulo,Atlético-PR,4-2-3-1,Sérgio Vieira,11066,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2634337
30,qua 14/10/2015,22:00,Atlético-PR,Cruzeiro,4-3-3 defensivo,Cristóvão Borges,13047,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626617
31,dom 18/10/2015,16:00,Atlético-PR,Corinthians,4-3-3 defensivo,Cristóvão Borges,23850,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626632
32,sáb 24/10/2015,17:00,Fluminense,Atlético-PR,4-2-3-1,Cristóvão Borges,7012,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626639
