round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 10/05/2015,16:00,São Paulo,Flamengo,4-3-2-1,André Jardine,13656,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2547059
2,dom 17/05/2015,18:30,Ponte Preta,São Paulo,4-2-3-1,Milton Cruz,x,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2547073
3,sáb 23/05/2015,18:30,São Paulo,Joinville,4-2-3-1,Milton Cruz,12690,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2547076
4,dom 31/05/2015,16:00,Internacional,São Paulo,4-4-2 duplo 6,Milton Cruz,30082,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569249
5,qua 03/06/2015,21:00,São Paulo,Santos,4-2-3-1,Juan Carlos Osorio,13847,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569257
6,sáb 06/06/2015,22:00,São Paulo,Grêmio,4-2-3-1,Juan Carlos Osorio,16952,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569267
7,sáb 13/06/2015,16:30,Chapecoense,São Paulo,4-2-3-1,Juan Carlos Osorio,8712,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569403
8,dom 21/06/2015,16:00,São Paulo,Avaí,4-2-3-1,Juan Carlos Osorio,21364,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569416
9,dom 28/06/2015,16:00,Palmeiras,São Paulo,4-3-3 defensivo,Juan Carlos Osorio,29233,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569424
10,qua 01/07/2015,22:00,Atlético-PR,São Paulo,4-2-3-1,Juan Carlos Osorio,19971,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569435
11,dom 05/07/2015,16:00,São Paulo,Fluminense,4-3-3 defensivo,Juan Carlos Osorio,10539,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569440
12,qua 08/07/2015,22:00,Vasco da Gama,São Paulo,4-3-3 defensivo,Juan Carlos Osorio,15812,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569453
13,dom 12/07/2015,11:00,São Paulo,Coritiba,4-2-3-1,Juan Carlos Osorio,59612,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569460
14,dom 19/07/2015,16:00,Sport,São Paulo,3-5-2,Juan Carlos Osorio,35853,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569478
15,dom 26/07/2015,16:00,São Paulo,Cruzeiro,4-2-3-1,Juan Carlos Osorio,29719,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569480
16,qua 29/07/2015,22:00,Atlético-MG,São Paulo,3-5-2 ofensivo,Juan Carlos Osorio,47606,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2602934
17,dom 09/08/2015,15:00,São Paulo,Corinthians,3-5-2,Juan Carlos Osorio,31248,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611074
18,qua 12/08/2015,22:00,Figueirense,São Paulo,4-2-3-1,Juan Carlos Osorio,10301,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611085
19,sáb 15/08/2015,21:00,São Paulo,Goiás,3-5-2,Juan Carlos Osorio,25452,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611092
20,dom 23/08/2015,16:00,Flamengo,São Paulo,4-2-3-1,Juan Carlos Osorio,42954,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611106
21,sáb 29/08/2015,21:00,São Paulo,Ponte Preta,4-3-3 ofensivo,Juan Carlos Osorio,12145,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2615450
22,qua 02/09/2015,19:30,Joinville,São Paulo,4-3-3 defensivo,Juan Carlos Osorio,13064,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2616549
23,sáb 05/09/2015,19:30,São Paulo,Internacional,4-3-3 ofensivo,Juan Carlos Osorio,20935,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2619238
24,qua 09/09/2015,22:00,Santos,São Paulo,4-3-3 defensivo,Juan Carlos Osorio,5552,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2619253
25,dom 13/09/2015,16:00,Grêmio,São Paulo,4-1-4-1,Juan Carlos Osorio,44227,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2621586
26,qui 17/09/2015,19:30,São Paulo,Chapecoense,4-2-3-1,Juan Carlos Osorio,16502,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2621597
