round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 15/05/2016,16:00,Figueirense,Ponte Preta,4-3-3 defensivo,Eduardo Baptista,5714,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2684561
2,sáb 21/05/2016,16:00,Ponte Preta,Palmeiras,4-3-3 defensivo,Eduardo Baptista,7061,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2684573
3,qui 26/05/2016,11:00,Corinthians,Ponte Preta,4-3-3 defensivo,Eduardo Baptista,35573,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2694652
4,dom 29/05/2016,11:00,Ponte Preta,Flamengo,4-3-3 defensivo,Eduardo Baptista,7106,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2694659
5,qui 02/06/2016,19:30,América-MG,Ponte Preta,4-3-3 defensivo,Eduardo Baptista,1466,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2695573
6,dom 05/06/2016,16:00,Grêmio,Ponte Preta,4-2-3-1,Eduardo Baptista,16957,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2695588
7,sáb 11/06/2016,16:00,Ponte Preta,Chapecoense,4-2-3-1,Eduardo Baptista,3862,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2696871
8,qua 15/06/2016,19:30,Ponte Preta,Atlético-PR,4-3-3 ofensivo,Eduardo Baptista,3090,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698562
9,dom 19/06/2016,11:00,Atlético-MG,Ponte Preta,?,Eduardo Baptista,16042,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698573
10,qua 22/06/2016,19:30,Ponte Preta,Cruzeiro,?,Eduardo Baptista,4183,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698582
11,dom 26/06/2016,16:00,Vitória,Ponte Preta,?,Eduardo Baptista,4814,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702136
12,qui 30/06/2016,19:30,Santa Cruz,Ponte Preta,?,Eduardo Baptista,8517,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702148
