round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 16/04/2018,20:00,Botafogo,Palmeiras,4-2-3-1,Roger Machado,8033,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3011399
2,dom 22/04/2018,16:00,Palmeiras,Internacional,4-2-3-1,Roger Machado,25504,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3034139
3,dom 29/04/2018,16:00,Palmeiras,Chapecoense,4-2-3-1,Roger Machado,30617,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3034150
4,dom 06/05/2018,16:00,Atlético-PR,Palmeiras,4-2-3-1,Roger Machado,20417,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036820
5,dom 13/05/2018,16:00,Corinthians,Palmeiras,4-2-3-1,Roger Machado,35246,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036826
6,sáb 19/05/2018,21:00,Palmeiras,Bahia,4-2-3-1,Roger Machado,26351,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036837
7,sáb 26/05/2018,19:00,Palmeiras,Sport,4-2-3-1,Roger Machado,25947,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036846
8,qua 30/05/2018,21:45,Cruzeiro,Palmeiras,4-2-3-1,Roger Machado,19679,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036860
9,sáb 02/06/2018,21:00,Palmeiras,São Paulo,4-2-3-1,Roger Machado,32841,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036868
10,qua 06/06/2018,21:45,Grêmio,Palmeiras,4-2-3-1,Roger Machado,28664,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036881
11,dom 10/06/2018,16:00,Ceará,Palmeiras,4-2-3-1,Roger Machado,32732,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036891
12,qua 13/06/2018,21:00,Palmeiras,Flamengo,4-2-3-1,Roger Machado,36882,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036903
13,qui 19/07/2018,20:00,Santos,Palmeiras,4-2-3-1,Roger Machado,26417,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036912
14,dom 22/07/2018,16:00,Palmeiras,Atlético-MG,4-2-3-1,Roger Machado,29246,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036923
15,qua 25/07/2018,19:30,Fluminense,Palmeiras,4-2-3-1,Roger Machado,22827,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036929
16,dom 29/07/2018,11:00,Palmeiras,Paraná,4-1-4-1,Wesley Carvalho,35776,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036943
17,dom 05/08/2018,16:00,América-MG,Palmeiras,4-2-3-1,Luiz Felipe Scolari,8077,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036947
18,dom 12/08/2018,19:00,Palmeiras,Vasco da Gama,4-1-4-1,Luiz Felipe Scolari,30012,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036963
19,dom 19/08/2018,16:00,Vitória,Palmeiras,4-2-3-1,Luiz Felipe Scolari,8822,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036968
20,qua 22/08/2018,21:00,Palmeiras,Botafogo,4-2-3-1,Luiz Felipe Scolari,24882,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036983
21,dom 26/08/2018,16:00,Internacional,Palmeiras,4-2-3-1,Luiz Felipe Scolari,43743,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036994
22,dom 02/09/2018,19:00,Chapecoense,Palmeiras,4-2-3-1,Luiz Felipe Scolari,4546,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036997
23,qua 05/09/2018,21:00,Palmeiras,Atlético-PR,4-2-3-1,Luiz Felipe Scolari,24601,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037013
24,dom 09/09/2018,16:00,Palmeiras,Corinthians,4-2-3-1,Luiz Felipe Scolari,38568,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037023
25,dom 16/09/2018,16:00,Bahia,Palmeiras,4-3-2-1,Luiz Felipe Scolari,24951,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037028
26,dom 23/09/2018,18:00,Sport,Palmeiras,4-1-4-1,Luiz Felipe Scolari,18681,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037042
27,dom 30/09/2018,11:00,Palmeiras,Cruzeiro,4-2-3-1,Luiz Felipe Scolari,35654,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037053
28,sáb 06/10/2018,18:00,São Paulo,Palmeiras,4-1-4-1,Luiz Felipe Scolari,56694,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037061
29,dom 14/10/2018,16:00,Palmeiras,Grêmio,4-2-3-1,Luiz Felipe Scolari,35812,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037073
30,dom 21/10/2018,16:00,Palmeiras,Ceará,4-3-3 defensivo,Luiz Felipe Scolari,36323,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037083
31,sáb 27/10/2018,19:00,Flamengo,Palmeiras,4-2-3-1,Luiz Felipe Scolari,65102,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037090
32,sáb 03/11/2018,19:00,Palmeiras,Santos,4-2-3-1,Luiz Felipe Scolari,38938,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037103
33,dom 11/11/2018,17:00,Atlético-MG,Palmeiras,4-2-3-1,Luiz Felipe Scolari,20488,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037105
34,qua 14/11/2018,21:45,Palmeiras,Fluminense,4-2-3-1,Luiz Felipe Scolari,37430,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037123
35,dom 18/11/2018,17:00,Paraná,Palmeiras,4-1-4-1,Luiz Felipe Scolari,25076,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037126
36,qua 21/11/2018,21:45,Palmeiras,América-MG,4-2-3-1,Luiz Felipe Scolari,39429,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037143
37,dom 25/11/2018,17:00,Vasco da Gama,Palmeiras,4-2-3-1,Luiz Felipe Scolari,21066,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037149
38,dom 02/12/2018,17:00,Palmeiras,Vitória,4-2-3-1,Luiz Felipe Scolari,41256,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3037163
