round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 09/05/2009,16:00,América-RN,Atlético-GO,?,Guilherme Macuglia,,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939267
2,sáb 16/05/2009,11:10,Guarani,América-RN,?,Guilherme Macuglia,5146,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939275
3,sex 22/05/2009,16:00,América-RN,Paraná,?,Guilherme Macuglia,3261,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939280
4,sáb 30/05/2009,11:10,São Caetano,América-RN,?,Guilherme Macuglia,847,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939296
5,sáb 06/06/2009,16:00,América-RN,Brasiliense,?,Guilherme Macuglia,6814,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939307
6,sáb 13/06/2009,11:10,Duque de Caxias,América-RN,?,Guilherme Macuglia,186,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939315
7,sáb 20/06/2009,11:10,América-RN,ABC,?,Guilherme Macuglia,14685,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939325
8,ter 23/06/2009,16:00,América-RN,Ponte Preta,?,Guilherme Macuglia,2959,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939329
9,sáb 04/07/2009,11:10,Campinense,América-RN,?,Guilherme Macuglia,4947,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939343
10,sáb 11/07/2009,11:10,América-RN,Bahia,?,Guilherme Macuglia,6884,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939354
11,ter 14/07/2009,16:45,Fortaleza,América-RN,?,Guilherme Macuglia,3886,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939364
12,sáb 18/07/2009,16:00,América-RN,Juventude,?,Guilherme Macuglia,3697,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939377
13,sáb 25/07/2009,11:10,Portuguesa,América-RN,?,Guilherme Macuglia,1855,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939384
14,ter 28/07/2009,16:50,América-RN,Bragantino,?,Guilherme Macuglia,5086,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939396
15,sex 31/07/2009,16:00,Vila Nova,América-RN,?,Roberto Fonseca,1929,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939399
16,sáb 08/08/2009,11:10,Figueirense,América-RN,?,Roberto Fonseca,7925,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939416
17,ter 11/08/2009,16:00,América-RN,Vasco da Gama,?,Roberto Fonseca,22191,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939424
18,sáb 15/08/2009,16:00,Ipatinga,América-RN,?,Roberto Fonseca,1035,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939437
19,sáb 22/08/2009,11:10,América-RN,Ceará,?,Roberto Fonseca,6599,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939445
20,ter 25/08/2009,15:30,Atlético-GO,América-RN,?,Roberto Fonseca,2215,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965948
21,sáb 29/08/2009,11:10,América-RN,Guarani,?,Roberto Fonseca,2421,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965977
22,sex 04/09/2009,16:00,Paraná,América-RN,?,Roberto Fonseca,2827,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965999
