position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Coritiba FC,38,21,8,9,69:49,20,71,https://www.transfermarkt.com.br/coritiba-fc/spielplan/verein/776/saison_id/2009
2,Figueirense FC,38,19,10,9,68:37,31,67,https://www.transfermarkt.com.br/figueirense-fc/spielplan/verein/4064/saison_id/2009
3,EC Bahia,38,19,8,11,63:44,19,65,https://www.transfermarkt.com.br/esporte-clube-bahia/spielplan/verein/10010/saison_id/2009
4,América Mineiro,38,19,6,13,56:42,14,63,https://www.transfermarkt.com.br/america-futebol-clube-mg-/spielplan/verein/2863/saison_id/2009
5,Portuguesa,38,19,5,14,68:53,15,62,https://www.transfermarkt.com.br/portuguesa-sao-paulo/spielplan/verein/10247/saison_id/2009
6,Sport Recife,38,15,11,12,55:41,14,56,https://www.transfermarkt.com.br/sport-club-do-recife/spielplan/verein/8718/saison_id/2009
7,Paraná Clube,38,15,8,15,47:44,3,53,https://www.transfermarkt.com.br/parana-clube/spielplan/verein/309/saison_id/2009
8,CA Bragantino,38,13,14,11,52:37,15,53,https://www.transfermarkt.com.br/red-bull-bragantino/spielplan/verein/8793/saison_id/2009
9,ASA de Arapiraca,38,16,4,18,53:56,-3,52,https://www.transfermarkt.com.br/asa-de-arapiraca/spielplan/verein/20092/saison_id/2009
10,AD São Caetano,38,14,10,14,50:52,-2,52,https://www.transfermarkt.com.br/ad-sao-caetano-sp-/spielplan/verein/291/saison_id/2009
11,Duque de Caxias FC,38,15,5,18,46:56,-10,50,https://www.transfermarkt.com.br/duque-de-caxias-futebol-clube-rj-/spielplan/verein/15656/saison_id/2009
12,ADRC Icasa,38,13,10,15,51:52,-1,49,https://www.transfermarkt.com.br/ad-recreativa-cultural-icasa-ce-/spielplan/verein/16441/saison_id/2009
13,Náutico,38,14,6,18,41:60,-19,48,https://www.transfermarkt.com.br/clube-nautico-capibaribe/spielplan/verein/2646/saison_id/2009
14,AA Ponte Preta,38,12,12,14,49:48,1,48,https://www.transfermarkt.com.br/aa-ponte-preta/spielplan/verein/1134/saison_id/2009
15,Guaratinguetá,38,11,14,13,48:58,-10,47,https://www.transfermarkt.com.br/guaratingueta-futebol-ltda-sp-/spielplan/verein/15064/saison_id/2009
16,Vila Nova FC,38,13,7,18,50:68,-18,46,https://www.transfermarkt.com.br/vila-nova-futebol-clube-go-/spielplan/verein/5677/saison_id/2009
17,Brasiliense FC,38,12,10,16,41:59,-18,46,https://www.transfermarkt.com.br/brasiliense-futebol-clube-df-/spielplan/verein/3973/saison_id/2009
18,EC Santo André,38,11,10,17,53:61,-8,43,https://www.transfermarkt.com.br/esporte-clube-santo-andre-sp-/spielplan/verein/7478/saison_id/2009
19,Ipatinga FC,38,11,8,19,47:62,-15,41,https://www.transfermarkt.com.br/ipatinga-futebol-clube-mg-/spielplan/verein/3270/saison_id/2009
20,América FC,38,11,8,19,40:68,-28,41,https://www.transfermarkt.com.br/america-futebol-clube-rn-/spielplan/verein/1751/saison_id/2009
