round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 21/05/2011,11:20,Sport,Icasa,?,Dado Cavalcanti,18533,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091637
2,sáb 28/05/2011,11:20,Icasa,Vitória,?,Dado Cavalcanti,2476,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097514
3,sáb 04/06/2011,11:20,Ponte Preta,Icasa,?,Dado Cavalcanti,3380,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097522
4,sáb 11/06/2011,21:00,Icasa,Americana,?,Dado Cavalcanti,1897,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097536
5,ter 14/06/2011,14:30,Boa Esporte,Icasa,?,Dado Cavalcanti,2066,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097539
6,sex 17/06/2011,16:50,Icasa,São Caetano,?,Dado Cavalcanti,1755,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097550
7,sex 24/06/2011,16:00,Paraná,Icasa,?,Dado Cavalcanti,8260,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097559
8,ter 28/06/2011,16:50,Icasa,ASA,?,,1194,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120491
9,sex 01/07/2011,16:00,Vila Nova,Icasa,?,Márcio Bittencourt,7288,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120493
10,sáb 09/07/2011,16:00,Icasa,Náutico,?,Márcio Bittencourt,2427,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120510
11,sáb 16/07/2011,11:20,Barueri,Icasa,?,Márcio Bittencourt,12706,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120519
12,ter 19/07/2011,16:00,Duque de Caxias,Icasa,?,Márcio Bittencourt,92,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120522
13,ter 26/07/2011,16:50,Icasa,Criciúma,?,Márcio Bittencourt,1639,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120540
14,sáb 30/07/2011,11:20,Icasa,Bragantino,?,Márcio Bittencourt,1346,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120550
15,sáb 06/08/2011,16:00,ABC,Icasa,?,Márcio Bittencourt,5868,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120561
16,sex 12/08/2011,16:00,Icasa,Guarani,?,Márcio Bittencourt,1828,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120565
17,ter 16/08/2011,16:50,Salgueiro,Icasa,?,Márcio Bittencourt,1423,3:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120578
18,sex 19/08/2011,15:30,Icasa,Goiás,?,Márcio Bittencourt,2589,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120584
19,sáb 27/08/2011,11:20,Portuguesa,Icasa,?,Márcio Bittencourt,6009,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120597
20,ter 30/08/2011,15:30,Icasa,Sport,?,Márcio Bittencourt,3726,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1143561
21,sáb 03/09/2011,11:20,Vitória,Icasa,4-3-1-2,Márcio Bittencourt,19231,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1143573
22,sex 09/09/2011,15:30,Icasa,Ponte Preta,4-3-1-2,Márcio Bittencourt,2128,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1143971
23,ter 13/09/2011,15:30,Americana,Icasa,3-4-3 plano,Márcio Bittencourt,1218,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1150025
24,sáb 17/09/2011,11:20,Icasa,Boa Esporte,?,Márcio Bittencourt,1131,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1150089
25,sáb 24/09/2011,11:20,São Caetano,Icasa,?,Márcio Bittencourt,399,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1150597
26,ter 27/09/2011,15:30,Icasa,Paraná,?,Márcio Bittencourt,3160,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1151858
27,sáb 01/10/2011,11:20,ASA,Icasa,?,Márcio Bittencourt,2868,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1152546
28,ter 04/10/2011,15:30,Icasa,Vila Nova,?,Márcio Bittencourt,2506,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1153057
29,sáb 08/10/2011,11:20,Náutico,Icasa,?,Márcio Bittencourt,6049,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1154303
30,sáb 15/10/2011,11:20,Icasa,Barueri,?,Márcio Bittencourt,2026,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1154361
31,ter 18/10/2011,16:30,Icasa,Duque de Caxias,?,Arnaldo Lira,1619,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1157756
32,sáb 22/10/2011,12:20,Criciúma,Icasa,?,Arnaldo Lira,5619,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158938
33,sáb 29/10/2011,12:20,Bragantino,Icasa,?,Arnaldo Lira,5288,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1159356
34,sáb 05/11/2011,14:00,Icasa,ABC,?,Arnaldo Lira,3356,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1159999
35,ter 08/11/2011,17:30,Guarani,Icasa,?,Arnaldo Lira,5019,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164852
36,sex 11/11/2011,17:30,Icasa,Salgueiro,?,Arnaldo Lira,3565,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164853
37,sáb 19/11/2011,14:00,Goiás,Icasa,?,Arnaldo Lira,1489,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164870
38,sáb 26/11/2011,14:00,Icasa,Portuguesa,?,,7572,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1164874
