round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 20/05/2011,16:00,Goiás,Barueri,?,Arthur Neto,1652,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1091634
2,sáb 28/05/2011,11:20,Náutico,Goiás,?,Arthur Neto,3959,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097513
3,ter 31/05/2011,16:00,Goiás,ASA,?,Arthur Neto,18287,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097520
4,ter 07/06/2011,16:00,ABC,Goiás,?,Arthur Neto,3838,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097528
5,ter 14/06/2011,14:30,Goiás,Paraná,?,Arthur Neto,21754,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097540
6,sáb 18/06/2011,11:20,Salgueiro,Goiás,?,Arthur Neto,92,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097554
7,sáb 25/06/2011,11:20,Goiás,Portuguesa,?,Arthur Neto,9729,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1097565
8,ter 28/06/2011,16:50,Goiás,Boa Esporte,?,,1294,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120490
9,sex 01/07/2011,16:50,Ponte Preta,Goiás,?,Márcio Goiano,3702,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120495
10,ter 05/07/2011,16:00,Criciúma,Goiás,?,Márcio Goiano,5533,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120502
11,sex 15/07/2011,16:00,Goiás,Vitória,?,Márcio Goiano,14867,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120515
12,ter 19/07/2011,16:00,Americana,Goiás,?,Márcio Goiano,1772,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120523
13,ter 26/07/2011,14:30,Goiás,Sport,?,Márcio Goiano,20018,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120535
14,sex 29/07/2011,16:50,Duque de Caxias,Goiás,?,Márcio Goiano,63,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120545
15,sáb 06/08/2011,11:20,Goiás,Vila Nova,?,Márcio Goiano,13040,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120557
16,ter 09/08/2011,16:00,São Caetano,Goiás,?,Márcio Goiano,1475,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120562
17,ter 16/08/2011,14:30,Goiás,Bragantino,?,Márcio Goiano,8179,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120577
18,sex 19/08/2011,15:30,Icasa,Goiás,?,Márcio Goiano,2589,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120584
19,ter 23/08/2011,15:30,Goiás,Guarani,?,Márcio Goiano,7022,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1120593
20,ter 30/08/2011,15:30,Barueri,Goiás,?,Márcio Goiano,4599,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1143563
21,sex 02/09/2011,15:30,Goiás,Náutico,?,Márcio Goiano,6035,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1143566
22,sex 09/09/2011,15:30,ASA,Goiás,?,Ademir Fonseca,3716,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1143973
23,ter 13/09/2011,15:30,Goiás,ABC,?,Ademir Fonseca,3905,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1150026
24,sáb 17/09/2011,11:20,Paraná,Goiás,?,Ademir Fonseca,2861,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1150088
25,sex 23/09/2011,15:30,Goiás,Salgueiro,?,Ademir Fonseca,3057,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1150592
26,ter 27/09/2011,15:30,Portuguesa,Goiás,?,Ademir Fonseca,3831,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1151861
27,sáb 01/10/2011,11:20,Boa Esporte,Goiás,?,Enderson Moreira,3936,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1152548
28,ter 04/10/2011,15:30,Goiás,Ponte Preta,?,Enderson Moreira,1276,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1153060
29,sex 07/10/2011,15:30,Goiás,Criciúma,?,Enderson Moreira,3248,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1154300
30,sáb 15/10/2011,11:20,Vitória,Goiás,?,Enderson Moreira,6765,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1154360
31,ter 18/10/2011,16:30,Goiás,Americana,?,Enderson Moreira,3308,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1157759
32,sáb 22/10/2011,12:20,Sport,Goiás,?,Enderson Moreira,8000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1158936
33,sex 28/10/2011,16:30,Goiás,Duque de Caxias,?,Enderson Moreira,7633,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1159355
