round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 24/05/2013,19:30,São Caetano,Ceará,5-3-2,Marcelo Veiga,632,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2317585
2,ter 28/05/2013,15:00,Paraná,São Caetano,4-3-1-2,Marcelo Veiga,1635,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2317815
3,sáb 01/06/2013,21:00,São Caetano,Chapecoense,5-3-2,Marcelo Veiga,438,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318554
4,ter 04/06/2013,21:50,São Caetano,Atlético-GO,5-3-2,Marcelo Veiga,282,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318683
5,sáb 08/06/2013,21:00,Bragantino,São Caetano,5-3-2,Marcelo Veiga,436,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2319129
6,ter 11/06/2013,19:30,Oeste,São Caetano,4-4-2 duplo 6,Marcelo Veiga,1243,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2319674
7,sáb 06/07/2013,16:20,São Caetano,Avaí,4-4-2 duplo 6,Marcelo Veiga,339,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2319939
8,ter 09/07/2013,19:30,Paysandu,São Caetano,4-4-2 duplo 6,Marcelo Veiga,12070,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2327526
9,sex 19/07/2013,21:00,São Caetano,Guaratinguetá,4-4-2 duplo 6,Marcelo Veiga,409,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2328636
10,sáb 27/07/2013,21:00,Figueirense,São Caetano,4-3-1-2,Marcelo Veiga,3014,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343770
11,ter 30/07/2013,21:50,São Caetano,ABC,4-3-1-2,Marcelo Veiga,344,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343791
12,sáb 03/08/2013,16:20,Icasa,São Caetano,4-3-1-2,Marcelo Veiga,1647,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343788
13,ter 06/08/2013,19:30,São Caetano,Palmeiras,4-3-1-2,Marcelo Veiga,3960,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343803
14,sáb 10/08/2013,16:20,São Caetano,Sport,4-3-1-2,Marcelo Veiga,873,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343805
15,ter 13/08/2013,19:30,América-MG,São Caetano,4-3-1-2,Marcelo Veiga,1618,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343836
16,sex 16/08/2013,19:30,São Caetano,Boa Esporte,4-3-1-2,Márcio Araújo,357,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343830
17,sex 23/08/2013,21:00,Joinville,São Caetano,4-3-1-2,Sérgio Guedes,7335,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343820
18,sáb 31/08/2013,16:20,América-RN,São Caetano,4-3-1-2,Sérgio Guedes,1846,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343850
19,ter 03/09/2013,21:50,São Caetano,ASA,4-4-2 duplo 6,Sérgio Guedes,205,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343858
20,sex 06/09/2013,19:30,Ceará,São Caetano,4-4-2 duplo 6,Sérgio Guedes,6926,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343873
21,ter 10/09/2013,16:20,São Caetano,Paraná,4-3-1-2,Sérgio Guedes,396,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343884
22,sex 13/09/2013,21:50,Chapecoense,São Caetano,4-1-4-1,Sérgio Guedes,7583,6:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343891
23,ter 17/09/2013,19:30,Atlético-GO,São Caetano,4-4-2 duplo 6,Sérgio Guedes,1369,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343899
24,sex 20/09/2013,19:30,São Caetano,Bragantino,4-4-2 duplo 6,Sérgio Guedes,400,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343913
25,sex 27/09/2013,19:30,São Caetano,Oeste,4-3-3 defensivo,Sérgio Guedes,397,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343905
26,ter 01/10/2013,21:50,Avaí,São Caetano,4-4-2 duplo 6,Sérgio Guedes,4973,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343925
27,sáb 05/10/2013,21:00,São Caetano,Paysandu,4-3-3 defensivo,Sérgio Guedes,434,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343930
28,ter 08/10/2013,19:30,Guaratinguetá,São Caetano,4-4-2 duplo 6,Sérgio Guedes,1120,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343958
29,sáb 12/10/2013,21:00,São Caetano,Figueirense,4-3-1-2,Pintado,444,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343962
30,ter 15/10/2013,21:50,ABC,São Caetano,4-3-2-1,Pintado,6175,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343967
31,sáb 19/10/2013,22:00,São Caetano,Icasa,4-3-1-2,Pintado,439,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343972
32,sáb 26/10/2013,16:20,Palmeiras,São Caetano,4-2-3-1,Pintado,33478,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343989
33,sáb 02/11/2013,17:20,Sport,São Caetano,4-3-1-2,Pintado,21692,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343995
34,ter 05/11/2013,21:00,São Caetano,América-MG,4-3-1-2,Pintado,275,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343999
35,ter 12/11/2013,19:30,Boa Esporte,São Caetano,4-3-3 defensivo,Pintado,1730,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344036
36,sáb 16/11/2013,21:00,São Caetano,Joinville,4-2-3-1,Pintado,199,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344015
37,sáb 23/11/2013,21:00,São Caetano,América-RN,4-2-3-1,Pintado,205,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344022
38,sex 29/11/2013,19:30,ASA,São Caetano,4-4-2 duplo 6,Pintado,936,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344048
