round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 25/05/2013,21:00,ABC,Paraná,4-4-2 duplo 6,Dado Cavalcanti,1239,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2317592
2,ter 28/05/2013,15:00,Paraná,São Caetano,4-4-2 duplo 6,Dado Cavalcanti,1635,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2317815
3,sex 31/05/2013,21:50,Oeste,Paraná,4-4-2 duplo 6,Dado Cavalcanti,730,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318548
4,ter 04/06/2013,19:30,Paysandu,Paraná,4-4-2 duplo 6,Dado Cavalcanti,8549,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318679
5,sáb 08/06/2013,16:20,Paraná,Figueirense,4-4-2 duplo 6,Dado Cavalcanti,4568,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2319126
6,ter 11/06/2013,21:50,Paraná,ASA,4-4-2 duplo 6,Dado Cavalcanti,3041,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2319682
7,sex 05/07/2013,21:00,América-MG,Paraná,4-4-2 duplo 6,Dado Cavalcanti,1378,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2319935
8,sáb 13/07/2013,16:20,Avaí,Paraná,4-4-2 duplo 6,Dado Cavalcanti,4885,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2327531
9,sex 19/07/2013,21:00,Paraná,América-RN,4-4-2 duplo 6,Dado Cavalcanti,2153,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2328635
10,sáb 27/07/2013,16:20,Paraná,Ceará,4-3-1-2,Dado Cavalcanti,5908,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343766
11,ter 30/07/2013,21:50,Bragantino,Paraná,4-3-1-2,Dado Cavalcanti,451,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343787
12,sáb 03/08/2013,21:00,Atlético-GO,Paraná,4-4-2 duplo 6,Dado Cavalcanti,1401,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343779
13,ter 06/08/2013,21:50,Paraná,Joinville,4-4-2 duplo 6,Dado Cavalcanti,4986,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343802
14,sáb 10/08/2013,16:20,Palmeiras,Paraná,4-4-2 duplo 6,Dado Cavalcanti,29012,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343813
15,ter 13/08/2013,19:30,Paraná,Boa Esporte,4-3-3 defensivo,Dado Cavalcanti,4535,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343824
16,sáb 17/08/2013,16:20,Chapecoense,Paraná,4-4-2 duplo 6,Dado Cavalcanti,7698,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343814
17,sáb 24/08/2013,16:20,Paraná,Sport,4-3-3 defensivo,Dado Cavalcanti,12295,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343831
18,sáb 31/08/2013,16:20,Paraná,Guaratinguetá,4-3-3 defensivo,Dado Cavalcanti,11368,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343851
