round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 19/04/2014,16:20,Santa Cruz,ABC,4-4-2 duplo 6,Vica,10024,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454698
2,sáb 26/04/2014,16:20,Portuguesa,Santa Cruz,4-2-3-1,Sérgio Guedes,1367,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454706
3,sex 02/05/2014,21:00,Santa Cruz,Paraná,4-1-3-2,Sérgio Guedes,8029,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454715
4,sáb 10/05/2014,16:20,Santa Cruz,Luverdense,4-4-2 duplo 6,Sérgio Guedes,13010,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454725
5,sáb 17/05/2014,16:20,Icasa,Santa Cruz,4-1-3-2,Sérgio Guedes,2735,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454737
6,ter 20/05/2014,19:30,Oeste,Santa Cruz,?,Sérgio Guedes,560,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454742
7,sex 23/05/2014,19:30,Santa Cruz,América-MG,?,Sérgio Guedes,x,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454755
8,ter 27/05/2014,19:30,Boa Esporte,Santa Cruz,?,Sérgio Guedes,663,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454771
9,sex 30/05/2014,21:50,Santa Cruz,Joinville,?,Sérgio Guedes,9884,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454775
10,seg 02/06/2014,19:30,Santa Cruz,Ponte Preta,4-4-2 duplo 6,Sérgio Guedes,15759,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454785
11,ter 15/07/2014,21:50,Vasco da Gama,Santa Cruz,4-1-3-2,Sérgio Guedes,7190,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454794
12,sáb 19/07/2014,16:20,Vila Nova,Santa Cruz,4-4-2 duplo 6,Sérgio Guedes,1780,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454809
13,sáb 26/07/2014,16:20,Santa Cruz,Ceará,4-4-2 duplo 6,Sérgio Guedes,17248,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454815
14,sáb 02/08/2014,16:20,América-RN,Santa Cruz,4-4-2 duplo 6,Sérgio Guedes,8967,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454830
15,sáb 09/08/2014,16:20,Santa Cruz,Náutico,4-4-2 duplo 6,Sérgio Guedes,21655,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454835
16,ter 14/10/2014,19:30,Santa Cruz,Bragantino,4-4-2 duplo 6,Oliveira Canindé,12897,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454845
17,ter 19/08/2014,19:30,Sampaio Corrêa,Santa Cruz,4-1-3-2,Sérgio Guedes,12808,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454856
