round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 08/05/2015,19:30,Atlético-GO,Boa Esporte,4-4-2 duplo 6,Marcelo Martelotte,1205,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2562834
2,sáb 16/05/2015,21:00,Ceará,Atlético-GO,4-4-2 duplo 6,Marcelo Martelotte,5114,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2562851
3,sáb 23/05/2015,16:30,Atlético-GO,Botafogo,4-4-2 duplo 6,Marcelo Martelotte,7822,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2563607
4,sáb 30/05/2015,16:30,Criciúma,Atlético-GO,4-4-2 duplo 6,Marcelo Martelotte,4211,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2563786
5,ter 02/06/2015,21:50,Atlético-GO,Luverdense,4-4-2 duplo 6,Marcelo Martelotte,720,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2567935
6,sex 05/06/2015,19:30,Vitória,Atlético-GO,4-3-1-2,Gilberto Pereira,6640,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2568585
7,sáb 13/06/2015,16:30,Atlético-GO,Náutico,4-4-2 duplo 6,Jorginho,1108,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2569524
8,sáb 20/06/2015,16:30,América-MG,Atlético-GO,4-4-2 duplo 6,Jorginho,3265,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2573491
9,sex 26/06/2015,21:00,Atlético-GO,Paraná,4-4-2 losango,Jorginho,710,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2573496
10,ter 30/06/2015,18:30,Paysandu,Atlético-GO,4-4-2 duplo 6,Jorginho,30201,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2573680
11,ter 07/07/2015,19:30,Atlético-GO,ABC,4-3-3 defensivo,Jorginho,1214,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2576809
12,sex 10/07/2015,19:30,Atlético-GO,Mogi Mirim,4-4-2 duplo 6,Jorginho,655,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2576818
13,sáb 18/07/2015,16:30,Santa Cruz,Atlético-GO,4-4-2 duplo 6,Jorginho,10220,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2576831
14,sex 24/07/2015,21:50,Bragantino,Atlético-GO,4-4-2 duplo 6,Gilberto Pereira,354,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2576839
15,ter 28/07/2015,21:50,Atlético-GO,CRB,4-4-2 duplo 6,João Paulo Sanches,1334,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2576854
16,sáb 01/08/2015,16:30,Atlético-GO,Sampaio Corrêa,4-4-2 duplo 6,Gilberto Pereira,4409,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2597017
17,sáb 08/08/2015,16:30,Macaé,Atlético-GO,4-4-2 duplo 6,Gilberto Pereira,2131,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2597947
18,ter 11/08/2015,19:00,Oeste,Atlético-GO,4-4-2 duplo 6,Gilberto Pereira,1175,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2597954
19,sex 14/08/2015,21:30,Atlético-GO,Bahia,4-4-2 duplo 6,Gilberto Pereira,1814,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2602898
20,sáb 22/08/2015,16:30,Boa Esporte,Atlético-GO,4-4-2 duplo 6,Gilberto Pereira,921,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604935
21,sáb 29/08/2015,16:30,Atlético-GO,Ceará,4-4-2 duplo 6,Gilberto Pereira,2821,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2612431
22,ter 01/09/2015,21:30,Botafogo,Atlético-GO,4-2-3-1,Gilberto Pereira,3667,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2612441
23,ter 22/09/2015,19:30,Atlético-GO,Criciúma,4-4-2 duplo 6,Gilberto Pereira,1399,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2612448
24,ter 08/09/2015,19:30,Luverdense,Atlético-GO,4-4-2 duplo 6,Gilberto Pereira,1037,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2616601
25,sáb 12/09/2015,16:30,Atlético-GO,Vitória,4-4-2 duplo 6,Gilberto Pereira,2277,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2619263
26,ter 15/09/2015,20:30,Náutico,Atlético-GO,4-4-2 duplo 6,Gilberto Pereira,1299,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2621573
27,sex 18/09/2015,20:30,Atlético-GO,América-MG,4-4-2 duplo 6,Gilberto Pereira,1397,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626921
28,sáb 26/09/2015,21:00,Paraná,Atlético-GO,4-4-2 duplo 6,Gilberto Pereira,2379,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2627056
29,sáb 03/10/2015,16:30,Atlético-GO,Paysandu,4-4-2 duplo 6,Gilberto Pereira,3024,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2629225
30,ter 06/10/2015,20:30,ABC,Atlético-GO,4-4-2 duplo 6,Gilberto Pereira,1686,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2630442
31,sáb 17/10/2015,16:30,Mogi Mirim,Atlético-GO,4-4-2 duplo 6,Gilberto Pereira,3064,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2631619
32,sáb 24/10/2015,17:30,Atlético-GO,Santa Cruz,4-4-2 duplo 6,Gilberto Pereira,2606,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2633861
33,sex 30/10/2015,21:00,Atlético-GO,Bragantino,4-4-2 duplo 6,Gilberto Pereira,1084,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2633869
34,sáb 07/11/2015,21:00,CRB,Atlético-GO,4-2-3-1,Gilberto Pereira,2709,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2633885
35,ter 10/11/2015,21:30,Sampaio Corrêa,Atlético-GO,4-4-2 duplo 6,Gilberto Pereira,12850,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2633890
36,sáb 14/11/2015,21:00,Atlético-GO,Macaé,4-1-3-2,Gilberto Pereira,3109,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2636961
37,sex 20/11/2015,19:00,Atlético-GO,Oeste,4-3-3 defensivo,João Paulo Sanches,4574,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2639210
38,sáb 28/11/2015,17:30,Bahia,Atlético-GO,4-4-2 duplo 6,João Paulo Sanches,1740,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2639227
