round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 14/05/2016,17:00,Brasil Pelotas,Paraná,4-4-2 duplo 6,Rogério Zimermann,4734,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2684582
2,sex 20/05/2016,19:15,Atlético-GO,Brasil Pelotas,4-4-2 duplo 6,Rogério Zimermann,1184,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2684591
3,ter 24/05/2016,19:15,Brasil Pelotas,Bragantino,4-2-3-1,Rogério Zimermann,3187,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2694625
4,sex 27/05/2016,20:30,Goiás,Brasil Pelotas,4-2-3-1,Rogério Zimermann,2563,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2694636
5,ter 31/05/2016,19:15,Brasil Pelotas,Paysandu,4-2-3-1,Rogério Zimermann,3076,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2695798
6,sex 03/06/2016,20:30,Brasil Pelotas,Luverdense,4-2-3-1,Rogério Zimermann,3151,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2695808
7,ter 07/06/2016,19:15,Criciúma,Brasil Pelotas,4-3-2-1,Rogério Zimermann,3380,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2696852
8,sáb 11/06/2016,16:00,Brasil Pelotas,Tupi,4-2-3-1,Rogério Zimermann,2739,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2696865
9,ter 14/06/2016,21:30,Ceará,Brasil Pelotas,4-4-2 duplo 6,Rogério Zimermann,5844,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698612
10,sex 17/06/2016,21:00,Sampaio Corrêa,Brasil Pelotas,4-2-3-1,Rogério Zimermann,2850,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698623
11,ter 21/06/2016,21:30,Brasil Pelotas,Náutico,4-2-3-1,Rogério Zimermann,298,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698652
12,sex 24/06/2016,21:30,Brasil Pelotas,Bahia,4-2-3-1,Rogério Zimermann,326,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702153
13,ter 28/06/2016,19:15,Londrina,Brasil Pelotas,4-2-3-1,Rogério Zimermann,2815,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702174
14,sáb 02/07/2016,16:00,Brasil Pelotas,Joinville,4-2-3-1,Rogério Zimermann,432,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2708427
15,sáb 09/07/2016,18:30,Vasco da Gama,Brasil Pelotas,4-2-3-1,Rogério Zimermann,4162,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2708442
16,sáb 16/07/2016,16:00,Brasil Pelotas,Vila Nova,4-2-3-1,Rogério Zimermann,4206,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2720252
17,ter 19/07/2016,19:15,Oeste,Brasil Pelotas,4-2-3-1,Rogério Zimermann,1516,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2720256
18,sex 29/07/2016,19:15,CRB,Brasil Pelotas,4-2-3-1,Rogério Zimermann,9459,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2756309
19,qua 03/08/2016,18:15,Brasil Pelotas,Avaí,4-2-3-1,Rogério Zimermann,3993,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2758349
