round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 13/05/2016,20:30,Oeste,Atlético-GO,4-4-2 duplo 6,Roberto Fonseca,88,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2684578
2,sáb 21/05/2016,16:00,Paysandu,Oeste,4-3-3 ofensivo,Fernando Diniz,12641,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2684587
3,ter 24/05/2016,19:15,Oeste,CRB,3-4-3 plano,Fernando Diniz,1055,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2694627
4,sex 27/05/2016,20:30,Paraná,Oeste,3-4-3 plano,Fernando Diniz,1248,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2694637
5,ter 31/05/2016,21:30,Oeste,Vasco da Gama,3-4-3,Fernando Diniz,3187,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2695803
6,sáb 04/06/2016,16:00,Oeste,Criciúma,3-4-3 plano,Fernando Diniz,709,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2695810
7,ter 07/06/2016,19:15,Tupi,Oeste,3-4-3,Fernando Diniz,774,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2696851
8,sex 10/06/2016,20:30,Goiás,Oeste,3-4-3 plano,Fernando Diniz,1482,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2696862
9,ter 14/06/2016,19:15,Oeste,Londrina,3-4-3 plano,Fernando Diniz,1491,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698607
10,sáb 18/06/2016,21:00,Oeste,Vila Nova,3-4-3 plano,Fernando Diniz,1315,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698630
11,ter 21/06/2016,19:15,Ceará,Oeste,3-4-3 plano,Fernando Diniz,7697,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698647
12,sáb 25/06/2016,21:00,Oeste,Sampaio Corrêa,3-4-3 plano,Fernando Diniz,1120,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702160
13,ter 28/06/2016,19:15,Bahia,Oeste,3-4-3 plano,Fernando Diniz,6496,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702173
14,sáb 02/07/2016,16:00,Luverdense,Oeste,3-4-3 plano,Fernando Diniz,1083,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2708428
15,sáb 09/07/2016,16:00,Oeste,Bragantino,3-4-3 plano,Fernando Diniz,2031,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2708438
16,sex 15/07/2016,19:15,Avaí,Oeste,3-4-3 plano,Fernando Diniz,2996,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2720249
17,ter 19/07/2016,19:15,Oeste,Brasil Pelotas,3-4-3 plano,Fernando Diniz,1516,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2720256
18,sáb 30/07/2016,16:00,Joinville,Oeste,3-4-3,Fernando Diniz,6739,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2756311
19,ter 02/08/2016,20:30,Oeste,Náutico,4-2-3-1,Fernando Diniz,1481,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2758353
20,sáb 20/08/2016,18:15,Atlético-GO,Oeste,3-4-3,Fernando Diniz,1177,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2759439
21,sáb 27/08/2016,15:00,Oeste,Paysandu,3-4-3,Fernando Diniz,3883,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2760288
22,qua 31/08/2016,18:30,CRB,Oeste,3-4-3 plano,Fernando Diniz,5678,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2762814
23,sáb 03/09/2016,14:00,Oeste,Paraná,3-4-3 plano,Fernando Diniz,1353,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2762820
24,sáb 10/09/2016,13:30,Vasco da Gama,Oeste,3-4-3 plano,Fernando Diniz,4903,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2764273
25,ter 13/09/2016,17:30,Criciúma,Oeste,4-1-4-1,Fernando Diniz,2342,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2766725
26,sáb 17/09/2016,18:00,Oeste,Tupi,4-1-4-1,Fernando Diniz,698,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2809793
27,sex 23/09/2016,18:30,Oeste,Goiás,4-1-4-1,Fernando Diniz,872,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2809797
28,sáb 01/10/2016,16:30,Londrina,Oeste,4-1-4-1,Fernando Diniz,5857,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2809812
29,ter 04/10/2016,17:30,Vila Nova,Oeste,4-1-4-1,Fernando Diniz,7055,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2809825
30,sáb 08/10/2016,13:30,Oeste,Ceará,4-1-4-1,Fernando Diniz,1626,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2809836
31,ter 11/10/2016,16:15,Sampaio Corrêa,Oeste,4-1-4-1,Fernando Diniz,7233,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2809841
32,sáb 22/10/2016,14:20,Oeste,Bahia,4-1-4-1,Fernando Diniz,3477,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2811199
33,ter 25/10/2016,17:15,Oeste,Luverdense,4-1-4-1,Fernando Diniz,1002,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2811205
34,sáb 05/11/2016,20:00,Bragantino,Oeste,4-1-4-1,Fernando Diniz,356,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2811224
35,ter 08/11/2016,18:15,Oeste,Avaí,4-1-4-1,Fernando Diniz,1116,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2811225
36,sáb 12/11/2016,16:30,Brasil Pelotas,Oeste,4-1-4-1,Fernando Diniz,2263,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2811253
37,sex 18/11/2016,18:15,Oeste,Joinville,4-1-4-1,Fernando Diniz,1891,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2811262
38,sáb 26/11/2016,16:30,Náutico,Oeste,3-4-3,Fernando Diniz,25602,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2811275
