round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 13/05/2017,17:30,Criciúma,Santa Cruz,4-3-3 defensivo,Deivid,3576,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873891
2,sáb 20/05/2017,17:30,Oeste,Criciúma,4-2-3-1,Deivid,3836,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873903
3,sex 26/05/2017,20:15,Criciúma,América-MG,4-2-3-1,Deivid,2075,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873908
4,sáb 03/06/2017,17:30,Luverdense,Criciúma,4-3-3 ofensivo,Luiz Carlos Winck,713,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873924
5,ter 06/06/2017,20:15,Juventude,Criciúma,4-3-3 defensivo,Luiz Carlos Winck,3439,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873928
6,sex 09/06/2017,20:15,Criciúma,CRB,4-3-3 defensivo,Luiz Carlos Winck,1897,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873936
7,ter 13/06/2017,21:30,Figueirense,Criciúma,4-3-3 defensivo,Luiz Carlos Winck,4044,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873956
8,sex 16/06/2017,20:15,Criciúma,Guarani,4-3-3 defensivo,Luiz Carlos Winck,2308,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873963
9,ter 20/06/2017,21:30,Londrina,Criciúma,4-3-3 defensivo,Luiz Carlos Winck,1704,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873985
10,sex 23/06/2017,22:30,Criciúma,Paraná,4-3-3 defensivo,Luiz Carlos Winck,3223,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873992
11,sex 30/06/2017,20:30,Vila Nova,Criciúma,4-3-3 defensivo,Luiz Carlos Winck,7924,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2874003
12,sáb 08/07/2017,16:30,Internacional,Criciúma,4-3-3 defensivo,Luiz Carlos Winck,25492,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2880443
13,ter 11/07/2017,19:15,Criciúma,Paysandu,4-3-3 defensivo,Luiz Carlos Winck,4012,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2880819
