round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 26/04/2019,21:30,São Bento,Atlético-GO,4-2-3-1,Doriva,1591,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3176210
2,sáb 04/05/2019,11:00,Figueirense,São Bento,4-3-3 defensivo,Doriva,4501,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3176222
3,qui 09/05/2019,19:15,São Bento,Botafogo-SP,4-2-3-1,Doriva,1762,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3176355
4,sáb 18/05/2019,16:30,Vitória,São Bento,4-2-3-1,Doriva,7226,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3176599
5,sáb 25/05/2019,16:30,São Bento,Oeste,4-2-3-1,Doriva,2231,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3176606
6,sex 31/05/2019,20:30,São Bento,CRB,4-2-3-1,Doriva,2194,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3179867
7,ter 04/06/2019,19:00,Bragantino,São Bento,4-3-1-2,Doriva,4976,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3181121
8,ter 11/06/2019,19:15,Vila Nova,São Bento,4-3-3 defensivo,Doriva,1784,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3181136
9,seg 08/07/2019,20:00,São Bento,Sport,4-3-3 defensivo,Doriva,1872,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3181172
10,ter 16/07/2019,19:15,Coritiba,São Bento,4-3-3 defensivo,Doriva,19589,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3193324
11,ter 23/07/2019,19:15,São Bento,Operário-PR,4-3-3 defensivo,Doriva,2361,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3193338
12,sex 26/07/2019,20:30,Guarani,São Bento,4-3-3 defensivo,Doriva,2537,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3193342
13,ter 30/07/2019,20:30,São Bento,Criciúma,4-3-3 defensivo,Doriva,2018,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3193353
14,sáb 03/08/2019,16:30,São Bento,Ponte Preta,4-3-3 defensivo,Doriva,3156,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3193364
15,sáb 10/08/2019,19:00,Cuiabá,São Bento,4-3-3 defensivo,Doriva,5117,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194323
16,sáb 17/08/2019,11:00,São Bento,Paraná,4-3-3 defensivo,Doriva,2380,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194326
17,ter 20/08/2019,19:15,Brasil Pelotas,São Bento,4-3-3 defensivo,Doriva,6269,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194338
18,sáb 24/08/2019,16:30,Londrina,São Bento,4-3-3 defensivo,Doriva,3223,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194352
19,qua 28/08/2019,19:15,São Bento,América-MG,4-3-3 defensivo,Doriva,2796,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194359
20,sáb 31/08/2019,16:30,Atlético-GO,São Bento,4-3-1-2,Luizinho Rangel,3595,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194429
21,sex 06/09/2019,18:45,São Bento,Figueirense,4-3-3 defensivo,Milton Mendes,2080,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194475
22,sex 13/09/2019,19:15,Botafogo-SP,São Bento,4-3-3 defensivo,Milton Mendes,3501,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194487
23,ter 17/09/2019,21:30,São Bento,Vitória,4-2-3-1,Milton Mendes,1515,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194527
24,ter 24/09/2019,20:30,Oeste,São Bento,4-3-3 defensivo,Milton Mendes,916,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194537
25,sáb 28/09/2019,21:00,CRB,São Bento,4-3-1-2,Milton Mendes,5642,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3260637
26,sex 04/10/2019,21:30,São Bento,Bragantino,4-2-3-1,Milton Mendes,2018,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3260644
27,seg 07/10/2019,20:00,São Bento,Vila Nova,4-3-3 defensivo,Milton Mendes,1839,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3261012
28,sex 11/10/2019,19:15,Sport,São Bento,4-3-3 defensivo,Milton Mendes,13577,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3261022
29,ter 15/10/2019,21:30,São Bento,Coritiba,4-3-3 defensivo,Milton Mendes,1697,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3265492
30,sáb 19/10/2019,19:00,Operário-PR,São Bento,4-3-3 defensivo,Milton Mendes,4467,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3265501
31,sáb 26/10/2019,16:30,São Bento,Guarani,4-2-3-1,Milton Mendes,2166,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3268400
32,sáb 02/11/2019,19:00,Criciúma,São Bento,4-2-3-1,Milton Mendes,8176,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3268412
33,ter 05/11/2019,21:30,Ponte Preta,São Bento,4-3-3 ofensivo,Marcelo Cordeiro,925,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3268422
34,sex 08/11/2019,20:30,São Bento,Cuiabá,4-3-3 ofensivo,Marcelo Cordeiro,1263,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3268428
35,ter 12/11/2019,21:30,Paraná,São Bento,4-3-3 ofensivo,Marcelo Cordeiro,8598,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3268440
36,dom 17/11/2019,16:00,São Bento,Brasil Pelotas,4-3-3 ofensivo,Marcelo Cordeiro,719,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3277706
37,qui 21/11/2019,19:15,São Bento,Londrina,4-3-3 ofensivo,Marcelo Cordeiro,1230,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3277713
38,sáb 30/11/2019,16:30,América-MG,São Bento,4-3-3 defensivo,Marcelo Cordeiro,20348,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3277726
