round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 26/04/2019,21:30,Sport,Oeste,4-2-3-1,Guto Ferreira,6492,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3176209
2,seg 06/05/2019,20:00,Bragantino,Sport,4-3-3 defensivo,Guto Ferreira,8200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3176226
3,sáb 11/05/2019,16:30,Sport,Figueirense,4-2-3-1,Guto Ferreira,8166,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3176361
4,dom 19/05/2019,16:00,América-MG,Sport,4-3-3 defensivo,Guto Ferreira,2776,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3176600
5,sex 24/05/2019,21:30,Sport,Londrina,4-3-3 defensivo,Guto Ferreira,12028,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3176605
6,ter 28/05/2019,19:15,Operário-PR,Sport,4-2-3-1,Guto Ferreira,3132,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3179864
7,sáb 08/06/2019,20:30,Sport,Vitória,4-3-3 defensivo,Guto Ferreira,15176,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3181129
8,ter 11/06/2019,21:30,Sport,CRB,4-3-3 defensivo,Guto Ferreira,12323,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3181140
9,seg 08/07/2019,20:00,São Bento,Sport,4-3-3 defensivo,Guto Ferreira,1872,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3181172
10,seg 15/07/2019,20:00,Cuiabá,Sport,4-3-3 defensivo,Guto Ferreira,7802,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3193328
11,seg 22/07/2019,20:00,Sport,Brasil Pelotas,4-2-3-1,Guto Ferreira,9362,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3193330
12,sex 26/07/2019,21:30,Paraná,Sport,4-3-3 defensivo,Guto Ferreira,9706,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3193346
13,seg 29/07/2019,20:00,Sport,Guarani,4-3-3 defensivo,Guto Ferreira,18403,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3193359
14,qui 01/08/2019,21:30,Sport,Coritiba,4-3-3 defensivo,Guto Ferreira,14152,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3193369
15,dom 11/08/2019,16:00,Criciúma,Sport,4-3-3 defensivo,Guto Ferreira,3142,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194321
16,sáb 17/08/2019,16:30,Sport,Botafogo-SP,4-3-3 defensivo,Guto Ferreira,15370,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194332
17,ter 20/08/2019,21:30,Vila Nova,Sport,4-2-3-1,Guto Ferreira,3874,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194343
18,sáb 24/08/2019,19:00,Ponte Preta,Sport,4-2-3-1,Guto Ferreira,3639,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194347
19,ter 27/08/2019,21:30,Sport,Atlético-GO,4-2-3-1,Guto Ferreira,13375,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194365
20,sáb 31/08/2019,11:00,Oeste,Sport,4-3-3 defensivo,Guto Ferreira,1516,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194431
21,sáb 07/09/2019,19:00,Sport,Bragantino,4-3-3 defensivo,Guto Ferreira,19058,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194470
22,dom 15/09/2019,16:00,Figueirense,Sport,4-3-3 defensivo,Guto Ferreira,3465,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194492
23,sex 20/09/2019,21:30,Sport,América-MG,4-3-3 defensivo,Guto Ferreira,18215,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194523
24,ter 24/09/2019,19:15,Londrina,Sport,4-3-3 defensivo,Guto Ferreira,1959,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194534
25,sáb 28/09/2019,19:00,Sport,Operário-PR,4-3-3 defensivo,Guto Ferreira,13124,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3260635
26,qui 03/10/2019,21:30,Vitória,Sport,4-3-3 defensivo,Guto Ferreira,7186,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3260642
27,seg 07/10/2019,20:00,CRB,Sport,4-3-3 defensivo,Guto Ferreira,7003,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3261013
28,sex 11/10/2019,19:15,Sport,São Bento,4-2-3-1,Guto Ferreira,13577,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3261022
29,seg 14/10/2019,20:00,Sport,Cuiabá,4-3-3 defensivo,Guto Ferreira,12626,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3265484
30,dom 20/10/2019,16:00,Brasil Pelotas,Sport,4-3-3 defensivo,Guto Ferreira,4929,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3265503
31,qua 23/10/2019,19:15,Sport,Paraná,4-2-3-1,Guto Ferreira,14719,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3268394
32,qui 31/10/2019,19:15,Guarani,Sport,4-2-3-1,Guto Ferreira,3329,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3268406
33,seg 04/11/2019,20:00,Coritiba,Sport,4-2-3-1,Guto Ferreira,15793,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3268414
34,sáb 09/11/2019,15:30,Sport,Criciúma,4-2-3-1,Guto Ferreira,22150,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3268431
35,qua 13/11/2019,21:30,Botafogo-SP,Sport,4-2-3-1,Guto Ferreira,1412,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3268441
36,dom 17/11/2019,16:00,Sport,Vila Nova,4-2-3-1,Guto Ferreira,24420,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3277707
37,qua 20/11/2019,21:30,Sport,Ponte Preta,4-3-3 defensivo,Guto Ferreira,22067,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3277712
