round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,ter 23/04/2024,21:00,Brusque,Mirassol,4-3-3 ofensivo,Luizinho Lopes,753,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315905
2,dom 28/04/2024,15:45,Coritiba,Brusque,4-3-3 ofensivo,Luizinho Lopes,18455,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315806
3,dom 05/05/2024,16:00,Brusque,Goiás,4-3-3 ofensivo,Luizinho Lopes,940,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315865
4,sáb 11/05/2024,17:00,Sport,Brusque,4-1-4-1,Luizinho Lopes,25705,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315848
5,qua 15/05/2024,19:00,Brusque,Operário-PR,4-3-3 ofensivo,Luizinho Lopes,403,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315885
6,dom 19/05/2024,11:00,Santos,Brusque,4-4-2,Luizinho Lopes,10325,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315823
7,dom 26/05/2024,17:00,Vila Nova,Brusque,4-4-2,Luizinho Vieira,1882,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315809
8,sáb 01/06/2024,17:00,Brusque,Novorizontino,4-4-2,Luizinho Vieira,374,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315895
9,sáb 08/06/2024,17:00,Amazonas,Brusque,4-4-2,Luizinho Vieira,5523,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315917
10,dom 16/06/2024,16:00,Brusque,Ceará,4-4-2,Luizinho Vieira,968,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315965
11,qua 19/06/2024,21:30,Brusque,Avaí,4-4-2,Luizinho Vieira,1587,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315835
12,sáb 22/06/2024,21:00,Ituano,Brusque,4-4-2 duplo 6,Luizinho Vieira,1017,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315932
13,seg 01/07/2024,21:00,CRB,Brusque,3-4-1-2,Luizinho Vieira,4284,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316005
14,sex 05/07/2024,21:00,Brusque,Ponte Preta,3-4-1-2,Luizinho Vieira,499,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315925
15,dom 14/07/2024,18:30,Chapecoense,Brusque,3-4-3,Luizinho Vieira,2146,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315994
16,dom 21/07/2024,18:30,Botafogo-SP,Brusque,4-4-2,Luizinho Vieira,2444,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316091
17,qua 24/07/2024,21:00,Brusque,Paysandu,4-4-2,Luizinho Vieira,1252,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316125
18,dom 28/07/2024,16:00,Guarani,Brusque,4-4-2,Luizinho Vieira,2974,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316040
19,sex 02/08/2024,19:00,Brusque,América-MG,4-4-2,Luizinho Vieira,48,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316135
20,sex 09/08/2024,21:00,Mirassol,Brusque,3-4-3 plano,Luizinho Vieira,1187,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316141
21,dom 18/08/2024,16:00,Brusque,Coritiba,4-4-2,Luizinho Vieira,976,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4315945
