round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 22/09/2007,15:00,Antuérpia,ROC Charleroi-M.,?,Warren Joyce,5500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/86939
2,dom 30/09/2007,10:00,KV Kortrijk,Antuérpia,?,Warren Joyce,2500,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/86951
3,sáb 06/10/2007,15:00,Antuérpia,Overpelt-Lommel,?,Warren Joyce,4000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/86957
4,dom 03/02/2008,12:00,KVK Tienen,Antuérpia,?,Warren Joyce,2500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/86969
6,sáb 15/09/2007,15:00,AFC Tubize,Antuérpia,?,Warren Joyce,2000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/86980
7,dom 21/10/2007,11:00,Antuérpia,KSK Beveren,?,Warren Joyce,5000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/86990
8,dom 28/10/2007,12:00,KAS Eupen,Antuérpia,?,Warren Joyce,2000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87048
9,sáb 10/11/2007,17:00,Antuérpia,KMSK Deinze,?,Warren Joyce,4000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87052
10,dom 04/11/2007,12:00,Union SG,Antuérpia,?,Warren Joyce,2000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87066
11,qua 14/11/2007,17:00,Antuérpia,VW Hamme,?,Warren Joyce,4000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87072
12,dom 18/11/2007,12:00,UR Namur,Antuérpia,?,Warren Joyce,3000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87081
13,sáb 01/12/2007,17:00,Antuérpia,OH Leuven,?,Warren Joyce,4000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87087
14,sáb 08/12/2007,17:00,KFCV Geel,Antuérpia,?,Warren Joyce,3000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87100
15,sáb 15/12/2007,17:00,Antuérpia,RS Waasland,?,Warren Joyce,3000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87114
16,sáb 22/12/2007,17:00,RE Virton,Antuérpia,?,Warren Joyce,1500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87120
17,sáb 29/12/2007,17:00,Antuérpia,RFC Tournai,?,Warren Joyce,4500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87132
18,sáb 05/01/2008,17:00,Lierse SK,Antuérpia,?,Warren Joyce,7400,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87140
19,dom 20/01/2008,12:00,KV Oostende,Antuérpia,?,Warren Joyce,2600,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/88674
20,qua 15/08/2007,15:00,ROC Charleroi-M.,Antuérpia,?,Warren Joyce,4000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87160
21,sáb 26/01/2008,17:00,Antuérpia,KV Kortrijk,?,Warren Joyce,8000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87167
22,sáb 01/09/2007,15:00,Overpelt-Lommel,Antuérpia,?,Warren Joyce,4500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87174
23,sáb 09/02/2008,17:00,Antuérpia,KVK Tienen,?,Warren Joyce,6000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/87189
