position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,VV St.Truiden,36,24,8,4,72:29,43,80,https://www.transfermarkt.com.br/vv-st-truiden/spielplan/verein/475/saison_id/2008
2,Lierse SK (-2018),36,22,9,5,75:40,35,75,https://www.transfermarkt.com.br/lierse-sk/spielplan/verein/204/saison_id/2008
3,Royal Antuérpia FC,36,17,10,9,55:32,23,61,https://www.transfermarkt.com.br/royal-antwerpen-fc/spielplan/verein/1096/saison_id/2008
4,KV Red Star Waasland,36,16,7,13,56:48,8,55,https://www.transfermarkt.com.br/waasland-beveren/spielplan/verein/28643/saison_id/2008
5,RFC Tournai,36,14,12,10,53:41,12,54,https://www.transfermarkt.com.br/rfc-tournai/spielplan/verein/3751/saison_id/2008
6,KVK Tienen,36,14,11,11,58:49,9,53,https://www.transfermarkt.com.br/kvk-tienen/spielplan/verein/3315/saison_id/2008
7,KV Oostende (-2024),36,13,14,9,54:51,3,53,https://www.transfermarkt.com.br/kv-oostende/spielplan/verein/2861/saison_id/2008
8,KSK Ronse (-2022),36,15,7,14,54:52,2,52,https://www.transfermarkt.com.br/ksk-ronse/spielplan/verein/3736/saison_id/2008
9,K. Overpelt-Lommel United,36,14,9,13,48:38,10,51,https://www.transfermarkt.com.br/lommel-sk/spielplan/verein/5026/saison_id/2008
10,FC Brüssel,36,12,13,11,50:37,13,49,https://www.transfermarkt.com.br/rwdm-brussel-fc/spielplan/verein/3898/saison_id/2008
11,RFC Lüttich,36,11,15,10,49:48,1,48,https://www.transfermarkt.com.br/rfc-luttich/spielplan/verein/3159/saison_id/2008
12,Oud-Heverlee Leuven,36,12,10,14,46:48,-2,46,https://www.transfermarkt.com.br/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2008
13,KSK Beveren (-2010),36,11,12,13,47:57,-10,45,https://www.transfermarkt.com.br/ksk-beveren/spielplan/verein/1073/saison_id/2008
14,KAS Eupen,36,12,7,17,47:63,-16,43,https://www.transfermarkt.com.br/kas-eupen/spielplan/verein/1245/saison_id/2008
15,Royal Excelsior Virton,36,9,12,15,46:58,-12,39,https://www.transfermarkt.com.br/royal-excelsior-virton/spielplan/verein/1199/saison_id/2008
16,ROC Charleroi-Marchienne,36,10,9,17,48:65,-17,39,https://www.transfermarkt.com.br/olympic-club-charleroi-farciennes/spielplan/verein/3146/saison_id/2008
17,KFC VW Hamme,36,9,9,18,48:64,-16,36,https://www.transfermarkt.com.br/kfc-vw-hamme/spielplan/verein/3134/saison_id/2008
18,KMSK Deinze (-2024),36,7,15,14,46:65,-19,36,https://www.transfermarkt.com.br/kmsk-deinze/spielplan/verein/2321/saison_id/2008
19,UR Namur,36,2,7,27,22:89,-67,13,https://www.transfermarkt.com.br/union-namur-fosses-la-ville/spielplan/verein/3728/saison_id/2008
