round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,qui 23/08/2012,15:00,KAS Eupen,Dessel Sport,?,Stijn Vreven,1881,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2251919
2,qua 29/08/2012,15:00,Dessel Sport,Antuérpia,?,Stijn Vreven,3140,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238031
3,sáb 01/09/2012,14:30,Dessel Sport,KVC Westerlo,?,Stijn Vreven,2500,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238016
4,dom 09/09/2012,10:00,KSV Roeselare,Dessel Sport,?,Stijn Vreven,1700,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238009
5,sáb 15/09/2012,15:00,St.Truiden,Dessel Sport,?,Stijn Vreven,5600,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238066
6,sáb 22/09/2012,14:30,Dessel Sport,KV Oostende,?,Stijn Vreven,700,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238058
7,sáb 29/09/2012,14:30,KSV Oudenaarde,Dessel Sport,?,Stijn Vreven,700,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238050
8,sáb 06/10/2012,14:30,Dessel Sport,WhiteStar Woluwe,?,Stijn Vreven,800,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238045
9,dom 14/10/2012,10:00,Eendracht Aalst,Dessel Sport,?,Stijn Vreven,2800,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238087
10,sáb 20/10/2012,14:30,Dessel Sport,SK Sint-Niklaas,?,Stijn Vreven,750,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238083
11,sáb 27/10/2012,15:30,Dessel Sport,Lommel United,?,Stijn Vreven,1300,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238078
12,sáb 03/11/2012,17:00,KSK Heist,Dessel Sport,?,Stijn Vreven,900,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238008
13,sáb 10/11/2012,16:30,Dessel Sport,Royal Mouscron,?,Stijn Vreven,800,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238123
14,dom 18/11/2012,12:00,CS Visé,Dessel Sport,4-4-2,Stijn Vreven,650,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238109
15,sáb 24/11/2012,16:30,Dessel Sport,FC Brüssel,?,Stijn Vreven,700,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238105
16,dom 02/12/2012,12:00,Boussu Dour,Dessel Sport,?,Stijn Vreven,430,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238148
17,qua 19/12/2012,17:00,Dessel Sport,AFC Tubize,?,Stijn Vreven,500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2284863
18,sáb 15/12/2012,16:30,Dessel Sport,KAS Eupen,4-2-3-1,Stijn Vreven,700,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238141
19,sáb 05/01/2013,17:00,Antuérpia,Dessel Sport,?,Stijn Vreven,4750,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238164
20,sáb 12/01/2013,16:30,Dessel Sport,KSV Roeselare,?,Stijn Vreven,800,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238168
21,qua 20/03/2013,16:30,KVC Westerlo,Dessel Sport,?,Stijn Vreven,3500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238181
22,dom 24/03/2013,11:00,Dessel Sport,St.Truiden,?,Stijn Vreven,850,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238192
23,dom 03/02/2013,12:00,KV Oostende,Dessel Sport,?,Stijn Vreven,1630,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238205
24,sáb 09/02/2013,16:30,Dessel Sport,KSV Oudenaarde,?,Stijn Vreven,650,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238207
25,dom 17/02/2013,11:00,WhiteStar Woluwe,Dessel Sport,?,Stijn Vreven,250,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238216
26,sáb 23/02/2013,15:30,Dessel Sport,Eendracht Aalst,?,Stijn Vreven,600,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238231
27,sáb 02/03/2013,16:00,SK Sint-Niklaas,Dessel Sport,?,Stijn Vreven,350,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238244
28,sáb 09/03/2013,16:00,Lommel United,Dessel Sport,?,Stijn Vreven,2000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238260
29,sáb 16/03/2013,15:30,Dessel Sport,KSK Heist,?,Stijn Vreven,650,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238265
30,sáb 30/03/2013,16:00,Royal Mouscron,Dessel Sport,?,Stijn Vreven,1600,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238280
31,sáb 06/04/2013,14:30,Dessel Sport,CS Visé,?,Stijn Vreven,700,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238274
32,sáb 13/04/2013,15:00,FC Brüssel,Dessel Sport,?,Stijn Vreven,200,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238288
33,dom 21/04/2013,10:00,Dessel Sport,Boussu Dour,?,Stijn Vreven,600,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238233
34,dom 28/04/2013,10:00,AFC Tubize,Dessel Sport,?,Stijn Vreven,750,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238242
