round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,qua 22/08/2012,15:00,KSV Roeselare,WhiteStar Woluwe,?,Sergiy Serebrennikov,1000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2251917
2,qua 29/08/2012,15:00,Eendracht Aalst,KSV Roeselare,?,Sergiy Serebrennikov,3000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238035
3,sáb 01/09/2012,15:00,Lommel United,KSV Roeselare,?,Sergiy Serebrennikov,1300,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238033
4,dom 09/09/2012,10:00,KSV Roeselare,Dessel Sport,?,Sergiy Serebrennikov,1700,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238009
5,sáb 15/09/2012,15:00,KSV Roeselare,KSK Heist,?,Sergiy Serebrennikov,1050,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238068
6,sáb 22/09/2012,15:00,Royal Mouscron,KSV Roeselare,?,Sergiy Serebrennikov,1400,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238062
7,sáb 29/09/2012,15:00,KSV Roeselare,CS Visé,?,Sergiy Serebrennikov,1500,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238052
8,sex 05/10/2012,15:00,FC Brüssel,KSV Roeselare,?,Sergiy Serebrennikov,750,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238038
9,sáb 13/10/2012,15:00,KSV Roeselare,Boussu Dour,?,Sergiy Serebrennikov,2220,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238102
10,dom 21/10/2012,11:00,AFC Tubize,KSV Roeselare,?,Sergiy Serebrennikov,400,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238081
11,sex 26/10/2012,16:00,KSV Roeselare,KAS Eupen,4-2-3-1,Sergiy Serebrennikov,3695,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238086
12,dom 04/11/2012,12:00,Antuérpia,KSV Roeselare,?,Sergiy Serebrennikov,5500,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238017
13,sex 09/11/2012,17:00,SK Sint-Niklaas,KSV Roeselare,?,Sergiy Serebrennikov,400,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238124
14,sáb 17/11/2012,17:00,KSV Roeselare,KVC Westerlo,?,Sergiy Serebrennikov,1800,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238118
15,sex 23/11/2012,17:30,St.Truiden,KSV Roeselare,?,Sergiy Serebrennikov,6100,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238110
16,sáb 01/12/2012,17:00,KSV Roeselare,KV Oostende,?,Sergiy Serebrennikov,2300,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238162
17,qua 19/12/2012,17:00,KSV Oudenaarde,KSV Roeselare,?,Sergiy Serebrennikov,800,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2284861
18,dom 16/12/2012,12:00,WhiteStar Woluwe,KSV Roeselare,?,Sergiy Serebrennikov,1500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238135
19,sáb 22/12/2012,12:00,KSV Roeselare,Eendracht Aalst,?,Sergiy Serebrennikov,1920,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238132
20,sáb 12/01/2013,16:30,Dessel Sport,KSV Roeselare,?,Sergiy Serebrennikov,800,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238168
21,qua 20/03/2013,16:30,KSV Roeselare,Lommel United,?,Sergiy Serebrennikov,500,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238183
22,qua 03/04/2013,15:30,KSK Heist,KSV Roeselare,4-2-3-1,Sergiy Serebrennikov,800,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238185
23,sáb 02/02/2013,17:00,KSV Roeselare,Royal Mouscron,?,Sergiy Serebrennikov,2200,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238195
24,dom 10/02/2013,12:00,CS Visé,KSV Roeselare,?,Sergiy Serebrennikov,400,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238204
25,sáb 16/02/2013,17:00,KSV Roeselare,FC Brüssel,?,Sergiy Serebrennikov,1450,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238215
26,qua 17/04/2013,15:30,Boussu Dour,KSV Roeselare,4-4-2,Sergiy Serebrennikov,400,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238235
27,sáb 02/03/2013,16:00,KSV Roeselare,AFC Tubize,?,Sergiy Serebrennikov,1760,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238230
28,sáb 09/03/2013,16:00,KAS Eupen,KSV Roeselare,4-4-2,Sergiy Serebrennikov,1492,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238257
29,sáb 16/03/2013,16:00,KSV Roeselare,Antuérpia,?,Sergiy Serebrennikov,2000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238264
30,sáb 30/03/2013,16:00,KSV Roeselare,SK Sint-Niklaas,4-2-3-1,Sergiy Serebrennikov,700,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2238270
