round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 03/08/2013,15:00,St.Truiden,CS Visé,?,Philippe Médery,5100,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2355516
2,sáb 10/08/2013,15:00,CS Visé,RWDM Brüssel,?,Philippe Médery,700,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352765
3,sáb 31/08/2013,15:00,KVC Westerlo,CS Visé,?,Philippe Médery,1800,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352743
4,qua 04/09/2013,15:30,KSV Roeselare,CS Visé,?,Philippe Médery,500,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352821
5,dom 08/09/2013,10:00,CS Visé,Boussu Dour,?,Philippe Médery,700,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352848
6,qua 11/09/2013,15:30,CS Visé,White Star,?,Philippe Médery,450,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352851
7,sáb 14/09/2013,14:30,Dessel Sport,CS Visé,?,Philippe Médery,750,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352831
8,dom 22/09/2013,10:00,CS Visé,Antuérpia,?,Philippe Médery,800,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352781
9,dom 29/09/2013,10:00,Eendracht Aalst,CS Visé,?,Philippe Médery,2200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352813
10,dom 06/10/2013,10:00,CS Visé,KSK Heist,?,Manuele Domenicali,400,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352815
11,sáb 12/10/2013,15:00,ASV Geel,CS Visé,?,Philippe Médery,1300,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352769
12,dom 20/10/2013,11:00,CS Visé,Royal Mouscron,?,Philippe Médery,1200,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352759
13,sáb 26/10/2013,16:00,KAS Eupen,CS Visé,?,Philippe Médery,2300,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352755
14,dom 03/11/2013,12:00,CS Visé,AFC Tubize,?,Philippe Médery,150,1:6,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352752
15,sáb 09/11/2013,17:00,Lommel United,CS Visé,?,Philippe Médery,1200,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352868
16,sáb 21/12/2013,17:00,Hoogstraten VV,CS Visé,?,Philippe Médery,800,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352866
17,dom 24/11/2013,12:00,CS Visé,RE Virton,?,Philippe Médery,450,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352855
18,dom 01/12/2013,12:00,CS Visé,St.Truiden,?,Philippe Médery,600,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352889
19,sáb 07/12/2013,17:00,RWDM Brüssel,CS Visé,?,Philippe Médery,800,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352898
20,dom 15/12/2013,12:00,CS Visé,KVC Westerlo,?,Philippe Médery,1100,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352894
21,sáb 11/01/2014,16:00,Boussu Dour,CS Visé,?,Philippe Médery,750,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352932
22,dom 19/01/2014,12:00,CS Visé,KSV Roeselare,?,Philippe Médery,1300,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352930
23,sáb 25/01/2014,17:00,White Star,CS Visé,?,Philippe Médery,200,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352914
24,dom 02/02/2014,12:00,CS Visé,Dessel Sport,?,Philippe Médery,400,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352915
25,dom 09/02/2014,12:00,Antuérpia,CS Visé,?,Philippe Médery,3300,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352925
26,dom 16/02/2014,11:00,CS Visé,Eendracht Aalst,?,Philippe Médery,500,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353016
27,sáb 01/03/2014,16:00,KSK Heist,CS Visé,?,Philippe Médery,870,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353006
28,dom 09/03/2014,11:00,CS Visé,ASV Geel,?,Philippe Médery,600,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352971
29,sáb 15/03/2014,16:00,Royal Mouscron,CS Visé,?,Philippe Médery,1100,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352967
30,dom 30/03/2014,10:00,CS Visé,KAS Eupen,?,Philippe Médery,1300,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352964
31,sáb 05/04/2014,15:00,AFC Tubize,CS Visé,?,Philippe Médery,340,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2352953
32,dom 13/04/2014,10:00,CS Visé,Lommel United,?,Philippe Médery,350,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353017
33,dom 20/04/2014,10:00,CS Visé,Hoogstraten VV,?,Philippe Médery,300,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353021
34,dom 27/04/2014,10:00,RE Virton,CS Visé,?,Philippe Médery,900,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353010
